Feature	Number of Genes	Genes
protein binding	20	GORASP2, OSBP, TRAF3IP2, FAM174A, USO1, CCDC25, AGFG1, RAB1B, RFK, CD99, OSBPL11, UBQLN1, PPP5C, TPK1, QNG1, GGA1, SNX5, NUCB2, CWF19L1, OSBPL9
cytosol	13	OSBP, USO1, AGFG1, RAB1B, RFK, OSBPL11, UBQLN1, PPP5C, TPK1, GGA1, SNX5, NUCB2, OSBPL9
Golgi apparatus	8	GORASP2, OSBP, USO1, RAB1B, OSBPL11, GGA1, NUCB2, OSBPL9
membrane	7	GORASP2, OSBP, FAM174A, USO1, OSBPL11, GGA1, OSBPL9
intracellular membrane-bounded organelle	7	OSBP, AGFG1, OSBPL11, PPP5C, GGA1, SNX5, OSBPL9
plasma membrane	6	RNPEP, CCDC25, CD99, UBQLN1, PPP5C, NUCB2
nucleoplasm	5	OSBP, OSBPL11, UBQLN1, PPP5C, GGA1
cytoplasm	5	OSBP, AGFG1, RFK, CD99, UBQLN1
perinuclear region of cytoplasm	5	OSBP, USO1, RAB1B, UBQLN1, SNX5
Golgi membrane	4	GORASP2, OSBP, USO1, RAB1B
intracellular protein transport	4	USO1, RAB1B, GGA1, SNX5
endoplasmic reticulum membrane	3	GORASP2, OSBP, RAB1B
sterol transporter activity	3	OSBP, OSBPL11, OSBPL9
sterol binding	3	OSBP, OSBPL11, OSBPL9
sterol transport	3	OSBP, OSBPL11, OSBPL9
cellular_component	3	TRAF3IP2, QNG1, CWF19L1
cytoplasmic vesicle	3	TRAF3IP2, AGFG1, UBQLN1
extracellular exosome	3	RNPEP, RAB1B, NUCB2
RNA binding	3	USO1, AGFG1, PPP5C
endoplasmic reticulum	3	USO1, UBQLN1, NUCB2
DNA binding	3	CCDC25, AGFG1, NUCB2
metal ion binding	3	AGFG1, RFK, PPP5C
ATP binding	3	RFK, PPP5C, TPK1
identical protein binding	3	UBQLN1, PPP5C, TPK1
protein-containing complex	3	UBQLN1, PPP5C, GGA1
molecular_function	3	QNG1, GGA1, CWF19L1
Golgi organization	2	GORASP2, RAB1B
response to endoplasmic reticulum stress	2	GORASP2, UBQLN1
phosphatidylinositol-4-phosphate binding	2	OSBP, SNX5
bile acid biosynthetic process	2	OSBP, OSBPL9
trans-Golgi network	2	OSBP, GGA1
positive regulation of I-kappaB kinase/NF-kappaB signaling	2	TRAF3IP2, PPP5C
nucleus	2	TRAF3IP2, PPP5C
extracellular space	2	RNPEP, NUCB2
cadherin binding	2	USO1, SNX5
endoplasmic reticulum to Golgi vesicle-mediated transport	2	USO1, RAB1B
small GTPase mediated signal transduction	2	USO1, NUCB2
transport vesicle	2	USO1, RAB1B
endomembrane system	2	CCDC25, RAB1B
autophagosome assembly	2	RAB1B, UBQLN1
phosphorylation	2	RFK, TPK1
late endosome membrane	2	OSBPL11, OSBPL9
regulation of macroautophagy	2	UBQLN1, SNX5
biological_process	2	QNG1, CWF19L1
phosphatidylinositol binding	2	GGA1, SNX5
retrograde transport, endosome to Golgi	2	GGA1, SNX5
organelle organization	1	GORASP2
spermatogenesis	1	GORASP2
cell differentiation	1	GORASP2
establishment of protein localization to plasma membrane	1	GORASP2
organelle assembly	1	GORASP2
cis-Golgi network	1	GORASP2
oxysterol binding	1	OSBP
protein domain specific binding	1	OSBP
sterol transfer activity	1	OSBP
sphingomyelin biosynthetic process	1	OSBP
