Feature	Number of Genes	Genes
nucleus	35	ACTL6A, ARID1A, ARID1B, ARID2, BICRA, BRCC3, BRD7, BRD9, C17orf49, CDCA7, CHD8, DPF1, DPF2, ERCC4, KPNA1, KPNA2, NIPBL, NOP58, NUP50, PBRM1, PHAX, RAMAC, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SRCAP, SRRT, SS18L1, TCERG1
nucleoplasm	34	ACTL6A, ARID1A, ARID1B, ARID2, BOD1L1, BRCC3, BRD7, BRD9, C17orf49, CDCA7, CHD8, CTDSPL2, DPF2, ERCC4, KPNA1, KPNA2, NIPBL, NOP58, NUP50, PBRM1, PHAX, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SRCAP, SRRT, SS18L1, TCERG1
chromatin	25	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BICRA, BICRAL, BRD7, BRD9, CHD8, DPF1, DPF2, NIPBL, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
chromatin remodeling	24	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BICRA, BICRAL, BRD7, BRD9, CHD8, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
regulation of transcription by RNA polymerase II	24	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BICRA, BICRAL, BRD7, BRD9, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SRCAP
SWI/SNF complex	21	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BICRA, BICRAL, BRD9, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
positive regulation of double-strand break repair	20	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BRD7, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
regulation of G0 to G1 transition	20	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BRD7, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
regulation of G1/S transition of mitotic cell cycle	20	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BRD7, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
regulation of mitotic metaphase/anaphase transition	20	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BRD7, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
regulation of nucleotide-excision repair	20	ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BCL7C, BRD7, DPF1, DPF2, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
transcription coactivator activity	16	ACTL6A, ARID1A, ARID1B, BRD7, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SRCAP, SS18L1, TCERG1
