Feature	Number of Genes	Genes
protein binding	42	OLFM4, PPL, CLIC3, AZGP1, RSRP1, ECM1, IMPA2, ESRP1, TRIM29, LGALSL, TYMP, PYCARD, CTSH, BLMH, NAPRT, DSC2, DOCK6, PRKACG, DMKN, S100A16, CTSV, APOA1, GLUL, TALDO1, SULT2B1, SCEL, TFAP2D, CRABP2, HSPB8, VHL, FCGBP, CD207, ZG16B, RAB25, TSN, ME1, HES1, CCDC107, GTF2A2, HEY1, JPH3, YOD1
cytosol	31	OLFM4, PPL, EVPL, NLRP10, IMPA2, TYMP, PYCARD, CTSH, ALOX12B, BLMH, NAPRT, IL36G, DOCK6, PRKACG, HAL, S100A16, EPHX2, PLA2G4D, APOA1, GLUL, TALDO1, SULT2B1, CRABP2, HSPB8, VHL, RAPSN, SPTBN2, TSN, ME1, ALDH1A3, YOD1
extracellular exosome	23	OLFM4, PPL, CLIC3, AZGP1, EVPL, ECM1, CTSH, BLMH, NAPRT, DSC2, S100A16, EPHX2, APOA1, GLUL, TALDO1, SULT2B1, SCEL, CRABP2, FCGBP, ZG16B, RAB25, CPM, ALDH1A3
cytoplasm	21	PPL, CLIC3, EVPL, NLRP10, IMPA2, PYCARD, BLMH, GLUL, TALDO1, SULT2B1, SCEL, CRABP2, HSPB8, SERPINB7, TSN, ME1, HES1, ALDH1A3, ANXA8L1, HEY1, YOD1
nucleus	19	CLIC3, AZGP1, RSRP1, ESRP1, PYCARD, BLMH, PRKACG, S100A16, GLUL, TALDO1, SULT2B1, TFAP2D, CRABP2, HSPB8, VHL, TSN, HES1, GTF2A2, HEY1
extracellular space	14	OLFM4, AZGP1, ECM1, CTSH, IL36G, DMKN, S100A16, CTSV, APOA1, SERPINB7, FCGBP, ZG16B, CPM, SPTBN2
nucleoplasm	13	OLFM4, NLRP10, ESRP1, PYCARD, IL36G, PRKACG, CRABP2, HSPB8, VHL, TSN, HES1, GTF2A2, HEY1
plasma membrane	13	OLFM4, PPL, DSC2, IL36G, S100A16, APOA1, GLUL, RAPSN, CD207, RAB25, CPM, SPTBN2, JPH3
extracellular region	10	OLFM4, AZGP1, ECM1, PYCARD, CTSH, NAPRT, IL36G, CTSV, APOA1, CPM
protein homodimerization activity	10	IMPA2, TYMP, PYCARD, S100A16, EPHX2, APOA1, HSPB8, HES1, ALDH1A3, GTF2A2
