Feature	Number of Genes	Genes
protein binding	157	ZMYM2, ARID4B, TFDP1, MIER2, ARID5B, SET, ZNF423, RBL2, EP400, SUZ12, CHD3, MRGBP, BRD7, WDR5, PALB2, TGIF1, TAF7, NCBP1, KPNA6, POLA2, RCOR3, PRR14, USP1, YEATS4, RPP40, NFRKB, NPAT, RBL1, MRFAP1, KMT2B, BRD8, E2F6, L3MBTL2, XRN2, TRERF1, DPY30, YLPM1, KAT5, MAU2, CTBP1, ZMYM3, XAB2, ING3, ZNF609, CTNNBL1, ASH2L, LCOR, SLX4IP, ANP32E, ZNF516, MGA, ATN1, KPNA1, INTS13, CHAF1A, PROX1, STMN1, SUDS3, TBC1D2, SIN3B, UBN1, ASF1B, CHD4, RFX1, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, EMSY, HJURP, GMNN, TRPS1, E2F4, C17orf49, KPNA2, DPF2, BRD9, CHD8, PDIK1L, NUP50, SRRT, SRCAP, BOD1L1, SS18L1, NIPBL, PHAX, INTS9, RAMAC, CTDSPL2, HMG20B, KDM1A, PHF21A, RCOR1, TAF1, TAF3, TAF4, TAF5, TAF6, BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PHF12, PWWP2A, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF512B, ZNF521, ZNF827, TNRC18, ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BICRA, BICRAL, CDCA7, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCE1
nucleoplasm	152	ARID4B, JARID2, TFDP1, MIER2, ARID5B, SET, ZNF423, RBL2, EP400, SUZ12, CHD3, MRGBP, BRD7, WDR5, PALB2, TGIF1, TAF7, NCBP1, KPNA6, POLA2, RCOR3, PRR14, USP1, YEATS4, CDCA2, RPP40, NFRKB, NPAT, RBL1, MRFAP1, KMT2B, ALKBH5, BRD8, E2F6, L3MBTL2, XRN2, TRERF1, DPY30, YLPM1, KAT5, MAU2, CTBP1, C1orf52, ZMYM3, XAB2, ING3, ZNF609, CTNNBL1, ASH2L, LCOR, MGA, ATN1, KPNA1, INTS13, PROX1, RPS24, SUDS3, TBC1D2, SIN3B, UBN1, ASF1B, CHD4, RFX1, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, EMSY, HJURP, GMNN, TRPS1, E2F4, C17orf49, KPNA2, DPF2, BRD9, CHD8, PDIK1L, NUP50, SRRT, SRCAP, BOD1L1, SS18L1, NIPBL, PHAX, INTS9, CTDSPL2, HMG20B, KDM1A, PHF21A, RCOR1, TAF1, TAF3, TAF4, TAF5, TAF6, ARID4A, BCL11A, BPTF, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF512B, ZNF521, TNRC18, ACTL6A, ARID1A, ARID1B, ARID2, CDCA7, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
nucleus	135	ZMYM2, ARID4B, JARID2, TFDP1, MIER2, ARID5B, SET, ZNF423, CFDP1, SUZ12, CHD3, BRD7, WDR5, PALB2, TAF7, NCBP1, KPNA6, USP1, YEATS4, CDCA2, RPP40, NFRKB, NPAT, KMT2B, ALKBH5, BRD8, E2F6, EPC2, L3MBTL2, XRN2, TRERF1, DPY30, YLPM1, KAT5, MAU2, CTBP1, XAB2, ING3, ZNF609, CTNNBL1, ASH2L, LCOR, ANP32E, ZNF516, ATN1, KPNA1, INTS13, CHAF1A, PROX1, RPS24, SUDS3, SIN3B, UBN1, ASF1B, CHD4, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, GMNN, TRPS1, KPNA2, DPF2, BRD9, CHD8, SRCAP, SS18L1, NIPBL, PHAX, INTS9, RAMAC, HMG20B, KDM1A, RCOR1, ZNF608, TAF1, TAF3, TAF4, TAF5, TAF6, ARID4A, BCL11A, BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, PWWP2A, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SFMBT1, SIN3A, TGIF2LX, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF521, ZNF827, ACTL6A, ARID1A, BICRA, CDCA7, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCD1, SMARCD2, SMARCD3, SMARCE1
 transcription by RNA polymerase II	77	ARID4B, TFDP1, ARID5B, ZNF423, RBL2, MRGBP, BRD7, WDR5, TAF7, KPNA6, RCOR3, YEATS4, NPAT, BRD8, E2F6, EPC2, TRERF1, KAT5, CTBP1, ZNF609, ASH2L, LCOR, ZNF516, MGA, PROX1, RFX1, ERCC6, TRPS1, E2F4, DPF2, BRD9, CHD8, SRCAP, SS18L1, NIPBL, BCL7C, CTDSPL2, KDM1A, RCOR1, ZNF608, TAF3, TAF4, TAF5, TAF6, ARID4A, BCL11A, BPTF, CDK2AP1, EZH1, HDAC1, HDAC2, LIN9, MTA2, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF521, ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BICRA, BICRAL, DPF1, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
 DNA-templated transcription	69	ARID5B, ZNF423, EP400, CHD3, MRGBP, BRD7, WDR5, TAF7, YEATS4, NFRKB, NPAT, KMT2B, BRD8, EPC2, L3MBTL2, TRERF1, KAT5, CTBP1, ING3, ZNF516, MGA, ATN1, CHD4, PHF1, EMSY, CHD8, SRRT, SRCAP, SS18L1, TAF4, TAF5, TAF6, BPTF, EZH2, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN52, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, MTF2, RBBP4, RBBP7, SAP30, SAP30L, ZNF219, ACTL6A, ARID1A, ARID1B, BICRA, BICRAL, CDCA7, SMARCA2, SMARCA4, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
chromatin	64	TFDP1, SET, RBL2, CHD3, BRD7, TGIF1, RBL1, E2F6, KAT5, MAU2, MGA, CHAF1A, PROX1, SIN3B, ASF1B, CHD4, RFX1, CHAF1B, TRPS1, E2F4, DPF2, BRD9, CHD8, NIPBL, BCL7C, KDM1A, TAF1, TAF4, TAF5, BPTF, CDK2AP1, EZH2, GATAD2B, HAT1, HDAC1, HDAC2, MBD2, MBD3, MTA2, RBBP4, SIN3A, TGIF2LX, TSHZ3, ZFPM1, ZNF827, ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BICRA, BICRAL, DPF1, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
negative regulation of transcription by RNA polymerase II	63	ARID4B, JARID2, MIER2, ARID5B, SUZ12, CHD3, TGIF1, TAF7, RBL1, E2F6, KAT5, CTBP1, LCOR, ATN1, PROX1, SUDS3, SIN3B, CHD4, TRPS1, DPF2, CHD8, NIPBL, KDM1A, PHF21A, ZNF608, TAF1, TAF3, ARID4A, BCL11A, BPTF, BRMS1L, EED, EZH1, EZH2, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, PHF12, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A, TGIF2LX, ZBTB2, ZFPM1, ZNF219, ZNF512B, SMARCA2, SMARCA4
chromatin remodeling	57	JARID2, MIER2, CFDP1, EP400, CHD3, BRD7, YEATS4, NFRKB, KMT2B, ING3, SUDS3, CHD4, ERCC6, DPF2, BRD9, CHD8, SRCAP, BCL7C, TAF1, BPTF, EED, EZH1, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, KDM5A, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PWWP2A, RBBP4, RBBP7, ZNF827, ACTL6A, ARID1A, ARID1B, ARID2, BCL7A, BCL7B, BICRA, BICRAL, DPF1, PBRM1, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1
cytosol	50	ZMYM2, ARID4B, TFDP1, SET, RBL2, BRD7, NCBP1, KPNA6, POLA2, RCOR3, USP1, CDCA2, ALKBH5, TRERF1, YLPM1, KAT5, CTNNBL1, KPNA1, PROX1, RPS24, STMN1, SUDS3, TBC1D2, ASF1B, CHAF1B, MMS22L, PHF1, CABIN1, HJURP, GMNN, C17orf49, KPNA2, DPF2, SS18L1, NIPBL, PHAX, INTS9, TAF4, TAF6, BCL11A, CDK2AP1, EED, HDAC1, MBD2, MTA1, RBBP4, RBBP7, TNRC18, ARID1B, CDCA7
DNA binding	48	JARID2, ARID5B, SET, EP400, CHD3, PALB2, POLA2, NFRKB, TRERF1, ZMYM3, LCOR, PROX1, UBN1, CHD4, ERCC6, PHF1, HJURP, E2F4, C17orf49, CHD8, SRRT, SRCAP, HMG20B, PHF21A, TAF4, TAF6, ARID4A, EZH1, ING2, KDM5A, LIN9, MBD3, MTF2, SAP30, SAP30L, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF827, ARID1A, ARID1B, ARID2, PBRM1, SMARCA2, SMARCA4, SMARCB1
