Feature	Number of Genes	Genes
protein binding	31	RAB5C, SNX1, WDTC1, CCDC25, SEC23IP, UBQLN4, AGFG1, RAB1B, RFK, FAM114A1, CD99, TGFBRAP1, OSBPL11, PDCD6IP, UBQLN1, PEX13, PPP5C, BROX, TPK1, AKR1A1, TMEM231, QNG1, PSAP, IRGQ, GGA1, PICALM, C1GALT1C1, SPG21, SNX5, NUCB2, CD68
cytosol	22	SNX1, WDTC1, SEC23IP, UBQLN4, AGFG1, RAB1B, RFK, FAM114A1, OSBPL11, PDCD6IP, UBQLN1, PEX13, PPP5C, CRYZ, TPK1, AKR1A1, GGA1, PICALM, SPG21, SNX5, NUCB2, PFAS
intracellular membrane-bounded organelle	11	SNX1, SEC23IP, AGFG1, TGFBRAP1, OSBPL11, PPP5C, PSAP, GGA1, PICALM, SPG21, SNX5
extracellular exosome	10	RAB5C, RAB1B, PDCD6IP, CRYZ, BROX, AKR1A1, PSAP, C1GALT1C1, NUCB2, PFAS
cytoplasm	10	SNX1, WDTC1, SEC23IP, UBQLN4, AGFG1, RFK, CD99, TGFBRAP1, UBQLN1, PFAS
plasma membrane	9	RAB5C, CCDC25, CD99, UBQLN1, PPP5C, PSAP, PICALM, NUCB2, CD68
Golgi apparatus	9	SNX1, SEC23IP, RAB1B, FAM114A1, OSBPL11, GGA1, PICALM, SPG21, NUCB2
membrane	8	SNX1, TGFBRAP1, OSBPL11, PDCD6IP, PEX13, GGA1, PICALM, CD68
intracellular protein transport	7	RAB5C, SNX1, SEC23IP, RAB1B, TGFBRAP1, GGA1, SNX5
nucleoplasm	7	WDTC1, UBQLN4, FAM114A1, OSBPL11, UBQLN1, PPP5C, GGA1
identical protein binding	6	SNX1, UBQLN4, UBQLN1, PPP5C, CRYZ, TPK1
protein-containing complex	5	SNX1, UBQLN4, UBQLN1, PPP5C, GGA1
metal ion binding	5	SEC23IP, AGFG1, RFK, PPP5C, PFAS
perinuclear region of cytoplasm	5	UBQLN4, RAB1B, UBQLN1, PICALM, SNX5
endosome	4	RAB5C, SNX1, PDCD6IP, SNX5
endosome membrane	4	SNX1, GGA1, SPG21, CD68
ATP binding	4	RFK, PPP5C, TPK1, PFAS
GTP binding	3	RAB5C, RAB1B, IRGQ
endomembrane system	3	RAB5C, CCDC25, RAB1B
early endosome membrane	3	RAB5C, SNX1, GGA1
azurophil granule membrane	3	RAB5C, PSAP, CD68
phosphatidylinositol binding	3	SNX1, GGA1, SNX5
protein homodimerization activity	3	SNX1, PDCD6IP, PSAP
cadherin binding	3	SNX1, PICALM, SNX5
retrograde transport, endosome to Golgi	3	SNX1, GGA1, SNX5
lysosome	3	SNX1, PSAP, CD68
DNA binding	3	CCDC25, AGFG1, NUCB2
RNA binding	3	SEC23IP, AGFG1, PPP5C
endoplasmic reticulum	3	SEC23IP, UBQLN1, NUCB2
nucleus	3	UBQLN4, PPP5C, PICALM
cytoplasmic vesicle	3	UBQLN4, AGFG1, UBQLN1
early endosome	3	TGFBRAP1, GGA1, PICALM
extracellular space	3	AKR1A1, PSAP, NUCB2
GTPase activity	2	RAB5C, RAB1B
G protein activity	2	RAB5C, RAB1B
lysosomal membrane	2	RAB5C, PSAP
melanosome	2	RAB5C, PDCD6IP
receptor internalization	2	SNX1, PICALM
positive regulation of protein catabolic process	2	SNX1, GGA1
retromer complex	2	SNX1, SNX5
retromer, tubulation complex	2	SNX1, SNX5
vesicle	2	SNX1, PICALM
in utero embryonic development	2	WDTC1, TMEM231
endoplasmic reticulum to Golgi vesicle-mediated transport	2	SEC23IP, RAB1B
Golgi organization	2	SEC23IP, RAB1B
endoplasmic reticulum-Golgi intermediate compartment	2	SEC23IP, NUCB2
polyubiquitin modification-dependent protein binding	2	UBQLN4, UBQLN1
autophagy	2	UBQLN4, TGFBRAP1
autophagosome	2	UBQLN4, UBQLN1
endoplasmic reticulum membrane	2	UBQLN4, RAB1B
autophagosome assembly	2	RAB1B, UBQLN1
Golgi membrane	2	RAB1B, C1GALT1C1
apoptotic process	2	RFK, PDCD6IP
phosphorylation	2	RFK, TPK1
focal adhesion	2	CD99, PDCD6IP
regulation of macroautophagy	2	UBQLN1, SNX5
tau protein binding	2	PPP5C, PICALM
nuclear envelope	2	BROX, NUCB2
regulation of protein localization	2	TMEM231, PICALM
molecular_function	2	QNG1, GGA1
