Feature	Number of Genes	Genes
cytoplasm	15	BTBD1, ENO3, FABP3, HSPB6, KLHL41, MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3, OBSCN, PRX
cytosol	13	BTBD1, ENO3, FABP3, HSPB6, KLHL41, MYH15, MYH2, MYH6, MYH8, MYL3, OBSCN, TNNI1, TNNT1
myofibril	10	KLHL41, MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3, OBSCN
Disease variant	9	ENO3, KLHL41, LPL, MYH2, MYH6, MYH7, MYH8, MYL3, PRX
sarcomere	9	KLHL41, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3, MYOM3, OBSCN
myosin II complex	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3
actin filament binding	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, MYOM3
ATP binding	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, OBSCN
calmodulin binding	8	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8, OBSCN
muscle contraction	8	MYH1, MYH2, MYH4, MYH6, MYH7, MYH8, TNNI1, TNNT1
membrane	7	ENO3, KLHL41, LPL, MFGE8, OBSCN, PLXNA4, PRX
muscle myosin complex	7	MYH1, MYH2, MYH4, MYH6, MYH7, MYH8, MYL3
myosin filament	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
microfilament motor activity	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
thick filament	7	MYH1, MYH15, MYH2, MYH4, MYH6, MYH7, MYH8
plasma membrane	6	ENO3, KLHL41, LPL, OBSCN, PLXNA4, PRX
muscle filament sliding	5	MYH2, MYH4, MYH6, MYH7, MYH8
extracellular space	4	ENO3, FABP3, LPL, MFGE8
nucleus	4	FABP3, HSPB6, OBSCN, PRX
cell membrane	4	LPL, OBSCN, PLXNA4, PRX
ATP metabolic process	4	MYH4, MYH6, MYH7, MYH8
cardiac muscle contraction	4	MYH6, MYH7, MYL3, TNNI1
sarcomere organization	4	MYH6, MYH7, OBSCN, TNNT1
ventricular cardiac muscle tissue morphogenesis	4	MYH6, MYH7, MYL3, TNNI1
skeletal muscle contraction	4	MYH7, MYH8, TNNI1, TNNT1
extracellular exosome	3	ENO3, FABP3, MFGE8
extracellular region	3	HSPB6, LPL, MFGE8
protein homodimerization activity	3	HSPB6, LPL, MYOM3
secreted	3	HSPB6, LPL, MFGE8
M band	3	KLHL41, MYOM3, OBSCN
striated muscle contraction	3	KLHL41, MYH6, MYH7
m line	3	KLHL41, MYOM3, OBSCN
Z disc	3	MYH6, MYH7, OBSCN
regulation of the force of heart contraction	3	MYH6, MYH7, MYL3
Cardiomyopathy	3	MYH6, MYH7, MYL3
transition between fast and slow fiber	3	MYH7, TNNI1, TNNT1
structural constituent of muscle	3	MYH8, MYL3, OBSCN
cytoplasmic ribonucleoprotein granule	2	BTBD1, MYH1
nucleoplasm	2	BTBD1, KLHL41
protein-containing complex	2	BTBD1, MYH2
protein ubiquitination	2	BTBD1, KLHL41
cholesterol homeostasis	2	FABP3, LPL
myofibril assembly	2	KLHL41, MYH6
Nemaline myopathy	2	KLHL41, TNNT1
calcium ion binding	2	LPL, MYL3
A band	2	MYH1, MYL3
cell-cell junction	2	MYH2, OBSCN
Myopathy	2	MYH2, MYH7
ATP hydrolysis activity	2	MYH4, MYH8
myosin complex	2	MYH6, MYH7
stress fiber	2	MYH6, MYH7
myosin phosphatase activity	2	MYH6, MYH8
adult heart development	2	MYH6, MYH7
cardiac muscle hypertrophy in response to stress	2	MYH6, MYH7
regulation of heart rate	2	MYH6, MYH7
regulation of striated muscle contraction	2	MYL3, TNNI1
troponin complex	2	TNNI1, TNNT1
P-body	1	BTBD1
cullin family protein binding	1	BTBD1
identical protein binding	1	BTBD1
muscle organ development	1	BTBD1
neurogenesis	1	BTBD1
regulation of protein binding	1	BTBD1
phosphopyruvate hydratase complex	1	ENO3
magnesium ion binding	1	ENO3
phosphopyruvate hydratase activity	1	ENO3
canonical glycolysis	1	ENO3
glycolytic process	1	ENO3
Glycogen storage disease 13	1	ENO3
Glycogen storage disease	1	ENO3
cytoskeletal protein binding	1	FABP3
fatty acid binding	1	FABP3
long-chain fatty acid binding	1	FABP3
oleic acid binding	1	FABP3
brown fat cell differentiation	1	FABP3
fatty acid transport	1	FABP3
intracellular lipid transport	1	FABP3
long-chain fatty acid transport	1	FABP3
negative regulation of cell population proliferation	1	FABP3
phospholipid homeostasis	1	FABP3
positive regulation of long-chain fatty acid import into cell	1	FABP3
positive regulation of phospholipid biosynthetic process	1	FABP3
regulation of fatty acid oxidation	1	FABP3
regulation of phosphatidylcholine biosynthetic process	1	FABP3
Golgi apparatus	1	HSPB6
nucleolus	1	HSPB6
chaperone binding	1	HSPB6
protein folding chaperone	1	HSPB6
structural constituent of eye lens	1	HSPB6
unfolded protein binding	1	HSPB6
chaperone-mediated protein folding	1	HSPB6
negative regulation of apoptotic process	1	HSPB6
positive regulation of angiogenesis	1	HSPB6
protein refolding	1	HSPB6
response to heat	1	HSPB6
Cul3-RING ubiquitin ligase complex	1	KLHL41
cytoskeleton	1	KLHL41
endoplasmic reticulum membrane	1	KLHL41
