Feature	Number of Genes	Genes
protein binding	25	TBPL1, FBXO10, FBXO33, SMCR8, ZRANB3, RBM43, TRIM33, CGAS, RAC1, MPG, PPM1D, ZBTB9, ALKBH2, GTF3C5, KLHDC10, KMT5C, PHIP, PLEKHG2, PRIM2, SLF1, SLX1A, SMARCAL1, TAF6L, TASOR, WDR90
nucleoplasm	19	SMCR8, ZRANB3, TRIM33, CGAS, MPG, PPM1D, ALKBH2, B4GALT2, GTF3C5, KLHDC10, KMT5C, PIF1, PRIM2, SLF1, SLX1A, SMARCAL1, TAF6L, TASOR, TSEN34
nucleus	12	TRIM33, CGAS, RAC1, PPM1D, ZBTB9, ALKBH2, KMT5C, PHIP, SLF1, SMARCAL1, TAF6L, ZC3H3
metal ion binding	9	ZRANB3, CGAS, PPM1D, ZBTB9, B4GALT2, KMT5C, PRIM2, SLX1A, ZC3H3
cytoplasm	8	TBPL1, FBXO10, SMCR8, CGAS, RAC1, KLHDC10, SLF1, WDR90
cytosol	6	FBXO10, CGAS, RAC1, MPG, PPM1D, PLEKHG2
DNA repair	6	ZRANB3, CGAS, KMT5C, PIF1, SLX1A, SMARCAL1
DNA binding	6	TRIM33, CGAS, GTF3C5, PRIM2, TAF6L, ZC3H3
protein ubiquitination	4	FBXO10, FBXO33, TRIM33, KLHDC10
ATP binding	4	ZRANB3, CGAS, PIF1, SMARCAL1
chromatin remodeling	4	ZRANB3, KMT5C, SMARCAL1, TAF6L
DNA damage response	4	ZRANB3, CGAS, SLF1, SMARCAL1
 transcription by RNA polymerase II	4	ZBTB9, PHIP, SMARCAL1, TAF6L
ubiquitin-protein transferase activity	3	FBXO10, TRIM33, FBXL6
chromatin binding	3	CGAS, KMT5C, TASOR
site of double-strand break	3	CGAS, SLF1, SMARCAL1
nucleolus	3	PPM1D, ALKBH2, TSEN34
RNA polymerase II general transcription initiation factor activity	2	TBPL1, TAF6L
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	2	FBXO33, FBXL6
SCF ubiquitin ligase complex	2	FBXO33, FBXL6
guanyl-nucleotide exchange factor activity	2	SMCR8, PLEKHG2
protein kinase binding	2	SMCR8, RAC1
postsynapse	2	SMCR8, RAC1
ATP-dependent DNA/DNA annealing activity	2	ZRANB3, SMARCAL1
ATP-dependent chromatin remodeler activity	2	ZRANB3, SMARCAL1
replication fork processing	2	ZRANB3, SMARCAL1
nuclear replication fork	2	ZRANB3, SMARCAL1
RNA binding	2	RBM43, TASOR
R-SMAD binding	2	TRIM33, ZC3H3
GTP binding	2	CGAS, RAC1
plasma membrane	2	CGAS, RAC1
protein-containing complex binding	2	RAC1, SLF1
 protein phosphorylation	2	RAC1, PHIP
 cell shape	2	RAC1, PHIP
extracellular exosome	2	RAC1, TAF6L
DNA dealkylation involved in DNA repair	2	MPG, ALKBH2
negative regulation of gene expression, epigenetic	2	PPM1D, TASOR
heterochromatin	2	KMT5C, TASOR
 DNA-templated transcription	2	PHIP, TAF6L
 telomere maintenance	2	PIF1, SLF1
chromosome, telomeric region	2	PIF1, SLF1
double-strand break repair via homologous recombination	2	SLF1, SLX1A
centrosome	2	SLF1, WDR90
t-circle formation	2	SLX1A, SMARCAL1
RNA polymerase II core promoter sequence-specific DNA binding	1	TBPL1
general transcription initiation factor activity	1	TBPL1
acrosome assembly	1	TBPL1
dTTP biosynthetic process	1	TBPL1
DNA-templated transcription initiation	1	TBPL1
transcription by RNA polymerase II	1	TBPL1
spermatid nucleus differentiation	1	TBPL1
male germ cell nucleus	1	TBPL1
transcription factor TFIIA complex	1	TBPL1
ubiquitin-dependent protein catabolic process	1	FBXO10
apoptotic process	1	FBXO10
 apoptotic process	1	FBXO10
ubiquitin ligase complex	1	FBXO10
 protein ubiquitination	1	FBXO33
protein kinase inhibitor activity	1	SMCR8
GTPase activator activity	1	SMCR8
negative regulation of protein kinase activity	1	SMCR8
autophagy	1	SMCR8
 autophagy	1	SMCR8
negative regulation of gene expression	1	SMCR8
negative regulation of macroautophagy	1	SMCR8
 TOR signaling	1	SMCR8
 GTPase activity	1	SMCR8
negative regulation of exocytosis	1	SMCR8
negative regulation of immune response	1	SMCR8
 autophagosome maturation	1	SMCR8
negative regulation of autophagosome assembly	1	SMCR8
 TORC1 signaling	1	SMCR8
chromatin	1	SMCR8
guanyl-nucleotide exchange factor complex	1	SMCR8
cell projection	1	SMCR8
presynapse	1	SMCR8
Atg1/ULK1 kinase complex	1	SMCR8
DNA helicase activity	1	ZRANB3
DNA endonuclease activity	1	ZRANB3
K63-linked polyubiquitin modification-dependent protein binding	1	ZRANB3
response to UV	1	ZRANB3
DNA rewinding	1	ZRANB3
negative regulation of DNA recombination	1	ZRANB3
replication fork reversal	1	ZRANB3
zinc ion binding	1	TRIM33
co-SMAD binding	1	TRIM33
negative regulation of transcription by RNA polymerase II	1	TRIM33
 transforming growth factor beta receptor signaling pathway	1	TRIM33
negative regulation of BMP signaling pathway	1	TRIM33
negative regulation of DNA-templated transcription	1	TRIM33
double-stranded DNA binding	1	CGAS
phosphatidylinositol-4,5-bisphosphate binding	1	CGAS
enzyme activator activity	1	CGAS
nucleosome binding	1	CGAS
protein homodimerization activity	1	CGAS
2',3'-cyclic GMP-AMP synthase activity	1	CGAS
molecular function activator activity	1	CGAS
molecular function inhibitor activity	1	CGAS
molecular condensate scaffold activity	1	CGAS
poly-ADP-D-ribose modification-dependent protein binding	1	CGAS
activation of innate immune response	1	CGAS
pattern recognition receptor signaling pathway	1	CGAS
 defense response to virus by host	1	CGAS
 immunoglobulin production	1	CGAS
cytosolic pattern recognition receptor signaling pathway	1	CGAS
determination of adult lifespan	1	CGAS
cAMP-mediated signaling	1	CGAS
cGMP-mediated signaling	1	CGAS
 type I interferon production	1	CGAS
paracrine signaling	1	CGAS
innate immune response	1	CGAS
 innate immune response	1	CGAS
negative regulation of innate immune response	1	CGAS
 T cell activation	1	CGAS
defense response to virus	1	CGAS
cellular response to exogenous dsRNA	1	CGAS
negative regulation of double-strand break repair via homologous recombination	1	CGAS
 cellular senescence	1	CGAS
nuclear body	1	CGAS
GTPase activity	1	RAC1
G protein activity	1	RAC1
enzyme binding	1	RAC1
thioesterase binding	1	RAC1
Rho GDP-dissociation inhibitor binding	1	RAC1
molecular adaptor activity	1	RAC1
neuron migration	1	RAC1
sphingosine-1-phosphate receptor signaling pathway	1	RAC1
inflammatory response	1	RAC1
actin filament organization	1	RAC1
cell adhesion	1	RAC1
cell-matrix adhesion	1	RAC1
establishment or maintenance of cell polarity	1	RAC1
small GTPase mediated signal transduction	1	RAC1
motor neuron axon guidance	1	RAC1
 cell size	1	RAC1
response to wounding	1	RAC1
anatomical structure morphogenesis	1	RAC1
 hydrogen peroxide metabolic process	1	RAC1
 lamellipodium assembly	1	RAC1
 endothelial cell migration	1	RAC1
negative regulation of fibroblast migration	1	RAC1
 cell-substrate adhesion	1	RAC1
cell migration	1	RAC1
Rac protein signal transduction	1	RAC1
lamellipodium assembly	1	RAC1
actin cytoskeleton organization	1	RAC1
actin filament polymerization	1	RAC1
 cell migration	1	RAC1
cortical cytoskeleton organization	1	RAC1
 microtubule polymerization	1	RAC1
ruffle organization	1	RAC1
negative regulation of interleukin-23 production	1	RAC1
 actin cytoskeleton organization	1	RAC1
substrate adhesion-dependent cell spreading	1	RAC1
 Rho protein signal transduction	1	RAC1
intracellular signal transduction	1	RAC1
engulfment of apoptotic cell	1	RAC1
