Feature	Number of Genes	Genes
DNA-binding transcription factor activity, RNA polymerase II-specific	8	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
protein binding	8	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
 transcription by RNA polymerase II	8	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
chromatin	8	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
nucleus	8	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
sequence-specific double-stranded DNA binding	7	CREB5, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
nucleoplasm	7	FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
RNA polymerase II transcription regulator complex	7	FOSL2, ATF7, ATF2, FOSL1, JUN, JUNB, JUND
DNA-binding transcription factor activity	6	CREB5, FOSL2, ATF7, ATF2, FOSL1, JUN
RNA polymerase II cis-regulatory region sequence-specific DNA binding	6	FOSL2, ATF2, FOSL1, JUN, JUNB, JUND
DNA-binding transcription activator activity, RNA polymerase II-specific	6	FOSL2, ATF2, FOSL1, JUN, JUNB, JUND
cAMP response element binding	4	CREB5, ATF7, ATF2, JUN
 DNA-templated transcription	4	CREB5, ATF7, ATF2, JUN
 cell population proliferation	4	FOSL1, JUN, JUNB, JUND
 cell cycle	4	FOSL1, JUN, JUNB, JUND
metal ion binding	3	CREB5, ATF7, ATF2
transcription cis-regulatory region binding	3	ATF7, JUN, JUND
enzyme binding	3	ATF7, JUN, JUND
negative regulation of transcription by RNA polymerase II	3	ATF2, JUN, JUND
 DNA-binding transcription factor activity	3	ATF2, FOSL1, JUND
integrated stress response signaling	3	FOSL1, JUN, JUNB
transcription factor binding	3	JUN, JUNB, JUND
cellular response to calcium ion	3	JUN, JUNB, JUND
transcription regulator complex	3	JUN, JUNB, JUND
transcription factor AP-1 complex	3	JUN, JUNB, JUND
RNA polymerase II transcription regulatory region sequence-specific DNA binding	2	FOSL2, ATF2
chromatin binding	2	FOSL2, JUN
 fibroblast proliferation	2	FOSL2, JUN
cytoplasm	2	ATF7, ATF2
identical protein binding	2	ATF2, JUN
RNA polymerase II-specific DNA-binding transcription factor binding	2	ATF2, JUN
in utero embryonic development	2	ATF2, FOSL1
liver development	2	ATF2, JUN
outflow tract morphogenesis	2	ATF2, JUN
response to organic cyclic compound	2	ATF2, JUND
cellular response to anisomycin	2	ATF2, JUN
 transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	2	ATF2, JUN
negative regulation of cell population proliferation	2	FOSL1, JUN
response to xenobiotic stimulus	2	FOSL1, JUN
response to mechanical stimulus	2	FOSL1, JUND
 apoptotic process	2	FOSL1, JUN
 miRNA transcription	2	FOSL1, JUN
 DNA-templated transcription initiation	2	FOSL1, JUN
DNA binding	2	JUN, JUNB
transcription repressor complex	2	JUN, JUND
extracellular exosome	1	CREB5
keratinocyte development	1	FOSL2
cell death	1	FOSL2
transcription coactivator binding	1	ATF7
mitogen-activated protein kinase binding	1	ATF7
chromosome, telomeric region	1	ATF7
cis-regulatory region sequence-specific DNA binding	1	ATF2
histone acetyltransferase activity	1	ATF2
