Feature	Number of Genes	Genes
nucleus	29	BCLAF1, BMP2K, BRD2, CDK11A, CDK11B, CHTOP, CWC25, GPATCH8, HBP1, IK, NCBP3, PNN, PPIG, PRPF40A, PRPF4B, RBBP6, RBM15B, RBM25, SETD2, SFSWAP, SON, SRRM2, SRSF11, SRSF4, SRSF6, THRAP3, WBP11, ZC3H14, ZC3H18
RNA binding	25	BCLAF1, CDK11B, CHTOP, GPATCH8, HBP1, NCBP3, PNN, PPIG, PRPF40A, PRPF4B, RBBP6, RBM15B, RBM25, RSRC2, SFSWAP, SON, SRRM2, SRSF11, SRSF4, SRSF6, THRAP3, UNK, WBP11, ZC3H14, ZC3H18
nuclear speck	23	BCLAF1, BMP2K, BRD2, CHTOP, CWC25, HBP1, IK, NCBP3, PNN, PPIG, PRPF40A, PRPF4B, RBBP6, RBM15B, RBM25, SON, SRRM2, SRSF11, SRSF4, SRSF6, THRAP3, ZC3H14, ZC3H18
nucleoplasm	16	BCLAF1, BRD2, CHTOP, CWC25, HBP1, IK, PPIG, PRPF40A, RBM15B, SETD2, SRRM2, SRSF11, SRSF4, SRSF6, THRAP3, WBP11
cytoplasm	13	BCLAF1, BMP2K, BRD2, CDK11A, CDK11B, IK, NCBP3, PPIG, RBBP6, RBM25, UNK, WBP11, ZC3H14
nucleus speckle	13	BCLAF1, CHTOP, PNN, PPIG, PRPF40A, RBM15B, RBM25, SON, SRRM2, SRSF4, SRSF6, THRAP3, ZC3H14
mRNA splicing, via spliceosome	8	CWC25, IK, PNN, PRPF40A, PRPF4B, SRRM2, SRSF4, SRSF6
RNA splicing	8	PPIG, PRPF4B, RBM15B, RBM25, SON, SRSF11, SRSF4, THRAP3
mRNA binding	7	CHTOP, NCBP3, RBM15B, RBM25, SRRM2, SRSF4, SRSF6
mRNA processing	7	RBBP6, RBM15B, RBM25, SON, SRSF11, SRSF4, THRAP3
ATP binding	5	BMP2K, CDK11A, CDK11B, PRPF4B, THRAP3
protein serine/threonine kinase activity	5	BMP2K, BRD2, CDK11A, CDK11B, PRPF4B
protein phosphorylation	5	BMP2K, BRD2, CDK11A, CDK11B, PRPF4B
spliceosome	5	CWC25, IK, PNN, PRPF4B, SRRM2
metal ion binding	5	GPATCH8, SETD2, UNK, ZC3H14, ZC3H18
DNA binding	4	BCLAF1, PNN, SON, THRAP3
protein serine kinase activity	4	BMP2K, CDK11A, CDK11B, PRPF4B
regulation of DNA-templated transcription	4	BRD2, CDK11A, CDK11B, SETD2
regulation of cell cycle	4	CDK11A, CDK11B, HBP1, SON
chromosome	4	IK, PRPF4B, RBBP6, SETD2
regulation of alternative mRNA splicing, via spliceosome	4	RBM15B, RBM25, SRSF6, THRAP3
apoptotic process	3	BCLAF1, CDK11A, CDK11B
protein kinase activity	3	CDK11A, CDK11B, PRPF4B
mitotic cell cycle	3	CDK11A, CDK11B, IK
regulation of apoptotic process	3	CDK11A, CDK11B, RBM25
regulation of RNA splicing	3	CDK11A, CDK11B, SON
nucleolus	3	CHTOP, RBBP6, ZC3H14
in utero embryonic development	3	CHTOP, RBBP6, UNK
mRNA export from nucleus	3	CHTOP, NCBP3, RBM15B
catalytic step 2 spliceosome	3	PNN, PRPF4B, SRRM2
cytosol	3	PPIG, RBBP6, WBP11
mRNA cis splicing, via spliceosome	3	PRPF40A, PRPF4B, WBP11
Disease variant	3	SETD2, SON, WBP11
Intellectual disability	3	SETD2, SON, ZC3H14
negative regulation of mRNA splicing, via spliceosome	3	SFSWAP, SRSF4, SRSF6
mediator complex	2	BCLAF1, THRAP3
transcription coregulator activity	2	BCLAF1, THRAP3
positive regulation of transcription by RNA polymerase II	2	BCLAF1, THRAP3
chromatin	2	BRD2, HBP1
neural tube closure	2	BRD2, SETD2
regulation of transcription by RNA polymerase II	2	BRD2, HBP1
cyclin-dependent protein kinase holoenzyme complex	2	CDK11A, CDK11B
cyclin-dependent protein serine/threonine kinase activity	2	CDK11A, CDK11B
regulation of cell growth	2	CDK11A, CDK11B
regulation of centrosome cycle	2	CDK11A, CDK11B
regulation of mitotic cell cycle	2	CDK11A, CDK11B
regulation of mRNA processing	2	CDK11A, CDK11B
RNA polymerase II cis-regulatory region sequence-specific DNA binding	2	HBP1, THRAP3
U2-type precatalytic spliceosome	2	IK, SRRM2
identical protein binding	2	IK, SRSF11
cytoskeleton	2	IK, RBBP6
defense response to virus	2	NCBP3, SETD2
membrane	2	PNN, PRPF40A
Tumor suppressor	2	PNN, SETD2
intracellular membrane-bounded organelle	2	PPIG, WBP11
nuclear matrix	2	PPIG, PRPF40A
nucleus matrix	2	PPIG, PRPF40A
regulation of cytokinesis	2	PRPF40A, SETD2
protein-containing complex	2	RBBP6, ZC3H18
alternative mRNA splicing, via spliceosome	2	SFSWAP, SRSF6
response to insulin	2	SRSF4, SRSF6
ribonucleoprotein complex	2	ZC3H14, ZC3H18
cellular response to leukemia inhibitory factor	1	BCLAF1
negative regulation of DNA-templated transcription	1	BCLAF1
positive regulation of apoptotic process	1	BCLAF1
positive regulation of DNA-templated transcription initiation	1	BCLAF1
positive regulation of intrinsic apoptotic signaling pathway	1	BCLAF1
positive regulation of response to DNA damage stimulus	1	BCLAF1
regulation of DNA-templated transcription in response to stress	1	BCLAF1
AP-2 adaptor complex binding	1	BMP2K
phosphatase regulator activity	1	BMP2K
positive regulation of Notch signaling pathway	1	BMP2K
regulation of bone mineralization	1	BMP2K
regulation of clathrin-dependent endocytosis	1	BMP2K
chromatin binding	1	BRD2
