Feature	Number of Genes	Genes
mitochondrion	201	IREB2, ACADM, CIAPIN1, ECH1, GPX1, GRPEL1, HSDL2, ME2, PNPT1, PUS1, SLC25A14, TRMT10C, PDK2, TIMM50, DHX36, MRM1, MTPAP, POLRMT, TFAM, ACAD9, NDUFB9, NDUFS4, TIMMDC1, LYRM2, LARS2, DNA2, MTG1, GCDH, L2HGDH, NIPSNAP2, CCM2, PDPR, ETFB, GTPBP8, MTFR1, MRPS23, HDHD5, LACTB, ARMCX2, NARS2, AMMECR1, COX6C, DDAH2, MTHFD1L, BCKDK, DHRS2, PITRM1, POLDIP2, MCL1, LRPPRC, PYCR2, SLC25A25, MTERF4, PCK2, COA7, HK2, MCCC2, ALDH1L2, POLG2, XPNPEP3, CYCS, GRPEL2, OAT, C1QBP, LIAS, NME4, TIMM9, UQCC2, TMLHE, GLRX5, MRPS18B, NOA1, TTC19, FAHD1, ACAA2, OGDH, FASTKD2, SELENOO, DARS2, PDHX, TIMM10, MGME1, UQCRFS1, COX5B, DBT, MIPEP, NDUFAB1, ALDH18A1, MRPS25, MRPS36, SARS2, COX4I1, AGK, PPM1K, MIX23, NDUFA12, UQCRQ, SLC25A6, UQCRC2, SFXN3, COX6B1, COX7A2L, HTRA2, MTCH2, UQCRC1, HINT2, TOMM22, TOMM20, SAMM50, CARD19, TOMM5, CHCHD2, NFKB1, RSAD1, CIBAR1, FOXRED1, LONP1, MTIF2, PRELID1, DIABLO, PMPCA, MTERF3, MRPL53, MRPL37, MRPL58, MRPL28, BCAT2, MRPL14, MRPL23, MRPL42, MALSU1, MRPL48, YARS2, HSPD1, PMPCB, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MTFR1L, MRPL40, MRPL9, MRPL46, MRPL19, GTPBP3, COQ3, MRPL41, MRPL50, MRPL44, MRPL22, PARP9, MRPL57, NGRN, MRPS11, DAP3, MRPS22, MRPS9, TRMT61B, MRPL15, MRPL39, MRPL52, MTHFD2, RHOT2, DNLZ, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFAF4, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40, AIFM1, GFER, PDHA1, ACAT1, DHTKD1, DLD, ETHE1, GCSH, MRPS10, MRPS14, MRPS15, MRPS2, MRPS26, MRPS27, MRPS34, MRPS5
protein binding	195	IREB2, CIAPIN1, ECH1, GRPEL1, HNRNPLL, PNPT1, TRMT10C, UBE2H, PDK2, TIMM50, DHX36, MRM1, MTPAP, PLEKHO1, POLRMT, TFAM, ZKSCAN1, ACAD9, NDUFB9, NDUFS4, TIMMDC1, CNNM3, LYRM2, ELAVL2, ZNHIT3, WSB1, DCTD, P4HA1, S100A10, DNA2, MTG1, HSPBAP1, KLHL29, USP54, NIPSNAP2, DTNB, FBXL12, JADE1, RNF138, CCM2, TMCO6, ZNF223, ETFB, CNKSR3, GTPBP8, MTFR1, MRPS23, ADNP2, RTKN, PPP3CB, NRDE2, GNG12, AMMECR1, COX6C, PDCD2L, DDAH2, BCKDK, RICTOR, DHRS2, POLDIP2, MCL1, LRPPRC, PYCR2, MTERF4, PCK2, DCAF5, COA7, HK2, MCCC2, ALDH1L2, GRK6, POLG2, XPNPEP3, LRRC15, CYCS, OAT, C1QBP, NME4, TIMM9, UQCC2, GLRX5, FBXW5, MRPS18B, NOA1, TTC19, ACAA2, OGDH, FASTKD2, DARS2, PDHX, TIMM10, MGME1, UQCRFS1, COX5B, NDUFAB1, MMAB, S100A4, RNF151, ALDH18A1, SARS2, COX4I1, AGK, PPM1K, MOCOS, NDUFA12, SLC25A6, UQCRC2, SFXN3, FGFR1OP2, HTRA2, TRIM3, MTCH2, SLC38A9, UQCRC1, TOMM22, TOMM20, SAMM50, FAM136A, CHCHD2, BIRC3, ANKRD52, EIF4E2, NFKB1, SPSB3, CIBAR1, PLEKHJ1, LONP1, PRELID1, CEP85, DIABLO, RNF115, TRAF6, MYH10, PMPCA, MTERF3, MRPL53, MRPL28, MRPL23, MAPK11, MALSU1, MRPL48, YARS2, HSPD1, MRPL12, MRPL51, GADD45GIP1, MRPL10, MTFR1L, MRPL40, MRPL9, MRPL19, GTPBP3, COQ3, MRPL41, MRPL44, PARP9, MRPL57, NGRN, MRPS11, DAP3, MRPS9, TRMT61B, MRPL15, MTHFD2, RHOT2, FAM185A, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFAF4, NDUFB11, NDUFB5, NDUFB6, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40, AIFM1, GFER, PDHA1, STK38, DHTKD1, DLD, ETHE1, GCSH, LRP2, MRPS14, MRPS27, SMG5
mitochondrial inner membrane	96	SLC25A14, TIMM50, ACAD9, NDUFB9, NDUFS4, TIMMDC1, MTG1, L2HGDH, MRPS23, COX6C, SLC25A25, CYCS, NME4, TIMM9, UQCC2, MRPS18B, TTC19, TIMM10, UQCRFS1, COX5B, NDUFAB1, ALDH18A1, MRPS25, MRPS36, COX4I1, AGK, NDUFA12, UQCRQ, SLC25A6, UQCRC2, COX6B1, COX7A2L, UQCRC1, CIBAR1, FOXRED1, PMPCA, MRPL53, MRPL37, MRPL58, MRPL28, MRPL14, MRPL23, MRPL42, MRPL48, HSPD1, PMPCB, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MRPL40, MRPL9, MRPL46, MRPL19, COQ3, MRPL41, MRPL50, MRPL44, MRPL22, MRPL57, MRPS11, DAP3, MRPS22, MRPS7, MRPS9, MRPL15, MRPL39, MRPL52, ND4, NDUFA13, NDUFA7, NDUFA8, NDUFAF4, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40, AIFM1, MRPS10, MRPS14, MRPS15, MRPS2, MRPS21, MRPS26, MRPS27, MRPS34, MRPS5
cytosol	70	RO60, IREB2, ECH1, GPX1, PNPT1, UBE2H, FAM120A, PDK2, DHX36, TFAM, SCLT1, WSB1, DCTD, GART, FBXL12, ATP6V1C2, MTFR1, RTKN, PPP3CB, LACTB, NARS2, DDAH2, MTHFD1L, RICTOR, MCL1, MTERF4, PCK2, HK2, MCCC2, TTLL4, XPNPEP3, CYCS, C1QBP, FBXW5, FAHD1, DBT, S100A4, COX4I1, AGK, MOCOS, NDUFA12, FGFR1OP2, HTRA2, CARD19, BIRC3, EIF4E2, NFKB1, SPSB3, PLEKHJ1, LONP1, CEP85, DIABLO, RNF115, TRAF6, MYH10, MTERF3, MRPL28, MAPK11, MALSU1, YARS2, HSPD1, MRPL50, PARP9, NDUFAF4, NDUFV1, TOMM40, AIFM1, GFER, STK38, SMG5
mitochondrial matrix	69	ACADM, GPX1, GRPEL1, ME2, PNPT1, PUS1, TRMT10C, PDK2, MRM1, POLRMT, TFAM, LARS2, MTG1, GCDH, PDPR, ETFB, NARS2, MTHFD1L, BCKDK, DHRS2, PITRM1, POLDIP2, PYCR2, MTERF4, PCK2, MCCC2, ALDH1L2, GPT2, POLG2, OAT, C1QBP, LIAS, NME4, UQCC2, TMLHE, GLRX5, FAHD1, ACAA2, OGDH, FASTKD2, DARS2, PDHX, DBT, MIPEP, NDUFAB1, MMAB, SARS2, PPM1K, LONP1, MRPL58, BCAT2, MALSU1, YARS2, HSPD1, GADD45GIP1, COQ3, TRMT61B, MTHFD2, NDUFA9, NDUFB8, NDUFS1, NDUFS2, NDUFS8, PDHA1, ACAT1, DHTKD1, DLD, ETHE1, GCSH
cytoplasm	57	IREB2, ACADM, CIAPIN1, GPX1, PNPT1, PUS1, DHX36, PLEKHO1, ZNHIT3, DCTD, S100A10, DNA2, HSPBAP1, DTNB, JADE1, CCM2, PDPR, CNKSR3, PPP3CB, PDCD2L, DHRS2, MCL1, RCAN2, DCAF5, GRK6, POLG2, XPNPEP3, OAT, C1QBP, FBXW5, DBT, RNF151, TRIM3, HINT2, FAM136A, BIRC3, EIF4E2, NFKB1, RSAD1, CIBAR1, FOXRED1, MTIF2, RNF115, TRAF6, MYH10, MAPK11, HSPD1, GTPBP3, PARP9, NDUFA13, NDUFC2, AIFM1, STK38, ETHE1, GCSH, MRPS27, SMG5
nucleoplasm	56	RO60, CIAPIN1, GRPEL1, PUS1, TRMT10C, PDK2, TIMM50, DHX36, MTPAP, TIMMDC1, DNA2, JADE1, PPP3CB, NRDE2, NARS2, AMMECR1, DHRS2, MCL1, LRPPRC, WDR70, DCAF5, COA7, ALDH1L2, OAT, MRPS18B, FAHD1, DARS2, NDUFAB1, S100A4, COX4I1, UQCRC2, BIRC3, NFKB1, LONP1, MTIF2, PRELID1, MRPL58, BCAT2, MAPK11, GADD45GIP1, MRPL10, MRPL46, MRPL44, PARP9, NGRN, DAP3, MRPL52, DNLZ, NDUFA13, NDUFB4, NDUFB5, NDUFB6, NDUFS2, ETHE1, MRPS15, MRPS26
nucleus	55	ACADM, GPX1, HNRNPLL, PNPT1, PUS1, TRMT10C, UBE2H, FAM120A, DHX36, PLEKHO1, TFAM, ZKSCAN1, ACAD9, ZNHIT3, DNA2, DTNB, JADE1, RNF138, ZNF223, ADNP2, NRDE2, AMMECR1, DHRS2, POLDIP2, MCL1, LRPPRC, WDR70, RCAN2, CYCS, C1QBP, GLRX5, OGDH, S100A4, RNF151, SLC25A6, HTRA2, MTCH2, CARD19, CHCHD2, BIRC3, NFKB1, CIBAR1, TRAF6, MYH10, MAPK11, MRPL40, MRPL19, PARP9, NGRN, NDUFA9, AIFM1, PDHA1, STK38, DLD, SMG5
RNA binding	54	RO60, IREB2, HNRNPLL, PNPT1, PUS1, TRMT10C, FAM120A, TIMM50, DHX36, MRM1, MTPAP, POLRMT, TFAM, ZCCHC24, ELAVL2, DNA2, ZNFX1, MRPS23, LRPPRC, NOA1, ACAA2, FASTKD2, S100A4, ALDH18A1, SARS2, EIF4E2, MTIF2, MRPL37, MRPL28, MRPL14, MRPL23, MRPL42, YARS2, HSPD1, MRPL12, MRPL10, MRPL40, MRPL9, MRPL41, MRPL44, MRPL22, NGRN, MRPS11, DAP3, MRPS7, MRPS9, MRPL15, MRPL39, NDUFV3, MRPS14, MRPS15, MRPS21, MRPS26, MRPS5
mitochondrial translation	46	LARS2, MTG1, MRPS23, MRPS18B, FASTKD2, MRPS25, MRPL53, MRPL37, MRPL58, MRPL28, MRPL14, MRPL23, MRPL42, MRPL48, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MRPL40, MRPL9, MRPL46, MRPL19, MRPL41, MRPL50, MRPL44, MRPL22, MRPL57, MRPS11, DAP3, MRPS22, MRPS7, MRPS9, MRPL15, MRPL39, MRPL52, NDUFA7, MRPS10, MRPS14, MRPS15, MRPS2, MRPS21, MRPS26, MRPS27, MRPS34, MRPS5
