Feature	Number of Genes	Genes
mitochondrion	25	NDUFB9, NDUFS4, TIMMDC1, PRELID1, DNLZ, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFAF4, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40
protein binding	23	NDUFB9, NDUFS4, TIMMDC1, DCTD, PRELID1, FAM185A, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFAF4, NDUFB11, NDUFB5, NDUFB6, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40
aerobic respiration	20	NDUFB9, NDUFS4, ND4, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3
proton motive force-driven mitochondrial ATP synthesis	20	NDUFB9, NDUFS4, ND4, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3
mitochondrial inner membrane	20	NDUFB9, NDUFS4, TIMMDC1, ND4, NDUFA13, NDUFA7, NDUFA8, NDUFAF4, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFV1, NDUFV2, NDUFV3, TMEM126B, TOMM40
mitochondrial respiratory chain complex I	20	NDUFB9, NDUFS4, ND4, NDUFA13, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3
NADH dehydrogenase (ubiquinone) activity	18	NDUFB9, NDUFS4, ND4, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3
mitochondrial electron transport, NADH to ubiquinone	18	NDUFB9, NDUFS4, ND4, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2, NDUFV3
mitochondrial respiratory chain complex I assembly	18	NDUFB9, NDUFS4, ND4, NDUFA13, NDUFA8, NDUFA9, NDUFAF4, NDUFB1, NDUFB11, NDUFB4, NDUFB5, NDUFB6, NDUFB8, NDUFC2, NDUFS1, NDUFS2, NDUFS8, TMEM126B
nucleoplasm	8	TIMMDC1, PRELID1, DNLZ, NDUFA13, NDUFB4, NDUFB5, NDUFB6, NDUFS2
NADH dehydrogenase activity	5	ND4, NDUFA9, NDUFS2, NDUFS8, NDUFV2
mitochondrial matrix	5	NDUFA9, NDUFB8, NDUFS1, NDUFS2, NDUFS8
metal ion binding	5	NDUFS1, NDUFS2, NDUFS8, NDUFV1, NDUFV2
cytosol	4	DCTD, NDUFAF4, NDUFV1, TOMM40
mitochondrial membrane	4	NDUFA13, NDUFA9, NDUFAF4, NDUFB6
mitochondrial ATP synthesis coupled electron transport	4	NDUFB6, NDUFS2, NDUFV1, NDUFV3
