Feature	Number of Genes	Genes
nucleus	41	ARID4A, BCL11A, BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, PWWP2A, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SFMBT1, SIN3A, TGIF2LX, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF521, ZNF827
nucleoplasm	39	ARID4A, BCL11A, BPTF, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF512B, ZNF521
protein binding	39	BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PHF12, PWWP2A, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF512B, ZNF521, ZNF827
negative regulation of transcription by RNA polymerase II	34	ARID4A, BCL11A, BPTF, BRMS1L, EED, EZH1, EZH2, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, PHF12, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A, TGIF2LX, ZBTB2, ZFPM1, ZNF219, ZNF512B
 DNA-templated transcription	23	BPTF, EZH2, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN52, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, MTF2, RBBP4, RBBP7, SAP30, SAP30L, ZNF219
negative regulation of DNA-templated transcription	20	ARID4A, EED, EZH2, GATAD2A, GATAD2B, HDAC1, HDAC2, MBD2, MBD3, MTA1, MTA2, MTA3, PHF12, RBBP4, RBBP7, SFMBT1, SIN3A, TSHZ3, ZNF219, ZNF827
metal ion binding	19	BCL11A, BPTF, GATAD2A, ING1, ING2, MTA1, MTA2, MTA3, MTF2, PHF12, SAP30, SHPRH, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF512B, ZNF521, ZNF827
chromatin remodeling	19	BPTF, EED, EZH1, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, KDM5A, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PWWP2A, RBBP4, RBBP7, ZNF827
chromatin	16	BPTF, CDK2AP1, EZH2, GATAD2B, HAT1, HDAC1, HDAC2, MBD2, MBD3, MTA2, RBBP4, SIN3A, TGIF2LX, TSHZ3, ZFPM1, ZNF827
DNA binding	15	ARID4A, EZH1, ING2, KDM5A, LIN9, MBD3, MTF2, SAP30, SAP30L, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF827
 transcription by RNA polymerase II	14	ARID4A, BCL11A, BPTF, CDK2AP1, EZH1, HDAC1, HDAC2, LIN9, MTA2, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF521
Sin3 complex	13	ARID4A, BRMS1L, HDAC1, HDAC2, ING1, ING2, PHF12, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A
histone deacetylation	13	BRMS1L, GATAD2A, GATAD2B, HDAC1, HDAC2, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, RBBP4, RBBP7
transcription corepressor activity	13	EZH1, EZH2, HDAC1, MIER1, MIER3, MTA1, MTA2, MTA3, PHF12, SAP30, SFMBT1, SIN3A, ZFPM1
negative regulation of cell migration	12	ARID4A, BRMS1L, HDAC1, HDAC2, ING1, ING2, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A
negative regulation of transforming growth factor beta receptor signaling pathway	12	ARID4A, BRMS1L, HDAC1, HDAC2, ING1, ING2, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A
