Feature	Number of Genes	Genes
nucleus	18	CFDP1, MBTD1, TRRAP, KCTD15, ASH1L, YEATS4, NFRKB, BRD8, EPC2, KAT5, ING3, ANP32E, ACTR8, INO80, RUVBL1, YY1, ZNHIT1, EPC1
protein binding	18	EP400, MBTD1, MRGBP, TRRAP, KCTD15, YEATS4, NFRKB, MRFAP1, BRD8, KAT5, ING3, ANP32E, ACTR8, INO80, RUVBL1, YY1, ZNHIT1, EPC1
 DNA-templated transcription	17	EP400, MBTD1, MRGBP, TRRAP, ASH1L, YEATS4, NFRKB, BRD8, EPC2, KAT5, ING3, ACTR8, INO80, RUVBL1, YY1, ZNHIT1, EPC1
nucleoplasm	16	EP400, MRGBP, TRRAP, ASH1L, YEATS4, NFRKB, MRFAP1, BRD8, KAT5, ING3, ACTR8, INO80, RUVBL1, YY1, ZNHIT1, EPC1
 cell cycle	15	EP400, MBTD1, MRGBP, TRRAP, YEATS4, NFRKB, BRD8, EPC2, KAT5, ING3, ACTR8, INO80, RUVBL1, YY1, EPC1
 apoptotic process	12	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, ANP32E, RUVBL1, EPC1
nucleosome	12	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, ZNHIT1, EPC1
chromatin remodeling	11	CFDP1, EP400, ASH1L, YEATS4, NFRKB, ING3, ACTR8, INO80, RUVBL1, YY1, ZNHIT1
histone acetylation	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
histone H4 acetylation	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
histone H2A acetylation	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
 double-strand break repair via homologous recombination	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
 double-strand break repair	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
NuA4 histone acetyltransferase complex	11	EP400, MBTD1, MRGBP, TRRAP, YEATS4, BRD8, EPC2, KAT5, ING3, RUVBL1, EPC1
 transcription by RNA polymerase II	11	MRGBP, TRRAP, ASH1L, YEATS4, BRD8, EPC2, KAT5, INO80, RUVBL1, YY1, EPC1
Swr1 complex	9	CFDP1, EP400, TRRAP, BRD8, KAT5, ING3, ANP32E, RUVBL1, ZNHIT1
DNA repair	6	EP400, TRRAP, NFRKB, EPC2, INO80, RUVBL1
chromatin organization	6	MBTD1, MRGBP, TRRAP, BRD8, EPC2, ANP32E
 DNA repair	6	TRRAP, NFRKB, ACTR8, INO80, RUVBL1, YY1
DNA binding	5	EP400, ASH1L, NFRKB, INO80, YY1
double-strand break repair via homologous recombination	5	MBTD1, KAT5, INO80, YY1, EPC1
metal ion binding	5	ASH1L, KAT5, ING3, YY1, ZNHIT1
telomere maintenance	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
 DNA replication	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
 chromosome organization	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
 embryonic development	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
 DNA strand elongation	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
 telomere maintenance in response to DNA damage	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
Ino80 complex	5	NFRKB, ACTR8, INO80, RUVBL1, YY1
chromatin binding	4	EP400, ASH1L, KAT5, YY1
ATP binding	4	EP400, ACTR8, INO80, RUVBL1
histone binding	4	YEATS4, ANP32E, INO80, ZNHIT1
Piccolo NuA4 histone acetyltransferase complex	4	EPC2, KAT5, ING3, EPC1
molecular function activator activity	3	MBTD1, KAT5, EPC1
site of double-strand break	3	MBTD1, KAT5, EPC1
DNA-templated transcription	3	TRRAP, INO80, EPC1
nuclear matrix	3	YEATS4, RUVBL1, YY1
DNA recombination	3	NFRKB, ACTR8, RUVBL1
negative regulation of transcription by RNA polymerase II	3	KAT5, YY1, EPC1
double-strand break repair	3	KAT5, ACTR8, INO80
cytoplasm	3	KAT5, YY1, EPC1
cytosol	3	KAT5, INO80, RUVBL1
cell division	3	ACTR8, INO80, RUVBL1
kinetochore	2	CFDP1, KAT5
ATP-dependent chromatin remodeler activity	2	EP400, INO80
methylated histone binding	2	MBTD1, ING3
molecular function inhibitor activity	2	MBTD1, KAT5
Golgi apparatus	2	TRRAP, ASH1L
nuclear membrane	2	YEATS4, EPC1
perinuclear region of cytoplasm	2	MRFAP1, KAT5
transcription coactivator activity	2	KAT5, RUVBL1
histone H4 acetyltransferase activity	2	KAT5, ING3
histone H2A acetyltransferase activity	2	KAT5, ING3
histone H4K16 acetyltransferase activity	2	KAT5, ING3
DNA-binding transcription factor binding	2	KAT5, YY1
DNA damage response	2	KAT5, YY1
spermatid development	2	KAT5, EPC1
sperm DNA condensation	2	KAT5, EPC1
negative regulation of DNA-templated transcription	2	KAT5, EPC1
transcription regulator complex	2	KAT5, YY1
cell cycle	2	ACTR8, RUVBL1
ATP hydrolysis activity	2	INO80, RUVBL1
cellular response to UV	2	INO80, YY1
spermatogenesis	2	RUVBL1, YY1
molecular_function	1	CFDP1
cell adhesion	1	CFDP1
biological_process	1	CFDP1
 cell shape	1	CFDP1
 cell population proliferation	1	CFDP1
fibroblast apoptotic process	1	CFDP1
negative regulation of fibroblast apoptotic process	1	CFDP1
cellular_component	1	CFDP1
helicase activity	1	EP400
hydrolase activity	1	EP400
protein antigen binding	1	EP400
nuclear speck	1	EP400
zinc ion binding	1	MBTD1
NuA4 histone acetyltransferase complex binding	1	MBTD1
embryonic skeletal system development	1	MBTD1
transcription coregulator activity	1	TRRAP
kinase activity	1	TRRAP
monoubiquitinated histone deubiquitination	1	TRRAP
monoubiquitinated histone H2A deubiquitination	1	TRRAP
 RNA splicing	1	TRRAP
