Feature	Number of Genes	Genes
protein binding	105	CHEK1, HDAC5, CIC, MAP3K3, WEE1, HDAC6, PPIL2, ATXN1L, PPM1H, MAPKBP1, SH2B3, YAP1, SH3RF3, HDAC4, DENND4A, RFX7, PFKFB2, PFKFB4, WWTR1, FAM110A, PAK5, MTMR3, CRTC2, RGS12, KLC4, PPFIBP2, FRMD6, CFAP410, BAD, RHBDF1, YWHAE, CASK, WNK1, PAK4, SIPA1, AHNAK2, TP53BP2, CGNL1, TFE3, MAP3K2, EPB41, RAF1, SIPA1L3, MPRIP, MICALL1, PPFIBP1, ZBTB21, TUT4, PRAG1, IRS1, CEP95, SAMD4B, AKT1S1, MAST2, PARD3, CGN, AFDN, BRAF, DLG1, KIF5B, PTPN21, WDR62, TSC1, SPEG, PLEKHA7, YWHAQ, SRGAP1, LPIN1, ANKS1A, PLEKHA5, TEAD2, CLIP4, ATXN1, PIK3R4, KLC2, ISCU, MIIP, ARHGAP21, TBC1D4, MAPK9, FOXO1, MAP3K20, CEP89, ERRFI1, TESK2, SPIRE1, EPN2, BECN1, RIPOR1, KIF5C, CDK14, AKAP13, TNFAIP3, YWHAG, MAST1, RALGPS2, TAOK1, SH3BP5L, PTPN4, PNRC2, HIVEP1, PPP1R3D, YWHAB, DYRK1A, TIAM1
cytosol	86	CHEK1, HDAC5, MAP3K3, SERF2, HDAC6, PIK3C2A, ZNF395, ARHGAP23, SH2B3, YAP1, HDAC4, DENND4A, PFKFB2, PFKFB4, WWTR1, FAM110A, PAK5, MTMR3, RGS12, PPFIBP2, CFAP410, BAD, YWHAE, CASK, WNK1, PAK4, SIPA1, AHNAK2, TP53BP2, TFE3, MAP3K2, EPB41, RAF1, MPRIP, PPFIBP1, ZBTB21, TUT4, PRAG1, LPIN2, IRS1, SAMD4B, AKT1S1, PARD3, AFDN, BRAF, DLG1, KIF5B, WDR62, TSC1, PLEKHA7, YWHAQ, RAB11FIP1, SRGAP1, LPIN1, MEX3B, ANKS1A, PLEKHA5, TEAD2, ATXN1, PIK3R4, KLC2, ISCU, ARHGAP21, TBC1D4, MAPK9, FOXO1, MAP3K20, CEP89, ERRFI1, SPIRE1, EPN2, BECN1, DENND4C, CDK14, AKAP13, TNFAIP3, SYDE2, PPIP5K2, YWHAG, TAOK1, PTPN4, PPIP5K1, PNRC2, HIVEP1, YWHAB, TIAM1
cytoplasm	67	CEP112, CHEK1, HDAC5, MAP3K3, WEE1, HDAC6, PIK3C2A, ZNF395, PPIL2, PPM1H, MAPKBP1, YAP1, HDAC4, WWTR1, PAK5, MTMR3, CRTC2, RGS12, KLC4, FRMD6, CFAP410, YWHAE, CASK, WNK1, PAK4, SIPA1, AHNAK2, TP53BP2, TFE3, PHACTR4, MAP3K2, RAF1, SIPA1L3, TUT4, PRAG1, IRS1, CEP95, AKT1S1, MAST2, DLG1, PTPN21, TSC1, HINT3, YWHAQ, SRGAP1, LPIN1, ATXN1, KLC2, ISCU, MAPK9, FOXO1, MAP3K20, BICC1, ERRFI1, TESK2, BECN1, RIPOR1, CDK14, TNFAIP3, YWHAG, MAST1, RALGPS2, TAOK1, SH3BP5L, PTPN4, YWHAB, DYRK1A
nucleus	54	CHEK1, HDAC5, CIC, SERF2, WEE1, HDAC6, ZNF395, PPIL2, ATXN1L, PPM1H, YAP1, HDAC4, DENND4A, RFX7, WWTR1, FAM110A, CRTC2, RGS12, YWHAE, SIPA1, AHNAK2, LPIN3, TP53BP2, TFE3, RAF1, ZBTB21, PRAG1, LPIN2, IRS1, SAMD4B, BRAF, DLG1, WDR62, TSC1, SPEG, HINT3, LPIN1, TEAD2, CLIP4, ATXN1, ISCU, MAPK9, FOXO1, MAP3K20, ERRFI1, TESK2, CDK14, AKAP13, TNFAIP3, PNRC2, CREB3L2, FAM53B, HIVEP1, DYRK1A
nucleoplasm	44	CHEK1, HDAC5, CIC, WEE1, HDAC6, PIK3C2A, ZNF395, PPIL2, ATXN1L, PPM1H, MAPKBP1, YAP1, HDAC4, PFKFB2, WWTR1, PAK5, CRTC2, RGS12, TP53BP2, TFE3, MAP3K2, SIPA1L3, ZBTB21, IRS1, AKT1S1, AFDN, PLEKHA7, LPIN1, MEX3B, ANKS1A, PLEKHA5, TEAD2, ATXN1, KLC2, MAPK9, FOXO1, TESK2, SPIRE1, CDK14, PTPN4, PNRC2, CREB3L2, HIVEP1, DYRK1A
plasma membrane	37	CEP112, PIK3C2A, PPIL2, SH2B3, CBARP, WWTR1, PAK5, RGS12, FRMD6, CFAP410, YWHAE, CASK, SIPA1, AHNAK2, EPB41, RAF1, SIPA1L3, PPFIBP1, IRS1, MAST2, PARD3, CGN, AFDN, BRAF, DLG1, TSC1, KLC2, ARHGAP21, MAPK9, ERRFI1, EPN2, DENND4C, CDK14, MAST1, RALGPS2, PPIP5K1, TIAM1
ATP binding	29	CHEK1, MAP3K3, WEE1, PIK3C2A, PFKFB2, PFKFB4, PAK5, CASK, WNK1, PAK4, MAP3K2, RAF1, PRAG1, MAST2, BRAF, KIF5B, SPEG, PIK3R4, MAPK9, MAP3K20, TESK2, KIF5C, CDK14, PPIP5K2, MAST1, TAOK1, PPIP5K1, KIF21B, DYRK1A
protein phosphorylation	21	CHEK1, PAK5, CASK, WNK1, PAK4, MAP3K2, RAF1, PRAG1, MAST2, BRAF, SPEG, MEX3B, PIK3R4, MAPK9, MAP3K20, TESK2, BECN1, CDK14, MAST1, TAOK1, DYRK1A
identical protein binding	20	HDAC5, PPM1H, HDAC4, PPFIBP2, YWHAE, TP53BP2, RAF1, MICALL1, PRAG1, BRAF, KIF5B, HINT3, YWHAQ, ATXN1, BECN1, TNFAIP3, YWHAG, ABAT, YWHAB, DYRK1A
 transcription by RNA polymerase II	20	HDAC5, CIC, ZNF395, YAP1, HDAC4, RFX7, WWTR1, CRTC2, CASK, LPIN3, TFE3, RAF1, ZBTB21, LPIN2, LPIN1, TEAD2, FOXO1, CREB3L2, HIVEP1, DYRK1A
protein serine kinase activity	19	CHEK1, MAP3K3, PAK5, CASK, WNK1, PAK4, MAP3K2, RAF1, MAST2, BRAF, SPEG, PIK3R4, MAPK9, MAP3K20, TESK2, CDK14, MAST1, TAOK1, DYRK1A
protein serine/threonine kinase activity	17	CHEK1, MAP3K3, PAK5, CASK, WNK1, PAK4, MAP3K2, RAF1, MAST2, BRAF, SPEG, PIK3R4, MAP3K20, TESK2, MAST1, TAOK1, DYRK1A
signal transduction	16	ARHGAP23, PAK5, YWHAE, WNK1, PAK4, SIPA1, TP53BP2, RAF1, IRS1, AFDN, YWHAQ, SRGAP1, ARHGAP21, SYDE2, YWHAG, YWHAB
membrane	15	PIK3C2A, YAP1, MTMR3, YWHAE, WNK1, KIF5B, TSC1, YWHAQ, PLEKHA5, PIK3R4, KLC2, RIPOR1, AKAP13, YWHAG, YWHAB
extracellular exosome	14	PIK3C2A, ARHGAP23, CRTC2, YWHAE, TUT4, DLG1, PLEKHA7, VPS13D, YWHAQ, RIPOR1, TNFAIP3, YWHAG, TAOK1, YWHAB
protein kinase activity	13	CHEK1, MAP3K3, WNK1, PAK4, MAP3K2, RAF1, PRAG1, BRAF, SPEG, PIK3R4, TESK2, TAOK1, DYRK1A
intracellular membrane-bounded organelle	13	CHEK1, CIC, PIK3C2A, CFAP410, IRS1, BRAF, RAB11FIP1, TEAD2, CLIP4, PIK3R4, EPN2, DENND4C, PPP1R3D
metal ion binding	13	HDAC5, MAP3K3, ZNF395, SH3RF3, MTMR3, MAP3K2, RAF1, MICALL1, ZBTB21, TESK2, AKAP13, ABAT, HIVEP1
mitochondrion	13	PAK5, CFAP410, BAD, RAF1, BRAF, KIF5B, KLC2, ISCU, MAPK9, FOXO1, BECN1, ABAT, HIVEP1
