Feature	Number of Genes	Genes
membrane	11	CDH2, CDH4, CDH8, CTNNA1, CTNNB1, EPB41L2, PCDH7, PCDHA1, PKP4, SPECC1, TMTC4
plasma membrane	9	CDH2, CDH4, CDH8, CTNNA1, CTNNB1, EPB41L2, PCDH7, PCDHA1, PKP4
cell membrane	9	CDH2, CDH4, CDH8, CTNNA1, CTNNB1, EPB41L2, PCDH7, PCDHA1, PKP4
cell adhesion	7	CDH2, CDH4, CDH8, CTNNA1, CTNNB1, PCDH7, PCDHA1
cadherin binding	6	CDH2, CDH4, CDH8, CTNNA1, CTNNB1, PKP4
adherens junction	5	CDH2, CDH8, CTNNA1, CTNNB1, PKP4
catenin complex	5	CDH2, CDH4, CDH8, CTNNA1, CTNNB1
cell junction	5	CDH2, CTNNA1, CTNNB1, EPB41L2, PKP4
cytoplasm	5	CDH2, CTNNA1, CTNNB1, EPB41L2, PKP4
calcium ion binding	5	CDH2, CDH4, CDH8, PCDH7, PCDHA1
homophilic cell adhesion via plasma membrane adhesion molecules	5	CDH2, CDH4, CDH8, PCDH7, PCDHA1
cell-cell junction	4	CDH2, CTNNA1, CTNNB1, PKP4
focal adhesion	4	CDH2, CTNNA1, CTNNB1, EPB41L2
cell-cell adhesion	4	CDH2, CTNNA1, CTNNB1, PKP4
cytosol	4	CTNNA1, CTNNB1, EPB41L2, SPECC1
cytoskeleton	4	CTNNA1, CTNNB1, EPB41L2, PKP4
apical part of cell	3	CDH2, CTNNB1, SPECC1
lamellipodium	3	CDH2, CTNNA1, CTNNB1
beta-catenin binding	3	CDH2, CTNNA1, CTNNB1
identical protein binding	3	CDH2, CDH8, CTNNA1
cell-cell adhesion via plasma-membrane adhesion molecules	3	CDH2, CDH4, CDH8
cell-cell junction assembly	3	CDH2, CDH8, PKP4
nucleoplasm	3	CTNNB1, EPB41L2, SPECC1
nucleus	3	CTNNB1, PKP4, SPECC1
apicolateral plasma membrane	2	CDH2, CTNNB1
basolateral plasma membrane	2	CDH2, CTNNB1
desmosome	2	CDH2, PKP4
fascia adherens	2	CDH2, CTNNB1
intercalated disc	2	CDH2, CTNNA1
postsynaptic density	2	CDH2, PKP4
alpha-catenin binding	2	CDH2, CTNNB1
gamma-catenin binding	2	CDH2, CTNNA1
protein kinase binding	2	CDH2, CTNNB1
protein phosphatase binding	2	CDH2, CTNNB1
RNA binding	2	CDH2, CTNNA1
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	2	CDH2, CDH8
detection of muscle stretch	2	CDH2, CTNNB1
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	2	CDH2, CDH4
negative regulation of canonical Wnt signaling pathway	2	CDH2, CTNNB1
positive regulation of MAPK cascade	2	CDH2, CTNNB1
synaptic vesicle clustering	2	CDH2, CTNNB1
Disease variant	2	CDH2, CTNNB1
Intellectual disability	2	CDH2, CTNNB1
glutamatergic synapse	2	CDH8, CTNNB1
flotillin complex	2	CTNNA1, CTNNB1
intracellular membrane-bounded organelle	2	CTNNA1, SPECC1
structural molecule activity	2	CTNNA1, EPB41L2
cellular response to indole-3-methanol	2	CTNNA1, CTNNB1
neuroblast proliferation	2	CTNNA1, CTNNB1
odontogenesis of dentin-containing tooth	2	CTNNA1, CTNNB1
cell cortex	2	CTNNB1, EPB41L2
extracellular exosome	2	CTNNB1, EPB41L2
perinuclear region of cytoplasm	2	CTNNB1, PKP4
spindle pole	2	CTNNB1, PKP4
microtubule organizing center	2	CTNNB1, SPECC1
endoplasmic reticulum	2	PCDHA1, TMTC4
apical plasma membrane	1	CDH2
cell surface	1	CDH2
collagen-containing extracellular matrix	1	CDH2
endoplasmic reticulum lumen	1	CDH2
neuron projection	1	CDH2
plasma membrane raft	1	CDH2
postsynaptic specialization membrane	1	CDH2
