Feature	Number of Genes	Genes
protein binding	29	AAGAB, IREB2, STAT3, VPS35, CAPN1, NTMT1, ANXA9, MAP2K2, ANXA4, EEF1B2, CAPG, NRSN2, UBXN1, NAA25, NIF3L1, CNOT3, WBP2, SUGT1, MANSC1, MYOF, ARL3, UBA5, VPS26A, NUDCD3, DLGAP4, PGM2, RPS6KA1, SAR1A, ZC3H15
cytosol	21	AAGAB, IREB2, STAT3, VPS35, CAPN1, NTMT1, ANXA9, MAP2K2, BPNT1, EEF1B2, UBXN1, NAA25, CNOT3, WBP2, SUGT1, UBA5, VPS26A, RBMS3, PGM2, RPS6KA1, ZC3H15
cytoplasm	18	AAGAB, IREB2, STAT3, CAPN1, NTMT1, ANXA9, ANXA4, EEF1B2, CAPG, UBXN1, NAA25, NIF3L1, WBP2, ARL3, UBA5, NUDCD3, RBMS3, RPS6KA1
nucleus	15	STAT3, NTMT1, MAP2K2, ANXA4, EEF1B2, CAPG, UBXN1, NIF3L1, CNOT3, WBP2, SUGT1, ARL3, UBA5, RBMS3, ZC3H15
nucleoplasm	7	STAT3, NTMT1, CAPG, UBXN1, WBP2, ARL3, RPS6KA1
extracellular exosome	7	VPS35, CAPN1, ANXA4, CAPG, MYOF, ARL3, PGM2
plasma membrane	6	STAT3, CAPN1, ANXA4, NRSN2, MYOF, DLGAP4
Golgi apparatus	6	MAP2K2, NAA25, MANSC1, ARL3, UBA5, SAR1A
mitochondrion	5	IREB2, VPS35, CAPN1, MAP2K2, NIF3L1
positive regulation of DNA-templated transcription	5	STAT3, MAP2K2, NIF3L1, WBP2, RPS6KA1
metal ion binding	4	IREB2, MAP2K2, BPNT1, ZC3H15
positive regulation of gene expression	4	STAT3, VPS35, MAP2K2, RBMS3
calcium ion binding	4	CAPN1, ANXA9, ANXA4, MYOF
identical protein binding	3	STAT3, ANXA4, NIF3L1
signal transduction	3	STAT3, ANXA4, RPS6KA1
nervous system development	3	STAT3, BPNT1, NRSN2
negative regulation of gene expression	3	STAT3, VPS35, RBMS3
positive regulation of transcription by RNA polymerase II	3	STAT3, WBP2, RPS6KA1
intracellular protein transport	3	VPS35, VPS26A, SAR1A
regulation of macroautophagy	3	VPS35, CAPN1, VPS26A
lysosome	3	VPS35, CAPN1, VPS26A
early endosome	3	VPS35, MAP2K2, VPS26A
perinuclear region of cytoplasm	3	VPS35, MAP2K2, ANXA4
extracellular region	3	CAPN1, MAP2K2, PGM2
ATP binding	3	MAP2K2, UBA5, RPS6KA1
endoplasmic reticulum	3	MAP2K2, EEF1B2, UBXN1
magnesium ion binding	3	ARL3, PGM2, RPS6KA1
protein transport	2	AAGAB, ARL3
RNA binding	2	IREB2, ZC3H15
RNA polymerase II cis-regulatory region sequence-specific DNA binding	2	STAT3, WBP2
chromatin DNA binding	2	STAT3, WBP2
protein homodimerization activity	2	STAT3, UBA5
RNA polymerase II-specific DNA-binding transcription factor binding	2	STAT3, NIF3L1
negative regulation of transcription by RNA polymerase II	2	STAT3, NIF3L1
regulation of DNA-templated transcription	2	STAT3, CNOT3
regulation of transcription by RNA polymerase II	2	STAT3, ANXA4
cytokine-mediated signaling pathway	2	STAT3, ZC3H15
negative regulation of inflammatory response	2	STAT3, VPS35
chromatin	2	STAT3, WBP2
regulation of protein stability	2	VPS35, SUGT1
endocytic recycling	2	VPS35, VPS26A
retrograde transport, endosome to Golgi	2	VPS35, VPS26A
endosome	2	VPS35, VPS26A
late endosome	2	VPS35, MAP2K2
endosome membrane	2	VPS35, VPS26A
retromer complex	2	VPS35, VPS26A
retromer, cargo-selective complex	2	VPS35, VPS26A
