Feature	Number of Genes	Genes
protein binding	12	RFXANK, POP4, SIRT1, GNAS, RPP25L, RPP14, RNASEH1, RPP40, POP7, RPP25, TRO, MAGED2
nucleoplasm	8	RFXANK, POP4, SIRT1, RPP14, RPP40, POP7, RPP25, MAGED2
nucleus	7	RFXANK, SIRT1, RPP25L, RPP40, POP7, TRO, MAGED2
tRNA 5'-leader removal	6	POP4, RPP25L, RPP14, RPP40, POP7, RPP25
nucleolus	6	POP4, SIRT1, RPP14, POP7, RPP25, MAGED2
cytosol	5	RFXANK, SIRT1, GNAS, RIC8B, MAGED2
ribonuclease P activity	5	POP4, RPP14, RPP40, POP7, RPP25
ribonuclease P RNA binding	5	POP4, RPP14, RPP40, POP7, RPP25
RNA phosphodiester bond hydrolysis, endonucleolytic	5	POP4, RPP14, RNASEH1, POP7, RPP25
ribonuclease MRP complex	5	POP4, RPP25L, RPP40, POP7, RPP25
multimeric ribonuclease P complex	5	POP4, RPP14, RPP40, POP7, RPP25
cytoplasm	4	SIRT1, RNASEH1, POP7, RIC8B
RNA binding	4	RPP25L, RNASEH1, POP7, RPP25
rRNA processing	3	POP4, POP7, RPP25
negative regulation of transcription by RNA polymerase II	3	SIRT1, TRO, MAGED2
 transcription by RNA polymerase II	2	RFXANK, SIRT1
 MHC class II biosynthetic process	2	RFXANK, SIRT1
metal ion binding	2	SIRT1, GNAS
membrane	2	GNAS, MAGED2
nucleolar ribonuclease P complex	2	RPP40, POP7
plasma membrane	2	TRO, RIC8B
RNA polymerase II transcription regulatory region sequence-specific DNA binding	1	RFXANK
DNA-binding transcription activator activity, RNA polymerase II-specific	1	RFXANK
histone deacetylase binding	1	RFXANK
Ras protein signal transduction	1	RFXANK
intercellular bridge	1	RFXANK
RNA polymerase II transcription regulator complex	1	RFXANK
ribonuclease P complex	1	POP4
RNA polymerase II cis-regulatory region sequence-specific DNA binding	1	SIRT1
p53 binding	1	SIRT1
transcription coactivator activity	1	SIRT1
transcription corepressor activity	1	SIRT1
NAD+ ADP-ribosyltransferase activity	1	SIRT1
histone deacetylase activity	1	SIRT1
