Feature	Number of Genes	Genes
protein binding	13	ARIH1, CDC34, FBXO4, FBXO44, FBXW2, HNRNPA2B1, HNRNPA3, HNRNPDL, HNRNPL, HNRNPR, HNRNPU, KIF20A, PSME3
nucleoplasm	10	ARIH1, CDC34, HNRNPA2B1, HNRNPA3, HNRNPDL, HNRNPL, HNRNPR, HNRNPU, KIF20A, PSME3
nucleus	9	ARIH1, CDC34, HNRNPA2B1, HNRNPA3, HNRNPL, HNRNPR, HNRNPU, KIF20A, PSME3
cytosol	9	ARIH1, CDC34, FBXO4, FBXO44, FBXW2, HNRNPDL, HNRNPL, HNRNPU, PSME3
cytoplasm	7	ARIH1, FBXO4, FBXO44, HNRNPA2B1, HNRNPA3, HNRNPL, PSME3
RNA binding	6	HNRNPA2B1, HNRNPA3, HNRNPDL, HNRNPL, HNRNPR, HNRNPU
ribonucleoprotein complex	5	HNRNPA2B1, HNRNPA3, HNRNPL, HNRNPR, HNRNPU
ubiquitin-protein transferase activity	4	ARIH1, CDC34, FBXO4, FBXW2
mRNA splicing, via spliceosome	4	HNRNPA2B1, HNRNPA3, HNRNPR, HNRNPU
membrane	4	HNRNPA2B1, HNRNPL, HNRNPU, PSME3
catalytic step 2 spliceosome	4	HNRNPA2B1, HNRNPA3, HNRNPR, HNRNPU
ubiquitin protein ligase activity	3	ARIH1, FBXO4, FBXO44
protein polyubiquitination	3	ARIH1, CDC34, FBXO4
protein ubiquitination	3	ARIH1, CDC34, FBXO4
ATP binding	3	CDC34, HNRNPU, KIF20A
mRNA 3'-UTR binding	3	HNRNPA2B1, HNRNPL, HNRNPU
mRNA processing	3	HNRNPA2B1, HNRNPL, HNRNPR
mRNA binding	3	HNRNPA3, HNRNPL, HNRNPR
ubiquitin-dependent protein catabolic process	2	ARIH1, CDC34
ubiquitin ligase complex	2	ARIH1, FBXO4
Cajal body	2	ARIH1, HNRNPA2B1
protein modification process	2	CDC34, FBXW2
nuclear speck	2	CDC34, HNRNPU
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	2	FBXO4, FBXO44
SCF ubiquitin ligase complex	2	FBXO4, FBXO44
pre-mRNA intronic binding	2	HNRNPA2B1, HNRNPL
negative regulation of transcription by RNA polymerase II	2	HNRNPA2B1, HNRNPU
negative regulation of mRNA splicing, via spliceosome	2	HNRNPA2B1, HNRNPL
spliceosomal complex	2	HNRNPA2B1, HNRNPR
