Feature	Number of Genes	Genes
protein binding	19	GLMN, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, KCTD9, LRR1, LRRC14, RNF7, SOCS4, SOCS5
nucleoplasm	13	APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, RNF7
nucleus	12	APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, FEM1B, LRR1, RNF7
cytosol	12	COPS3, COPS6, COPS7A, COPS7B, COPS8, CUL4B, FEM1B, FEM1C, LRR1, LRRC14, RNF7, SOCS5
cytoplasm	11	GLMN, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, FEM1B, LRRC14, RNF7
protein ubiquitination	11	APPBP2, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, KCTD9, LRR1, RNF7, SOCS4, SOCS5
protein neddylation	6	COPS3, COPS6, COPS7A, COPS7B, COPS8, RNF7
COP9 signalosome	6	COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9
proteasome-mediated ubiquitin-dependent protein catabolic process	5	APPBP2, CUL4A, DCAF11, FEM1B, FEM1C
protein deneddylation	5	COPS3, COPS6, COPS7A, COPS7B, COPS8
 protein neddylation	5	COPS3, COPS6, COPS7A, COPS7B, COPS8
Cul2-RING ubiquitin ligase complex	4	GLMN, APPBP2, FEM1B, FEM1C
ubiquitin-dependent protein catabolic process	4	COPS3, CUL4B, FEM1C, RNF7
ubiquitin protein ligase binding	3	GLMN, CUL4A, CUL4B
 proteasomal ubiquitin-dependent protein catabolic process	3	GLMN, SOCS4, SOCS5
Cul4A-RING E3 ubiquitin ligase complex	3	GLMN, CUL4A, CUL4B
ubiquitin ligase-substrate adaptor activity	3	APPBP2, FEM1B, FEM1C
perinuclear region of cytoplasm	3	COPS3, COPS6, COPS8
COP9 signalosome assembly	3	COPS7A, COPS7B, COPS8
cellular response to UV	3	COPS9, CUL4A, CUL4B
Cul4-RING E3 ubiquitin ligase complex	3	CUL4A, CUL4B, DCAF11
intracellular signal transduction	3	KCTD9, SOCS4, SOCS5
negative regulation of cell population proliferation	2	GLMN, COPS8
in utero embryonic development	2	COPS3, CUL4A
extracellular exosome	2	COPS8, CUL4B
 cell population proliferation	2	COPS9, CUL4A
ubiquitin protein ligase activity	2	CUL4A, RNF7
G1/S transition of mitotic cell cycle	2	CUL4A, CUL4B
DNA damage response	2	CUL4A, CUL4B
ribosome biogenesis	2	CUL4A, CUL4B
 protein catabolic process	2	CUL4A, CUL4B
 G1/S transition of mitotic cell cycle	2	CUL4A, CUL4B
 DNA damage checkpoint	2	CUL4A, FEM1B
