Feature	Number of Genes	Genes
mitochondrion	36	LYRM2, XPNPEP3, CYCS, GRPEL2, OAT, C1QBP, LIAS, NME4, TIMM9, UQCC2, TMLHE, GLRX5, MRPS18B, NOA1, TTC19, FAHD1, ACAA2, OGDH, FASTKD2, SELENOO, DARS2, PDHX, TIMM10, MGME1, UQCRFS1, COX5B, DBT, MIPEP, NDUFAB1, ALDH18A1, MRPS25, MRPS36, SARS2, COX4I1, AGK, PPM1K
protein binding	33	LYRM2, XPNPEP3, LRRC15, CYCS, OAT, C1QBP, NME4, TIMM9, UQCC2, GLRX5, FBXW5, MRPS18B, NOA1, TTC19, ACAA2, OGDH, FASTKD2, DARS2, PDHX, TIMM10, MGME1, UQCRFS1, COX5B, NDUFAB1, MMAB, S100A4, RNF151, ALDH18A1, SARS2, COX4I1, AGK, PPM1K, MOCOS
mitochondrial matrix	19	OAT, C1QBP, LIAS, NME4, UQCC2, TMLHE, GLRX5, FAHD1, ACAA2, OGDH, FASTKD2, DARS2, PDHX, DBT, MIPEP, NDUFAB1, MMAB, SARS2, PPM1K
mitochondrial inner membrane	15	CYCS, NME4, TIMM9, UQCC2, MRPS18B, TTC19, TIMM10, UQCRFS1, COX5B, NDUFAB1, ALDH18A1, MRPS25, MRPS36, COX4I1, AGK
cytosol	12	SCLT1, TTLL4, XPNPEP3, CYCS, C1QBP, FBXW5, FAHD1, DBT, S100A4, COX4I1, AGK, MOCOS
metal ion binding	12	TTLL4, CYCS, LIAS, NME4, GLRX5, FAHD1, OGDH, SELENOO, UQCRFS1, COX5B, MIPEP, PPM1K
ATP binding	8	TTLL4, NME4, SELENOO, DARS2, MMAB, ALDH18A1, SARS2, AGK
nucleoplasm	7	OAT, MRPS18B, FAHD1, DARS2, NDUFAB1, S100A4, COX4I1
cytoplasm	6	XPNPEP3, OAT, C1QBP, FBXW5, DBT, RNF151
nucleus	6	CYCS, C1QBP, GLRX5, OGDH, S100A4, RNF151
mitochondrial intermembrane space	6	CYCS, NME4, TIMM9, UQCC2, TIMM10, AGK
RNA binding	6	NOA1, ACAA2, FASTKD2, S100A4, ALDH18A1, SARS2
protein homodimerization activity	5	XPNPEP3, GRPEL2, TIMM9, DARS2, TIMM10
protein-folding chaperone binding	4	GRPEL2, TIMM9, OGDH, TIMM10
extracellular space	3	LRRC15, C1QBP, S100A4
mitochondrial electron transport, cytochrome c to oxygen	3	CYCS, COX5B, COX4I1
cellular respiration	3	CYCS, COX5B, COX4I1
identical protein binding	3	OAT, S100A4, ALDH18A1
apoptotic process	3	C1QBP, NOA1, FASTKD2
positive regulation of mitochondrial translation	3	C1QBP, UQCC2, FASTKD2
zinc ion binding	3	TIMM9, TIMM10, RNF151
protein insertion into mitochondrial inner membrane	3	TIMM9, TIMM10, AGK
TIM22 mitochondrial import inner membrane insertion complex	3	TIMM9, TIMM10, AGK
mitochondrial respiratory chain complex III assembly	3	UQCC2, TTC19, UQCRFS1
mitochondrial nucleoid	3	UQCC2, FASTKD2, DBT
mitochondrial translation	3	MRPS18B, FASTKD2, MRPS25
