Feature	Number of Genes	Genes
protein binding	21	GTF2A1, TUFT1, EEA1, HMOX2, SULT2B1, TFAP2D, AP1M2, ECM1, CTSL, SLC35F6, RPL7L1, CTSH, GLUL, CST3, NAPRT, ZG16B, APOA1, PYCARD, MYCBP, TALDO1, TYMP
cytosol	15	GTF2A1, EEA1, SULT2B1, AP1M2, SLC35F6, PPA1, CTSH, NLRP10, GLUL, NAPRT, APOA1, PYCARD, TALDO1, HSD17B4, TYMP
extracellular exosome	14	EEA1, SULT2B1, ECM1, CTSL, SLC35F6, PPA1, CTSH, GLUL, CST3, NAPRT, ZG16B, CPM, APOA1, TALDO1
cytoplasm	10	TUFT1, EEA1, SULT2B1, PPA1, NLRP10, GLUL, CST3, PYCARD, MYCBP, TALDO1
extracellular region	9	TUFT1, ECM1, CTSL, CTSH, CST3, NAPRT, CPM, APOA1, PYCARD
nucleus	8	GTF2A1, SULT2B1, TFAP2D, CTSL, GLUL, PYCARD, MYCBP, TALDO1
extracellular space	7	ECM1, CTSL, CTSH, CST3, ZG16B, CPM, APOA1
plasma membrane	6	HMOX2, CTSL, GLUL, CST3, CPM, APOA1
nucleoplasm	5	GTF2A1, SLC35F6, NLRP10, PYCARD, MYCBP
protein homodimerization activity	5	EEA1, APOA1, PYCARD, HSD17B4, TYMP
membrane	5	EEA1, HMOX2, SLC35F6, MAN1B1, HSD17B4
intracellular membrane-bounded organelle	5	SULT2B1, AP1M2, CTSL, SLC35F6, CTSH
endoplasmic reticulum	4	SULT2B1, MAN1B1, CST3, PYCARD
collagen-containing extracellular matrix	4	ECM1, CTSL, CTSH, APOA1
mitochondrion	4	SLC35F6, GLUL, PYCARD, MYCBP
identical protein binding	4	GLUL, CST3, APOA1, PYCARD
protease binding	3	ECM1, CST3, PYCARD
angiogenesis	3	ECM1, GLUL, TYMP
inflammatory response	3	ECM1, NLRP10, PYCARD
signal transduction	3	ECM1, PYCARD, TYMP
cysteine-type endopeptidase activator activity involved in apoptotic process	3	CTSL, CTSH, PYCARD
adaptive immune response	3	CTSL, CTSH, NLRP10
Golgi apparatus	3	CTSL, MAN1B1, CST3
secretory granule lumen	3	CTSH, APOA1, PYCARD
transcription by RNA polymerase II	2	GTF2A1, TFAP2D
positive regulation of transcription by RNA polymerase II	2	GTF2A1, TFAP2D
intracellular anatomical structure	2	TUFT1, TALDO1
zinc ion binding	2	EEA1, CPM
early endosome	2	EEA1, APOA1
extrinsic component of plasma membrane	2	EEA1, NLRP10
metal ion binding	2	HMOX2, NAPRT
response to oxidative stress	2	HMOX2, NAPRT
endoplasmic reticulum membrane	2	HMOX2, MAN1B1
cholesterol binding	2	SULT2B1, APOA1
cholesterol metabolic process	2	SULT2B1, APOA1
regulation of transcription by RNA polymerase II	2	TFAP2D, ECM1
Golgi membrane	2	AP1M2, PYCARD
lysosomal membrane	2	AP1M2, SLC35F6
negative regulation of peptidase activity	2	ECM1, CST3
positive regulation of angiogenesis	2	ECM1, CTSH
cysteine-type endopeptidase activity	2	CTSL, CTSH
cysteine-type peptidase activity	2	CTSL, CTSH
proteolysis	2	CTSL, CTSH
immune response	2	CTSL, CTSH
positive regulation of peptidase activity	2	CTSL, CTSH
antigen processing and presentation	2	CTSL, CTSH
zymogen activation	2	CTSL, CTSH
proteolysis involved in protein catabolic process	2	CTSL, CTSH
cellular response to thyroid hormone stimulus	2	CTSL, CTSH
positive regulation of apoptotic signaling pathway	2	CTSL, CTSH
lysosome	2	CTSL, CTSH
endocytic vesicle lumen	2	CTSL, APOA1
positive regulation of cell population proliferation	2	SLC35F6, CTSH
nucleolus	2	RPL7L1, PYCARD
cytoplasmic vesicle	2	MAN1B1, APOA1
extracellular vesicle	2	MAN1B1, APOA1
magnesium ion binding	2	PPA1, GLUL
apoptotic process	2	CTSH, PYCARD
ERK1 and ERK2 cascade	2	CTSH, APOA1
tertiary granule lumen	2	CTSH, CST3
ficolin-1-rich granule lumen	2	CTSH, CST3
ATP binding	2	NLRP10, GLUL
positive regulation of interleukin-6 production	2	NLRP10, PYCARD
positive regulation of interleukin-8 production	2	NLRP10, PYCARD
innate immune response	2	NLRP10, PYCARD
positive regulation of inflammatory response	2	NLRP10, PYCARD
defense response to Gram-negative bacterium	2	NLRP10, PYCARD
protein-containing complex	2	GLUL, PYCARD
amyloid-beta binding	2	CST3, APOA1
endoplasmic reticulum lumen	2	CST3, APOA1
azurophil granule lumen	2	NAPRT, PYCARD
enzyme binding	2	APOA1, PYCARD
positive regulation of phagocytosis	2	APOA1, PYCARD
RNA polymerase II core promoter sequence-specific DNA binding	1	GTF2A1
RNA polymerase II general transcription initiation factor binding	1	GTF2A1
DNA binding	1	GTF2A1
RNA polymerase II general transcription initiation factor activity	1	GTF2A1
TBP-class protein binding	1	GTF2A1
protein heterodimerization activity	1	GTF2A1
RNA polymerase II-specific DNA-binding transcription factor binding	1	GTF2A1
RNA polymerase II preinitiation complex assembly	1	GTF2A1
positive regulation of transcription initiation by RNA polymerase II	1	GTF2A1
transcription factor TFIID complex	1	GTF2A1
transcription factor TFIIA complex	1	GTF2A1
transcription preinitiation complex	1	GTF2A1
structural constituent of tooth enamel	1	TUFT1
bone mineralization	1	TUFT1
intracellular signal transduction	1	TUFT1
odontogenesis	1	TUFT1
calmodulin binding	1	EEA1
1-phosphatidylinositol binding	1	EEA1
GTP-dependent protein binding	1	EEA1
endocytosis	1	EEA1
vesicle fusion	1	EEA1
synaptic vesicle to endosome fusion	1	EEA1
modulation by host of viral process	1	EEA1
early endosome to late endosome transport	1	EEA1
chemical synaptic transmission, postsynaptic	1	EEA1
serine-pyruvate aminotransferase complex	1	EEA1
early endosome membrane	1	EEA1
axonal spine	1	EEA1
Schaffer collateral - CA1 synapse	1	EEA1
postsynapse	1	EEA1
glutamatergic synapse	1	EEA1
nucleotide binding	1	DHDH
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	1	DHDH
D-xylose 1-dehydrogenase (NADP+) activity	1	DHDH
D-xylose catabolic process	1	DHDH
heme oxygenase (decyclizing) activity	1	HMOX2
heme binding	1	HMOX2
response to hypoxia	1	HMOX2
heme oxidation	1	HMOX2
heme catabolic process	1	HMOX2
specific granule membrane	1	HMOX2
nucleic acid binding	1	SULT2B1
sulfotransferase activity	1	SULT2B1
small molecule binding	1	SULT2B1
steroid sulfotransferase activity	1	SULT2B1
cholesterol sulfotransferase activity	1	SULT2B1
steroid hormone binding	1	SULT2B1
steroid metabolic process	1	SULT2B1
negative regulation of cell population proliferation	1	SULT2B1
positive regulation of epidermal cell differentiation	1	SULT2B1
3'-phosphoadenosine 5'-phosphosulfate metabolic process	1	SULT2B1
sulfation	1	SULT2B1
RNA polymerase II transcription regulatory region sequence-specific DNA binding	1	TFAP2D
DNA-binding transcription factor activity, RNA polymerase II-specific	1	TFAP2D
regulation of cell population proliferation	1	TFAP2D
negative regulation of neuron apoptotic process	1	TFAP2D
anatomical structure development	1	TFAP2D
inferior colliculus development	1	TFAP2D
chromatin	1	TFAP2D
transcription regulator complex	1	TFAP2D
clathrin adaptor activity	1	AP1M2
protein targeting	1	AP1M2
vesicle targeting	1	AP1M2
vesicle-mediated transport	1	AP1M2
basolateral protein secretion	1	AP1M2
AP-1 adaptor complex	1	AP1M2
clathrin-coated vesicle	1	AP1M2
cytoplasmic vesicle membrane	1	AP1M2
trans-Golgi network membrane	1	AP1M2
interleukin-2 receptor binding	1	ECM1
extracellular matrix structural constituent	1	ECM1
ossification	1	ECM1
positive regulation of endothelial cell proliferation	1	ECM1
negative regulation of cytokine-mediated signaling pathway	1	ECM1
chondrocyte development	1	ECM1
regulation of type 2 immune response	1	ECM1
endochondral bone growth	1	ECM1
regulation of bone mineralization	1	ECM1
negative regulation of bone mineralization	1	ECM1
biomineral tissue development	1	ECM1
positive regulation of I-kappaB kinase/NF-kappaB signaling	1	ECM1
regulation of T cell migration	1	ECM1
extracellular matrix	1	ECM1
platelet dense granule lumen	1	ECM1
fibronectin binding	1	CTSL
collagen binding	1	CTSL
histone binding	1	CTSL
proteoglycan binding	1	CTSL
serpin family protein binding	1	CTSL
protein autoprocessing	1	CTSL
fusion of virus membrane with host plasma membrane	1	CTSL
receptor-mediated endocytosis of virus by host cell	1	CTSL
antigen processing and presentation of exogenous peptide antigen via MHC class II	1	CTSL
collagen catabolic process	1	CTSL
enkephalin processing	1	CTSL
fusion of virus membrane with host endosome membrane	1	CTSL
CD4-positive, alpha-beta T cell lineage commitment	1	CTSL
viral entry into host cell	1	CTSL
antigen processing and presentation of peptide antigen	1	CTSL
elastin catabolic process	1	CTSL
macrophage apoptotic process	1	CTSL
multivesicular body	1	CTSL
apical plasma membrane	1	CTSL
endolysosome lumen	1	CTSL
chromaffin granule	1	CTSL
lysosomal lumen	1	CTSL
actin filament binding	1	POF1B
epithelial cell morphogenesis	1	POF1B
actin filament organization	1	POF1B
actin cytoskeleton organization	1	POF1B
bicellular tight junction assembly	1	POF1B
actin filament	1	POF1B
adherens junction	1	POF1B
bicellular tight junction	1	POF1B
desmosome	1	POF1B
transmembrane transporter activity	1	SLC35F6
transmembrane transport	1	SLC35F6
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	1	SLC35F6
RNA binding	1	RPL7L1
structural constituent of ribosome	1	RPL7L1
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	RPL7L1
blastocyst formation	1	RPL7L1
cytosolic large ribosomal subunit	1	RPL7L1
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	1	MAN1B1
calcium ion binding	1	MAN1B1
protein glycosylation	1	MAN1B1
N-glycan processing	1	MAN1B1
oligosaccharide metabolic process	1	MAN1B1
viral protein processing	1	MAN1B1
ubiquitin-dependent ERAD pathway	1	MAN1B1
protein alpha-1,2-demannosylation	1	MAN1B1
trimming of terminal mannose on B branch	1	MAN1B1
trimming of terminal mannose on C branch	1	MAN1B1
trimming of first mannose on A branch	1	MAN1B1
trimming of second mannose on A branch	1	MAN1B1
endoplasmic reticulum mannose trimming	1	MAN1B1
mannose trimming involved in glycoprotein ERAD pathway	1	MAN1B1
endoplasmic reticulum quality control compartment	1	MAN1B1
inorganic diphosphate phosphatase activity	1	PPA1
phosphate-containing compound metabolic process	1	PPA1
endopeptidase activity	1	CTSH
aminopeptidase activity	1	CTSH
serine-type endopeptidase activity	1	CTSH
peptidase activity	1	CTSH
HLA-A specific activating MHC class I receptor activity	1	CTSH
thyroid hormone binding	1	CTSH
metanephros development	1	CTSH
T cell mediated cytotoxicity	1	CTSH
immune response-regulating signaling pathway	1	CTSH
positive regulation of gene expression	1	CTSH
positive regulation of epithelial cell migration	1	CTSH
neuropeptide catabolic process	1	CTSH
