Feature	Number of Genes	Genes
cytosol	27	RELA, UROD, TPP2, YARS1, TXNRD2, PLPBP, FTO, PHLPP2, GSR, ADK, AARS1, DNM1L, MVD, GSTZ1, SH3GLB1, ADSS2, OLA1, SH3GL1, DRG2, PPID, RRM1, GRHPR, LGALS9, MAP2K1, TKFC, GSPT1, MEAK7
protein binding	25	RELA, UROD, DRAP1, TPP2, YARS1, TXNRD2, CNPY2, PHLPP2, DNM1L, GSTZ1, SH3GLB1, ADSS2, OLA1, SH3GL1, DRG2, PPID, MMUT, RRM1, CHORDC1, NPPB, GRHPR, MAP2K1, TKFC, GSPT1, MEAK7
cytoplasm	21	RELA, TPP2, YARS1, TXNRD2, PLPBP, FTO, PHLPP2, AARS1, DNM1L, SH3GLB1, ADSS2, OLA1, SH3GL1, DRG2, PPID, MMUT, NPPB, GRHPR, LGALS9, GSPT1, MEAK7
nucleus	11	RELA, DRAP1, YARS1, FTO, ADK, DRG2, PPID, NPPB, LGALS9, MAP2K1, TKFC
mitochondrion	10	TXNRD2, GSR, AARS1, DNM1L, GSTZ1, ADSS2, MMUT, RRM1, GLOD4, MAP2K1
identical protein binding	9	RELA, DRAP1, TPP2, DNM1L, GSTZ1, SH3GLB1, SH3GL1, MMUT, RRM1
nucleoplasm	9	RELA, UROD, TPP2, FTO, PHLPP2, ADK, DRG2, PPID, MEAK7
ATP binding	9	YARS1, ADK, AARS1, MVD, OLA1, RRM1, CHORDC1, MAP2K1, TKFC
protein homodimerization activity	8	RELA, TXNRD2, DNM1L, MVD, GSTZ1, SH3GLB1, MMUT, GRHPR
extracellular exosome	7	GSR, AARS1, ADSS2, OLA1, GLOD4, GRHPR, TKFC
metal ion binding	6	PHLPP2, ADK, OLA1, DRG2, MMUT, TKFC
membrane	6	AARS1, DNM1L, SH3GLB1, OLA1, DRG2, MEAK7
GTP binding	5	DNM1L, ADSS2, OLA1, DRG2, GSPT1
nucleolus	4	RELA, OLA1, PPID, MEAK7
RNA binding	4	YARS1, ADK, DRG2, GSPT1
mitochondrial matrix	4	TXNRD2, GSR, GSTZ1, MMUT
intracellular membrane-bounded organelle	4	FTO, PHLPP2, DNM1L, DRG2
GTPase activity	4	DNM1L, DRG2, MMUT, GSPT1
cadherin binding	4	SH3GLB1, OLA1, SH3GL1, GLOD4
negative regulation of transcription by RNA polymerase II	3	RELA, DRAP1, PPID
positive regulation of gene expression	3	RELA, LGALS9, MAP2K1
apoptotic process	3	YARS1, SH3GLB1, PPID
extracellular space	3	YARS1, NPPB, LGALS9
cellular oxidant detoxification	3	TXNRD2, GSR, GSTZ1
plasma membrane	3	FTO, ADK, MAP2K1
endoplasmic reticulum	3	CNPY2, DNM1L, MAP2K1
lipid binding	3	DNM1L, SH3GLB1, SH3GL1
protein-containing complex	3	DNM1L, SH3GLB1, NPPB
signal transduction	3	SH3GL1, DRG2, MAP2K1
DNA binding	2	RELA, DRAP1
enzyme binding	2	RELA, LGALS9
ubiquitin protein ligase binding	2	RELA, DNM1L
phosphate ion binding	2	RELA, ADSS2
inflammatory response	2	RELA, LGALS9
neuropeptide signaling pathway	2	RELA, NPPB
positive regulation of cell population proliferation	2	RELA, MVD
positive regulation of interleukin-12 production	2	RELA, LGALS9
positive regulation of interleukin-8 production	2	RELA, LGALS9
positive regulation of I-kappaB kinase/NF-kappaB signaling	2	RELA, LGALS9
positive regulation of DNA-templated transcription	2	RELA, MAP2K1
positive regulation of NF-kappaB transcription factor activity	2	RELA, LGALS9
response to interleukin-1	2	RELA, LGALS9
positive regulation of NIK/NF-kappaB signaling	2	RELA, LGALS9
glutamatergic synapse	2	RELA, SH3GL1
