Feature	Number of Genes	Genes
protein binding	82	LPXN, NOS1AP, PDRG1, STRN3, ENAH, RNF114, SEPTIN3, SEPTIN8, CD274, ASCC2, TNNT1, KLHL41, GIT1, MISP, PRX, FABP3, ACACA, ACTN1, ACTN2, ACTN3, APPL1, ATP6V1H, BBOX1, BRICD5, BZW2, CNNM4, EIF2B4, FRMD1, GABRA3, GPX8, GSN, KLC3, LRRFIP2, LSM6, MAGEF1, MAP2, MYH9, NCOA5, NOTCH3, PARVA, PPP1R12A, PRKRIP1, PSMD1, RAI14, RNF111, SEPTIN10, SEPTIN2, SEPTIN5, SEPTIN9, SIPA1L1, SPECC1L, SZT2, TAX1BP3, TNNC1, TPM1, TPM3, WASHC3, ZC3H13, CCDC90B, CORO2B, DLGAP4, FBXO28, GPBP1L1, LDB3, LPP, LRCH4, MLF2, PGBD1, PTK2, PXN, SDC1, TLE2, TNS1, TNS3, TRIM62, TRIP6, USP33, ZYX, BTBD1, MYH1, MYH2, MYH7
cytosol	48	LPXN, NOS1AP, HSPB6, ENAH, RNF114, MYH15, TNNT1, ENO3, KLHL41, GIT1, FABP3, ACACA, ACTA2, ACTN1, ACTN2, ACTN3, APPL1, ATP6V1H, BBOX1, CNN3, EIF2B4, GSN, LCP1, LSM6, MAP2, MYH9, NOTCH3, PARVA, PPP1R12A, PSMD1, RAI14, RNF111, TAX1BP3, TNNC1, TPM1, TPM3, LPP, PTK2, PXN, TNS3, TRIM62, TRIP6, USP33, ZYX, BTBD1, MYH2, MYH6, MYH8
cytoplasm	41	LPXN, PDRG1, HSPB6, MYH15, KLHL41, PRX, ACTA2, ACTN1, APPL1, BZW2, EIF2B4, GSN, KLC3, LCP1, LIMCH1, LSM6, LUZP1, MAP2, MYH9, NDC1, PARVA, PPP1R12A, RNF111, SEPTIN2, SEPTIN9, SIPA1L1, SPECC1L, TAX1BP3, CORO2B, LRCH4, MLF2, PTK2, TNS1, TRIM62, USP33, MYH1, MYH2, MYH4, MYH6, MYH7, MYH8
plasma membrane	37	LPXN, STRN3, ENAH, RNF114, CD274, ENO3, KLHL41, MISP, PRX, ACTN1, ACTN2, ACTN3, APPL1, ATP6V1H, CNNM4, GABRA3, GSN, LCP1, MYH9, NDC1, NEXN, NOTCH3, PARVA, PPP1R12A, PRSS12, SEPTIN2, SEPTIN5, SIPA1L1, TAX1BP3, DLGAP4, LPP, PTK2, PXN, SDC1, TRIP6, VIPR2, ZYX
nucleus	27	LPXN, NOS1AP, HSPB6, RNF114, ASCC2, PRX, FABP3, ACTN1, APPL1, DMWD, GSN, LSM6, LUZP1, MAGEF1, MYH9, PARVA, PSMD1, RNF111, SEPTIN2, ZC3H13, GPBP1L1, LPP, MLF2, PTK2, TLE2, TRIP6, ZYX
focal adhesion	25	LPXN, ENAH, GIT1, MISP, ACTN1, ACTN2, ACTN3, CNN2, CNN3, GSN, LCP1, MYH9, NEXN, PARVA, PPP1R12A, CORO2B, LPP, PTK2, PXN, TLE2, TNS1, TNS3, TRIP6, USP33, ZYX
actin cytoskeleton	23	CD274, ACACA, CNN2, CNN3, GSN, LCP1, MYH9, NCOA5, NDC1, NEXN, NOTCH3, PARVA, PPP1R12A, SEPTIN2, SEPTIN9, SIPA1L1, SPECC1L, TAX1BP3, TPM1, TPM3, ZNF74, CORO2B, ZYX
actin filament binding	21	MYH15, MISP, ACTN1, ACTN2, ACTN3, CNN2, CNN3, GSN, LCP1, MYH9, NEXN, TNNC1, TPM1, TPM3, CORO2B, MYH1, MYH2, MYH4, MYH6, MYH7, MYH8
extracellular exosome	20	MFGE8, CD274, ENO3, FABP3, ACTA2, ACTN1, ACTN2, ACTN3, APPL1, ATP6V1H, BBOX1, GSN, LCP1, LUZP1, MYH9, PRKRIP1, SEPTIN2, TAX1BP3, TPM3, SDC1
nucleoplasm	18	STRN3, CD274, ASCC2, KLHL41, LSM6, NCOA5, NOTCH3, PPP1R12A, PRKRIP1, PSMD1, RAI14, RNF111, SEPTIN2, ZC3H13, ZNF74, TLE2, USP33, BTBD1
