Feature	Number of Genes	Genes
ribonuclease P activity	4	POP4, POP1, POP5, RPP30
protein binding	4	POP4, POP1, POP5, RPP30
ribonuclease P RNA binding	4	POP4, POP1, POP5, RPP30
tRNA 5'-leader removal	4	POP4, POP1, POP5, RPP30
RNA phosphodiester bond hydrolysis, endonucleolytic	4	POP4, POP1, POP5, RPP30
ribonuclease MRP complex	4	POP4, POP1, POP5, RPP30
nucleoplasm	4	POP4, POP1, POP5, RPP30
multimeric ribonuclease P complex	4	POP4, POP1, POP5, RPP30
rRNA processing	3	POP4, POP5, RPP30
nucleolus	3	POP4, POP1, POP5
nucleolar ribonuclease P complex	3	POP1, POP5, RPP30
RNA binding	2	POP1, RPP30
tRNA processing	2	POP1, RPP30
ribonuclease P complex	1	POP4
tRNA catabolic process	1	POP1
extracellular space	1	POP1
nucleus	1	RPP30
