Feature	Number of Genes	Genes
protein binding	91	GINS3, NTMT1, FAM114A1, CHMP1B, VTA1, KANSL1, AAMDC, ACAT2, ADPRS, AIDA, ALOX5, ANXA11, ARIH2, ARL2, BLVRB, C11orf68, CAPG, CELF1, CNOT10, CPNE1, CYRIB, DCPS, DDX19B, EEF1D, EIF4EBP1, ENO2, FAF1, FARSB, GCLC, GINS2, GINS4, GNPDA1, GNPDA2, HSPA12B, ILKAP, IRF2BP1, IRF2BPL, ITGA2, KIAA1191, KIN, LRRC20, MBNL1, MCMBP, MRTFB, NAA38, NAA50, NAE1, NAXE, NFYA, NHLRC2, NSFL1C, NUDCD2, OGFR, PAK2, PAPOLA, PDCD4, PEF1, PEX7, PGLS, PMM2, PNPO, PPP1R8, PSME2, PTPA, PTPN11, PTPN23, PTRHD1, RAB8A, RANBP3, RBM12, RBP1, RECQL, SCP2, SEPHS1, SGTA, SGTB, SLC25A30, SMCHD1, SNRNP27, TMSB4X, TRIP10, TSNAX, TTC9C, UBA2, UBE2M, UBE2Z, UBLCP1, USP5, VENTX, VGLL4, WDHD1
nucleus	55	GINS3, NTMT1, KANSL1, ADPRS, ARIH2, ARL2, CAPG, CELF1, CMPK1, CNOT10, CPNE1, DCPS, DDX19B, EEF1D, FAF1, GINS1, GINS2, GINS4, GNPDA2, ILKAP, IRF2BP1, IRF2BP2, IRF2BPL, ITGA2, KIN, MBNL1, MCMBP, MRTFB, NAA38, NAA50, NAE1, NFYA, NSFL1C, NSUN2, OGFR, PAK2, PAPOLA, PDCD4, PPP1R8, PTPA, PTPN11, PTPN23, RANBP3, RBP1, RECQL, SGTA, SNRNP27, TMSB4X, TSNAX, UBE2M, UBE2Z, UBLCP1, USP5, VGLL4, ZNF331
nucleoplasm	55	GINS3, NTMT1, FAM114A1, CHMP1B, VTA1, KANSL1, ADPRS, ALOX5, ANXA11, ARIH2, ARL2, BLVRB, CAPG, CELF1, CMPK1, CPNE1, DCPS, DDX19B, EEF1D, FAF1, GINS1, GINS2, GINS4, IRF2BP1, IRF2BP2, IRF2BPL, KIN, MBNL1, MCMBP, NAA38, NFYA, NSUN2, PAPOLA, PMM2, PPP1R8, PSME2, PTPA, PTPN11, PTPN23, RANBP3, RBM12, RBP1, RECQL, SCP2, SNRNP27, SPR, TRIP10, TSNAX, UBA2, UBE2M, UBE2Z, UBLCP1, UPP1, VENTX, WDHD1
cytosol	53	NTMT1, FAM114A1, CHMP1B, VTA1, ACAT2, ALOX5, ANXA11, ARL2, BLVRB, CMPK1, CNOT10, CPNE1, DCPS, EEF1D, EIF4EBP1, ENO2, FAF1, FARSB, GCLC, GNPDA1, GNPDA2, ILKAP, MBNL1, MCMBP, NAA50, NAE1, NANS, NHLRC2, NSFL1C, NUDCD2, PAK2, PAPSS1, PDCD4, PEX7, PGLS, PMM2, PNPO, PPAT, PSME2, PTPN11, PTPN23, RAB8A, RBP1, SCP2, SGTA, SPR, TMSB4X, TRIP10, TSNAX, UBE2M, UBE2Z, UPP1, USP5
cytoplasm	51	NTMT1, AAMDC, ACAT2, ADPRS, AIDA, ANXA11, ARIH2, ARL2, CAPG, CELF1, CMPK1, CPNE1, DCPS, DDX19B, EEF1D, EIF4EBP1, FARSB, GINS1, GINS4, GNPDA1, GNPDA2, IRF2BP2, KIAA1191, KIN, MBNL1, NAA38, NAA50, NAE1, NANS, NSFL1C, NSUN2, NUDCD2, OGFR, PAK2, PAPOLA, PDCD4, PEF1, PPP1R8, PSME2, PTPA, PTPN11, PTPN23, RANBP3, RECQL, SEPHS1, SGTA, TMSB4X, TRIP10, TSNAX, UBA2, WDHD1
extracellular exosome	24	CHMP1B, VTA1, ACAT2, ANXA11, BLVRB, CAPG, CMPK1, CPNE1, CYRIB, DDX19B, ENO2, GNPDA1, NAA50, NANS, NAXE, NSUN2, PEF1, PGLS, PSME2, PTPA, PTPN23, RAB8A, SPR, TRIP10
membrane	16	AIDA, ANXA11, CELF1, CNOT10, CPNE1, CYRIB, DDX19B, ENO2, FARSB, OGFR, PSME2, RECQL, SCP2, SGTA, SGTB, SLC15A1
RNA binding	16	ANXA11, C11orf68, CELF1, DDX19B, FARSB, KIN, MBNL1, NSUN2, PAPOLA, PCDHGA9, PDCD4, PEF1, PPP1R8, RBM12, TMSB4X, TSNAX
ATP binding	15	CMPK1, DDX19B, FARSB, GCLC, HSPA12B, PAK2, PAPOLA, PAPSS1, PTPA, RECQL, SEPHS1, SMCHD1, UBA2, UBE2M, UBE2Z
metal ion binding	15	ILKAP, IRF2BP1, IRF2BP2, IRF2BPL, ITGA2, KIN, MBNL1, MDP1, NAXE, NT5DC1, PMM2, PPAT, SEPHS1, TSNAX, UBLCP1
identical protein binding	14	CHMP1B, CPNE1, DCPS, ENO2, GNPDA1, GNPDA2, NAXE, PAK2, PEF1, PSME2, SEPHS1, SGTA, TRIP10, UPP1
