Feature	Number of Genes	Genes
protein binding	30	ADPRS, ALOX5, ARIH2, CELF1, CPNE1, GABPB1, GINS3, MAB21L3, MBNL1, MCMBP, MRTFB, NAXE, PAK2, PAPOLA, PEF1, PEX7, PGLS, PNPO, PPP1R8, PTRHD1, RANBP3, RBM12, SEPHS1, SGTA, SMCHD1, SNRNP27, TRIP10, TTC9C, UBE2M, WDHD1
nucleus	21	YBEY, ADPRS, ARIH2, CELF1, CMPK1, CPNE1, GABPB1, GINS1, GINS3, MBNL1, MCMBP, MRTFB, PAK2, PAPOLA, PPP1R8, RANBP3, SGTA, SNRNP27, SSBP2, UBE2M, ZNF331
nucleoplasm	19	ADPRS, ALOX5, ARIH2, CELF1, CMPK1, CPNE1, GABPB1, GINS1, GINS3, MBNL1, MCMBP, PAPOLA, PPP1R8, RANBP3, RBM12, SNRNP27, TRIP10, UBE2M, WDHD1
cytoplasm	17	ADPRS, ARIH2, CELF1, CMPK1, CPNE1, GINS1, MBNL1, PAK2, PAPOLA, PEF1, PPP1R8, RANBP3, SEPHS1, SGTA, SSBP2, TRIP10, WDHD1
cytosol	12	ALOX5, CMPK1, CPNE1, MBNL1, MCMBP, PAK2, PEX7, PGLS, PNPO, SGTA, TRIP10, UBE2M
RNA binding	7	CELF1, MBNL1, PAPOLA, PCDHGA9, PEF1, PPP1R8, RBM12
identical protein binding	7	CPNE1, NAXE, PAK2, PEF1, SEPHS1, SGTA, TRIP10
ATP binding	6	CMPK1, PAK2, PAPOLA, SEPHS1, SMCHD1, UBE2M
extracellular exosome	6	CMPK1, CPNE1, NAXE, PEF1, PGLS, TRIP10
metal ion binding	5	MDP1, YBEY, MBNL1, NAXE, SEPHS1
plasma membrane	4	CPNE1, PAK2, PCDHGA9, SEPHS1
nuclear membrane	3	ALOX5, CPNE1, SEPHS1
perinuclear region of cytoplasm	3	ALOX5, PAK2, TRIP10
mRNA processing	3	CELF1, MBNL1, PPP1R8
regulation of RNA splicing	3	CELF1, MBNL1, RBM12
membrane	3	CELF1, CPNE1, SGTA
phosphorylation	3	CMPK1, PAK2, SEPHS1
calcium ion binding	3	CPNE1, PCDHGA9, PEF1
positive regulation of transcription by RNA polymerase II	3	GABPB1, MRTFB, SSBP2
protein homodimerization activity	3	PEX7, PNPO, SMCHD1
DNA binding	3	PPP1R8, SMCHD1, WDHD1
magnesium ion binding	2	ADPRS, PAPOLA
DNA repair	2	ADPRS, WDHD1
mitochondrial matrix	2	ADPRS, NAXE
negative regulation of angiogenesis	2	ALOX5, NAXE
regulation of inflammatory response	2	ALOX5, CELF1
extracellular region	2	ALOX5, NAXE
extracellular space	2	ALOX5, NAXE
ubiquitin-protein transferase activity	2	ARIH2, UBE2M
zinc ion binding	2	ARIH2, ZNF331
mRNA binding	2	CELF1, PPP1R8
negative regulation of gene expression	2	CELF1, CPNE1
cytoplasmic stress granule	2	CELF1, MBNL1
ribonucleoprotein complex	2	CELF1, RBM12
DNA unwinding involved in DNA replication	2	GINS1, GINS3
positive regulation of DNA-directed DNA polymerase activity	2	GINS1, GINS3
positive regulation of DNA primase activity	2	GINS1, GINS3
GINS complex	2	GINS1, GINS3
CMG complex	2	GINS1, GINS3
nervous system development	2	MBNL1, PCDHGA9
RNA splicing	2	MBNL1, PPP1R8
chromatin binding	2	MCMBP, WDHD1
DNA-templated DNA replication	2	MCMBP, WDHD1
cadherin binding	2	MRTFB, PAK2
signal transduction	2	PAK2, TRIP10
protein modification process	2	SEPHS1, UBE2M
regulation of DNA-templated transcription	2	SSBP2, ZNF331
acid phosphatase activity	1	MDP1
protein tyrosine phosphatase activity	1	MDP1
metalloendopeptidase activity	1	YBEY
RNA endonuclease activity	1	YBEY
rRNA processing	1	YBEY
RNA phosphodiester bond hydrolysis, endonucleolytic	1	YBEY
hydrolase activity, hydrolyzing O-glycosyl compounds	1	ADPRS
poly(ADP-ribose) glycohydrolase activity	1	ADPRS
O-acetyl-ADP-ribose deacetylase activity	1	ADPRS
ADP-ribosylserine hydrolase activity	1	ADPRS
base-excision repair, gap-filling	1	ADPRS
negative regulation of necroptotic process	1	ADPRS
cellular response to superoxide	1	ADPRS
peptidyl-serine ADP-deribosylation	1	ADPRS
mitochondrion	1	ADPRS
nuclear body	1	ADPRS
site of DNA damage	1	ADPRS
arachidonate 5-lipoxygenase activity	1	ALOX5
arachidonate 12(S)-lipoxygenase activity	1	ALOX5
iron ion binding	1	ALOX5
hydrolase activity	1	ALOX5
arachidonate 8(S)-lipoxygenase activity	1	ALOX5
negative regulation of endothelial cell proliferation	1	ALOX5
leukocyte chemotaxis involved in inflammatory response	1	ALOX5
leukocyte migration involved in inflammatory response	1	ALOX5
leukotriene production involved in inflammatory response	1	ALOX5
leukotriene metabolic process	1	ALOX5
humoral immune response	1	ALOX5
