Feature	Number of Genes	Genes
protein binding	26	LPXN, NOS1AP, ENAH, ASCC2, GIT1, MISP, CCDC90B, CORO2B, DLGAP4, FBXO28, GPBP1L1, LDB3, LPP, LRCH4, MLF2, PGBD1, PTK2, PXN, SDC1, TLE2, TNS1, TNS3, TRIM62, TRIP6, USP33, ZYX
focal adhesion	14	LPXN, ENAH, GIT1, MISP, CORO2B, LPP, PTK2, PXN, TLE2, TNS1, TNS3, TRIP6, USP33, ZYX
cytosol	12	LPXN, NOS1AP, ENAH, GIT1, LPP, PTK2, PXN, TNS3, TRIM62, TRIP6, USP33, ZYX
plasma membrane	11	LPXN, ENAH, MISP, DLGAP4, LPP, PTK2, PXN, SDC1, TRIP6, VIPR2, ZYX
nucleus	10	LPXN, NOS1AP, ASCC2, GPBP1L1, LPP, MLF2, PTK2, TLE2, TRIP6, ZYX
metal ion binding	8	LPXN, GIT1, LDB3, LPP, PXN, TNS1, TRIP6, ZYX
cytoplasm	8	LPXN, CORO2B, LRCH4, MLF2, PTK2, TNS1, TRIM62, USP33
membrane	5	LPXN, GIT1, CORO2B, MLF2, PGBD1
perinuclear region of cytoplasm	5	LPXN, NOS1AP, LDB3, PTK2, USP33
actin binding	5	ENAH, CORO2B, LDB3, PTK2, TNS1
cytoskeleton	5	ENAH, LDB3, PTK2, TNS1, TRIP6
cell migration	5	MISP, PTK2, PXN, SDC1, USP33
stress fiber	5	LDB3, LPP, PTK2, PXN, ZYX
signal transduction	4	LPXN, PXN, TLE2, VIPR2
transforming growth factor beta receptor signaling pathway	4	LPXN, PTK2, PXN, ZYX
 DNA-templated transcription	4	ASCC2, GPBP1L1, MLF2, TRIM62
identical protein binding	4	FBXO28, PGBD1, SDC1, TRIM62
RNA binding	4	GPBP1L1, TNS1, TRIP6, ZYX
podosome	3	LPXN, NOS1AP, TNS3
mitochondrion	3	NOS1AP, GIT1, CCDC90B
axon guidance	3	ENAH, PTK2, USP33
lamellipodium	3	ENAH, GIT1, PXN
nucleoplasm	3	ASCC2, TLE2, USP33
DNA-templated transcription	2	LPXN, GPBP1L1
cell adhesion	2	LPXN, PXN
 cell adhesion mediated by integrin	2	LPXN, PTK2
substrate adhesion-dependent cell spreading	2	LPXN, PXN
endothelial cell migration	2	LPXN, PXN
nuclear speck	2	LPXN, ASCC2
cell projection	2	LPXN, TNS3
Z disc	2	NOS1AP, LDB3
filopodium	2	NOS1AP, ENAH
glutamatergic synapse	2	NOS1AP, DLGAP4
synapse	2	ENAH, GIT1
ubiquitin binding	2	ASCC2, USP33
small GTPase binding	2	GIT1, USP33
 G protein-coupled receptor signaling pathway	2	GIT1, USP33
ephrin receptor signaling pathway	2	GIT1, PTK2
centrosome	2	GIT1, USP33
actin filament binding	2	MISP, CORO2B
intracellular membrane-bounded organelle	2	MISP, PTK2
vinculin binding	2	CORO2B, PXN
actin cytoskeleton organization	2	CORO2B, LDB3
focal adhesion assembly	2	CORO2B, TRIP6
actin cytoskeleton	2	CORO2B, ZYX
adherens junction	2	LDB3, ZYX
negative regulation of DNA-templated transcription	2	LRCH4, TLE2
endocytosis	2	PGBD1, USP33
protein phosphatase binding	2	PTK2, PXN
signal complex assembly	2	PTK2, PXN
integrin-mediated signaling pathway	2	PTK2, ZYX
 cell migration	2	PTK2, TRIP6
growth hormone receptor signaling pathway	2	PTK2, PXN
cell cortex	2	PTK2, PXN
cell surface	2	SDC1, TNS1
