Feature	Number of Genes	Genes
protein binding	68	ARID4B, TFDP1, MIER2, ARID5B, ZNF423, RBL2, SUZ12, CHD3, CHAF1A, PROX1, STMN1, SUDS3, TBC1D2, SIN3B, UBN1, ASF1B, CHD4, RFX1, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, EMSY, HJURP, GMNN, TRPS1, E2F4, BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PHF12, PWWP2A, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF512B, ZNF521, ZNF827, TNRC18
nucleoplasm	68	ARID4B, JARID2, TFDP1, MIER2, ARID5B, ZNF423, RBL2, SUZ12, CHD3, PROX1, RPS24, SUDS3, TBC1D2, SIN3B, UBN1, ASF1B, CHD4, RFX1, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, EMSY, HJURP, GMNN, TRPS1, E2F4, ARID4A, BCL11A, BPTF, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING2, KDM5A, LIN37, LIN52, LIN9, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, RBBP4, RBBP7, SAP30, SAP30L, SFMBT1, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF512B, ZNF521, TNRC18
nucleus	64	ARID4B, JARID2, TFDP1, MIER2, ARID5B, ZNF423, SUZ12, CHD3, CHAF1A, PROX1, RPS24, SUDS3, SIN3B, UBN1, ASF1B, CHD4, ERCC6, CHAF1B, MMS22L, PHF1, CABIN1, GMNN, TRPS1, ARID4A, BCL11A, BPTF, BRMS1L, CDK2AP1, EED, EZH1, EZH2, GATAD1, GATAD2A, GATAD2B, HAT1, HDAC1, HDAC2, ING1, ING2, KDM5A, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, MTF2, PHF12, PWWP2A, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SFMBT1, SIN3A, TGIF2LX, TSHZ3, ZBTB2, ZFPM1, ZNF219, ZNF521, ZNF827
negative regulation of transcription by RNA polymerase II	45	ARID4B, JARID2, MIER2, ARID5B, SUZ12, CHD3, PROX1, SUDS3, SIN3B, CHD4, TRPS1, ARID4A, BCL11A, BPTF, BRMS1L, EED, EZH1, EZH2, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN37, MBD2, MBD3, MIER1, MIER3, MTA1, MTA2, MTA3, PHF12, RBBP4, RBBP7, SAP130, SAP30, SAP30L, SIN3A, TGIF2LX, ZBTB2, ZFPM1, ZNF219, ZNF512B
 DNA-templated transcription	29	ARID5B, ZNF423, CHD3, CHD4, PHF1, EMSY, BPTF, EZH2, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, ING1, ING2, KDM5A, LIN52, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, MTF2, RBBP4, RBBP7, SAP30, SAP30L, ZNF219
chromatin	28	TFDP1, RBL2, CHD3, CHAF1A, PROX1, SIN3B, ASF1B, CHD4, RFX1, CHAF1B, TRPS1, E2F4, BPTF, CDK2AP1, EZH2, GATAD2B, HAT1, HDAC1, HDAC2, MBD2, MBD3, MTA2, RBBP4, SIN3A, TGIF2LX, TSHZ3, ZFPM1, ZNF827
negative regulation of DNA-templated transcription	27	ARID5B, ZNF423, CHD3, PROX1, SUDS3, CHD4, GMNN, ARID4A, EED, EZH2, GATAD2A, GATAD2B, HDAC1, HDAC2, MBD2, MBD3, MTA1, MTA2, MTA3, PHF12, RBBP4, RBBP7, SFMBT1, SIN3A, TSHZ3, ZNF219, ZNF827
DNA binding	25	JARID2, ARID5B, CHD3, PROX1, UBN1, CHD4, ERCC6, PHF1, HJURP, E2F4, ARID4A, EZH1, ING2, KDM5A, LIN9, MBD3, MTF2, SAP30, SAP30L, SHPRH, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF827
chromatin remodeling	25	JARID2, MIER2, CHD3, SUDS3, CHD4, ERCC6, BPTF, EED, EZH1, GATAD1, GATAD2A, GATAD2B, HDAC1, HDAC2, KDM5A, MBD2, MBD3, MIER1, MTA1, MTA2, MTA3, PWWP2A, RBBP4, RBBP7, ZNF827
 transcription by RNA polymerase II	24	ARID4B, TFDP1, ARID5B, ZNF423, RBL2, PROX1, RFX1, ERCC6, TRPS1, E2F4, ARID4A, BCL11A, BPTF, CDK2AP1, EZH1, HDAC1, HDAC2, LIN9, MTA2, SIN3A, TSHZ3, ZFPM1, ZNF219, ZNF521
