Feature	Number of Genes	Genes
membrane	13	ACVR1B, BMPR1A, IFNGR1, IFNLR1, LAYN, MYOF, PDGFRB, PIK3CA, PIK3CD, PIK3R1, RNF149, SUSD6, ZDHHC9
plasma membrane	9	ACVR1B, BMPR1A, IFNGR1, IFNLR1, MYOF, PDGFRB, PIK3CA, PIK3CD, PIK3R1
Disease variant	7	BMPR1A, IFNGR1, PDGFRB, PIK3CA, PIK3CD, PIK3R1, ZDHHC9
cytoplasm	6	ANKIB1, PDGFRB, PIK3CA, PIK3CD, PIK3R1, RNF149
cytosol	5	ACVR1B, PIK3CA, PIK3CD, PIK3R1, ZDHHC9
ATP binding	5	ACVR1B, BMPR1A, PDGFRB, PIK3CA, PIK3CD
metal ion binding	5	ACVR1B, ANKIB1, BMPR1A, MYOF, RNF149
cell membrane	5	ACVR1B, BMPR1A, IFNGR1, MYOF, PDGFRB
cell surface	4	ACVR1B, BMPR1A, LAYN, PDGFRB
positive regulation of gene expression	4	ACVR1B, BMPR1A, IFNGR1, PIK3CD
protein phosphorylation	4	ACVR1B, BMPR1A, PIK3CD, PIK3R1
signal transduction	4	ACVR1B, IFNGR1, PDGFRB, PIK3CD
receptor complex	3	ACVR1B, BMPR1A, PDGFRB
protein serine/threonine kinase activity	3	ACVR1B, BMPR1A, PIK3CA
negative regulation of gene expression	3	ACVR1B, BMPR1A, PIK3CA
protein serine/threonine kinase activator activity	3	BMPR1A, PIK3CA, PIK3R1
angiogenesis	3	BMPR1A, PDGFRB, PIK3CA
immune response	3	BMPR1A, PIK3CD, PIK3R1
nucleus	3	MYOF, PDGFRB, PIK3R1
cell migration	3	PDGFRB, PIK3CA, PIK3CD
phosphatidylinositol-mediated signaling	3	PDGFRB, PIK3CA, PIK3CD
phosphatidylinositol 3-kinase complex	3	PIK3CA, PIK3CD, PIK3R1
phosphatidylinositol 3-kinase complex, class IA	3	PIK3CA, PIK3CD, PIK3R1
phosphatidylinositol 3-kinase signaling	3	PIK3CA, PIK3CD, PIK3R1
phosphatidylinositol phosphate biosynthetic process	3	PIK3CA, PIK3CD, PIK3R1
SMAD binding	2	ACVR1B, BMPR1A
transmembrane receptor protein serine/threonine kinase activity	2	ACVR1B, BMPR1A
cellular response to growth factor stimulus	2	ACVR1B, BMPR1A
in utero embryonic development	2	ACVR1B, BMPR1A
protein autophosphorylation	2	ACVR1B, PDGFRB
ubiquitin protein ligase activity	2	ANKIB1, RNF149
ubiquitin-dependent protein catabolic process	2	ANKIB1, RNF149
positive regulation of transcription by RNA polymerase II	2	BMPR1A, PIK3R1
cytokine receptor activity	2	IFNGR1, IFNLR1
cellular response to virus	2	IFNGR1, IFNLR1
cytokine-mediated signaling pathway	2	IFNGR1, IFNLR1
positive regulation of tumor necrosis factor production	2	IFNGR1, PIK3R1
focal adhesion	2	LAYN, PDGFRB
cytoplasmic vesicle	2	MYOF, PDGFRB
intracellular membrane-bounded organelle	2	MYOF, PDGFRB
Golgi apparatus	2	PDGFRB, ZDHHC9
phosphatidylinositol 3-kinase binding	2	PDGFRB, PIK3R1
negative regulation of apoptotic process	2	PDGFRB, PIK3R1
positive regulation of cell migration	2	PDGFRB, PIK3CD
positive regulation of smooth muscle cell proliferation	2	PDGFRB, PIK3CA
Proto-oncogene	2	PDGFRB, PIK3CA
perinuclear region of cytoplasm	2	PIK3CA, PIK3R1
1-phosphatidylinositol-3-kinase activity	2	PIK3CA, PIK3CD
1-phosphatidylinositol-4-phosphate 3-kinase activity	2	PIK3CA, PIK3CD
insulin receptor substrate binding	2	PIK3CA, PIK3R1
kinase activity	2	PIK3CA, PIK3CD
phosphatidylinositol 3-kinase activity	2	PIK3CA, PIK3CD
phosphatidylinositol kinase activity	2	PIK3CA, PIK3CD
phosphatidylinositol-3,4-bisphosphate 5-kinase activity	2	PIK3CA, PIK3CD
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	2	PIK3CA, PIK3CD
insulin-like growth factor receptor signaling pathway	2	PIK3CA, PIK3R1
phosphatidylinositol-3-phosphate biosynthetic process	2	PIK3CA, PIK3CD
phosphorylation	2	PIK3CA, PIK3CD
positive regulation of lamellipodium assembly	2	PIK3CA, PIK3R1
positive regulation of protein kinase B signaling	2	PIK3CA, PIK3CD
T cell receptor signaling pathway	2	PIK3CA, PIK3CD
B cell differentiation	2	PIK3CD, PIK3R1
T cell differentiation	2	PIK3CD, PIK3R1
activin receptor complex	1	ACVR1B
activin binding	1	ACVR1B
activin receptor activity, type I	1	ACVR1B
inhibin binding	1	ACVR1B
ubiquitin protein ligase binding	1	ACVR1B
activin receptor signaling pathway	1	ACVR1B
extrinsic apoptotic signaling pathway	1	ACVR1B
G1/S transition of mitotic cell cycle	1	ACVR1B
hair follicle development	1	ACVR1B
negative regulation of cell growth	1	ACVR1B
nervous system development	1	ACVR1B
nodal signaling pathway	1	ACVR1B
peptidyl-threonine phosphorylation	1	ACVR1B
positive regulation of activin receptor signaling pathway	1	ACVR1B
positive regulation of erythrocyte differentiation	1	ACVR1B
positive regulation of trophoblast cell migration	1	ACVR1B
regulation of DNA-templated transcription	1	ACVR1B
transmembrane receptor protein serine/threonine kinase signaling pathway	1	ACVR1B
ubiquitin ligase complex	1	ANKIB1
ubiquitin conjugating enzyme binding	1	ANKIB1
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1	ANKIB1
protein polyubiquitination	1	ANKIB1
dendrite	1	BMPR1A
external side of plasma membrane	1	BMPR1A
HFE-transferrin receptor complex	1	BMPR1A
neuronal cell body	1	BMPR1A
BMP binding	1	BMPR1A
BMP receptor activity	1	BMPR1A
phosphatase activator activity	1	BMPR1A
protein homodimerization activity	1	BMPR1A
transcription regulator activator activity	1	BMPR1A
transforming growth factor beta receptor activity, type I	1	BMPR1A
atrioventricular node cell development	1	BMPR1A
atrioventricular valve development	1	BMPR1A
BMP signaling pathway	1	BMPR1A
BMP signaling pathway involved in heart development	1	BMPR1A
cardiac conduction system development	1	BMPR1A
cardiac right ventricle morphogenesis	1	BMPR1A
cellular response to BMP stimulus	1	BMPR1A
central nervous system neuron differentiation	1	BMPR1A
chondrocyte differentiation	1	BMPR1A
developmental growth	1	BMPR1A
dorsal aorta morphogenesis	1	BMPR1A
dorsal/ventral axis specification	1	BMPR1A
dorsal/ventral pattern formation	1	BMPR1A
ectoderm development	1	BMPR1A
embryonic digit morphogenesis	1	BMPR1A
embryonic organ development	1	BMPR1A
endocardial cushion formation	1	BMPR1A
endocardial cushion morphogenesis	1	BMPR1A
epithelial cell proliferation	1	BMPR1A
fibrous ring of heart morphogenesis	1	BMPR1A
heart formation	1	BMPR1A
hindlimb morphogenesis	1	BMPR1A
lateral mesoderm development	1	BMPR1A
lung development	1	BMPR1A
mesendoderm development	1	BMPR1A
mesoderm formation	1	BMPR1A
mitral valve morphogenesis	1	BMPR1A
Mullerian duct regression	1	BMPR1A
negative regulation of muscle cell differentiation	1	BMPR1A
negative regulation of neurogenesis	1	BMPR1A
negative regulation of smooth muscle cell migration	1	BMPR1A
neural crest cell development	1	BMPR1A
neural plate mediolateral regionalization	1	BMPR1A
odontogenesis of dentin-containing tooth	1	BMPR1A
osteoblast differentiation	1	BMPR1A
outflow tract morphogenesis	1	BMPR1A
outflow tract septum morphogenesis	1	BMPR1A
paraxial mesoderm structural organization	1	BMPR1A
pharyngeal arch artery morphogenesis	1	BMPR1A
pituitary gland development	1	BMPR1A
positive regulation of bone mineralization	1	BMPR1A
positive regulation of cardiac muscle cell proliferation	1	BMPR1A
positive regulation of cardiac ventricle development	1	BMPR1A
positive regulation of epithelial cell proliferation	1	BMPR1A
positive regulation of mesenchymal cell proliferation	1	BMPR1A
positive regulation of miRNA transcription	1	BMPR1A
positive regulation of osteoblast differentiation	1	BMPR1A
positive regulation of pathway-restricted SMAD protein phosphorylation	1	BMPR1A
positive regulation of SMAD protein signal transduction	1	BMPR1A
positive regulation of transforming growth factor beta2 production	1	BMPR1A
positive regulation of vascular associated smooth muscle cell proliferation	1	BMPR1A
regulation of cardiac muscle cell proliferation	1	BMPR1A
regulation of cellular senescence	1	BMPR1A
regulation of lateral mesodermal cell fate specification	1	BMPR1A
roof of mouth development	1	BMPR1A
somatic stem cell population maintenance	1	BMPR1A
somitogenesis	1	BMPR1A
transforming growth factor beta receptor signaling pathway	1	BMPR1A
tricuspid valve morphogenesis	1	BMPR1A
ventricular compact myocardium morphogenesis	1	BMPR1A
ventricular septum morphogenesis	1	BMPR1A
ventricular trabecula myocardium morphogenesis	1	BMPR1A
Juvenile polyposis syndrome	1	BMPR1A
Polyposis syndrome	1	BMPR1A
cytokine binding	1	IFNGR1
type II interferon receptor activity	1	IFNGR1
astrocyte activation	1	IFNGR1
microglial cell activation	1	IFNGR1
negative regulation of amyloid-beta clearance	1	IFNGR1
positive regulation of amyloid-beta formation	1	IFNGR1
response to virus	1	IFNGR1
type II interferon-mediated signaling pathway	1	IFNGR1
Immunodeficiency 27A	1	IFNGR1
Immunodeficiency 27B	1	IFNGR1
interleukin-28 receptor complex	1	IFNLR1
defense response to virus	1	IFNLR1
mucosal immune response	1	IFNLR1
negative regulation of cell population proliferation	1	IFNLR1
positive regulation of cellular respiration	1	IFNLR1
regulation of defense response to virus by host	1	IFNLR1
response to type III interferon	1	IFNLR1
type III interferon-mediated signaling pathway	1	IFNLR1
ruffle	1	LAYN
carbohydrate binding	1	LAYN
hyaluronic acid binding	1	LAYN
caveola	1	MYOF
cytoplasmic vesicle membrane	1	MYOF
extracellular exosome	1	MYOF
nuclear envelope	1	MYOF
nuclear membrane	1	MYOF
phospholipid binding	1	MYOF
blood circulation	1	MYOF
membrane fusion	1	MYOF
muscle contraction	1	MYOF
plasma membrane organization	1	MYOF
plasma membrane repair	1	MYOF
T-tubule organization	1	MYOF
nucleus membrane	1	MYOF
Angioedema	1	MYOF
apical plasma membrane	1	PDGFRB
lysosomal lumen	1	PDGFRB
enzyme binding	1	PDGFRB
growth factor binding	1	PDGFRB
platelet activating factor receptor activity	1	PDGFRB
platelet-derived growth factor beta-receptor activity	1	PDGFRB
platelet-derived growth factor binding	1	PDGFRB
platelet-derived growth factor receptor activity	1	PDGFRB
platelet-derived growth factor receptor binding	1	PDGFRB
protein kinase binding	1	PDGFRB
protein tyrosine kinase activity	1	PDGFRB
signaling receptor binding	1	PDGFRB
transmembrane receptor protein tyrosine kinase activity	1	PDGFRB
vascular endothelial growth factor binding	1	PDGFRB
aging	1	PDGFRB
aorta morphogenesis	1	PDGFRB
cardiac myofibril assembly	1	PDGFRB
cell chemotaxis	1	PDGFRB
cell migration involved in coronary angiogenesis	1	PDGFRB
cell migration involved in vasculogenesis	1	PDGFRB
glycosaminoglycan biosynthetic process	1	PDGFRB
inner ear development	1	PDGFRB
lung growth	1	PDGFRB
male gonad development	1	PDGFRB
metanephric comma-shaped body morphogenesis	1	PDGFRB
metanephric glomerular capillary formation	1	PDGFRB
metanephric glomerular mesangial cell proliferation involved in metanephros development	1	PDGFRB
metanephric mesenchymal cell migration	1	PDGFRB
metanephric mesenchyme development	1	PDGFRB
metanephric S-shaped body morphogenesis	1	PDGFRB
peptidyl-tyrosine phosphorylation	1	PDGFRB
phosphatidylinositol metabolic process	1	PDGFRB
platelet-derived growth factor receptor signaling pathway	1	PDGFRB
platelet-derived growth factor receptor-beta signaling pathway	1	PDGFRB
positive regulation of apoptotic process	1	PDGFRB
positive regulation of calcium ion import	1	PDGFRB
positive regulation of cell population proliferation	1	PDGFRB
positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway	1	PDGFRB
positive regulation of chemotaxis	1	PDGFRB
