Feature	Number of Genes	Genes
protein binding	41	RAB29, ARL6IP6, DIRAS3, NOPCHAP1, POM121, SUMO1, AAAS, AKIRIN1, ANKRD17, ARHGAP10, ATP6V1B1, BRIP1, C6orf141, CASC3, DHX37, DNAJB2, DTX2, GTF3C3, KLHDC2, KLHL11, LBR, LEMD2, LEMD3, MCM3AP, MINDY3, NRM, NUP155, NUP62, RANBP2, RANGAP1, SENP1, SUN1, SUN2, SYNE2, TBC1D19, TOR1A, TOR1AIP1, TPR, ZBTB1, ZC3H12C, ZC3HC1
nuclear membrane	31	POM121, SUMO1, AAAS, AKIRIN1, ANKRD17, BRIP1, CASC3, DHX37, DNAJB2, DTX2, GTF3C3, KLHDC2, LBR, LEMD2, LEMD3, MCM3AP, MINDY3, NRM, NUP155, NUP62, RANBP2, RANGAP1, SENP1, SUN1, SUN2, SYNE2, TOR1A, TOR1AIP1, TPR, ZBTB1, ZC3HC1
nucleoplasm	21	POM121, SUMO1, AAAS, AKIRIN1, ANKRD17, BRIP1, CASC3, DHX37, DTX2, GTF3C3, KLHDC2, MCM3AP, MINDY3, NUP62, RANBP2, RANGAP1, SENP1, SYNE2, TPR, ZBTB1, ZC3HC1
nucleus	19	NOPCHAP1, SUMO1, AAAS, AKIRIN1, ANKRD17, BRIP1, CASC3, DNAJB2, KLHDC2, LBR, MCM3AP, RANGAP1, SENP1, SYNE2, TOR1AIP1, TPR, ZBTB1, ZC3H12C, ZC3HC1
cytoplasm	17	RAB29, ANKRD17, ATP6V1B1, BRIP1, DHX37, DTX2, LBR, MCM3AP, NUP62, RANBP2, RANGAP1, RGPD6, RGPD8, SENP1, SUN1, SYNE2, TPR
nuclear envelope	14	POM121, AAAS, LBR, LEMD2, NRM, NUP155, NUP62, RANBP2, RANGAP1, SUN1, SUN2, SYNE2, TOR1A, TPR
cytosol	13	RAB29, SUMO1, AAAS, ARHGAP10, ATP6V1B1, CASC3, DNAJB2, KLHL11, MCM3AP, NUP155, RANBP2, RANGAP1, TOR1A
nuclear pore	10	POM121, SUMO1, AAAS, NUP155, NUP62, RANBP2, RANGAP1, RGPD6, RGPD8, TPR
nuclear inner membrane	9	ARL6IP6, LBR, LEMD2, LEMD3, NRM, SUN1, SUN2, TMX4, TOR1AIP1
membrane	9	AAAS, ANKRD17, LBR, LEMD2, LEMD3, NRM, NUP155, RANBP2, TOR1A
RNA binding	8	SUMO1, ANKRD17, CASC3, DHX37, LBR, RANBP2, RANGAP1, TPR
nucleocytoplasmic transport	7	POM121, AAAS, NUP155, NUP62, RANBP2, RANGAP1, TPR
GTPase activator activity	6	ARHGAP10, RANBP2, RANGAP1, RGPD6, RGPD8, TBC1D19
intracellular membrane-bounded organelle	5	RAB29, RANBP2, RANGAP1, SUN1, TOR1A
chromatin binding	5	ANKRD17, BRIP1, MCM3AP, NUP62, TPR
DNA binding	5	BRIP1, GTF3C3, LBR, LEMD3, ZBTB1
small GTPase binding	4	RAB29, RANBP2, RANGAP1, RGPD8
plasma membrane	4	RAB29, DIRAS3, SUMO1, ARHGAP10
perinuclear region of cytoplasm	4	RAB29, ARHGAP10, CASC3, RANGAP1
extracellular exosome	4	RAB29, ATP6V1B1, SYNE2, TOR1A
structural constituent of nuclear pore	4	POM121, NUP155, NUP62, TPR
RNA export from nucleus	4	POM121, NUP155, NUP62, TPR
protein import into nucleus	4	POM121, NUP155, NUP62, TPR
mRNA transport	4	POM121, AAAS, NUP62, RANBP2
protein sumoylation	4	SUMO1, RANBP2, RANGAP1, SENP1
mitotic spindle	4	AAAS, NUP62, RANGAP1, TPR
ATP binding	4	ATP6V1B1, BRIP1, DHX37, TOR1A
metal ion binding	4	BRIP1, RANBP2, ZBTB1, ZC3H12C
mRNA export from nucleus	4	CASC3, MCM3AP, NUP155, TPR
lamin binding	4	LBR, SUN1, SUN2, TOR1AIP1
centrosome localization	4	RANBP2, SUN1, SUN2, SYNE2
endoplasmic reticulum membrane	3	POM121, DNAJB2, LBR
ubiquitin protein ligase binding	3	SUMO1, CASC3, RANGAP1
DNA repair	3	SUMO1, BRIP1, ZBTB1
nuclear body	3	SUMO1, KLHDC2, ZBTB1
molecular_function	3	AAAS, NRM, ZC3H12C
