Feature	Number of Genes	Genes
protein binding	23	AAMDC, AIDA, ANXA11, ASNS, BLVRB, CNOT10, EIF4EBP1, ENO2, GCLC, GNPDA1, GNPDA2, KIAA1191, LRRC20, NSFL1C, OGFR, PDCD4, PMM2, PTPA, SCP2, TMSB4X, TRIM25, UBE2Z, USP5
cytosol	19	ANXA11, ASNS, BLVRB, CNOT10, EIF4EBP1, ENO2, GCLC, GNPDA1, GNPDA2, KCNAB1, NSFL1C, PDCD4, PMM2, SCP2, SPR, TMSB4X, TRIM25, UBE2Z, USP5
cytoplasm	13	AAMDC, AIDA, ANXA11, EIF4EBP1, GNPDA1, GNPDA2, KIAA1191, NSFL1C, OGFR, PDCD4, PTPA, TMSB4X, TRIM25
nucleus	9	CNOT10, GNPDA2, NSFL1C, OGFR, PDCD4, PTPA, TMSB4X, UBE2Z, USP5
nucleoplasm	8	ANXA11, BLVRB, PMM2, PTPA, SCP2, SPR, TRIM25, UBE2Z
membrane	7	AIDA, ANXA11, CNOT10, ENO2, OGFR, SCP2, SLC15A1
extracellular exosome	6	ANXA11, BLVRB, ENO2, GNPDA1, PTPA, SPR
cellular_component	4	ADISSP, AIDA, KIAA1191, OGFR
RNA binding	4	ANXA11, PDCD4, TMSB4X, TRIM25
ATP binding	4	ASNS, GCLC, PTPA, UBE2Z
negative regulation of apoptotic process	4	ASNS, GCLC, PDCD4, UBE2Z
plasma membrane	4	BLVRB, ENO2, KCNAB1, SLC15A1
identical protein binding	3	ENO2, GNPDA1, GNPDA2
ubiquitin-dependent protein catabolic process	3	TRIM25, UBE2Z, USP5
positive regulation of NIK/NF-kappaB signaling	2	ADISSP, PDCD4
extracellular space	2	ADISSP, ENO2
protein domain specific binding	2	AIDA, KCNAB1
negative regulation of JUN kinase activity	2	AIDA, PDCD4
positive regulation of mitotic cell cycle	2	ASNS, EIF4EBP1
intracellular membrane-bounded organelle	2	BLVRB, SCP2
magnesium ion binding	2	ENO2, GCLC
enzyme binding	2	ENO2, TMSB4X
protein-containing complex binding	2	ENO2, GCLC
response to xenobiotic stimulus	2	ENO2, GCLC
response to oxidative stress	2	GCLC, TRIM25
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2	GCLC, USP5
