Feature	Number of Genes	Genes
mitochondrion	20	ACADM, CIAPIN1, GRPEL1, HSDL2, ME2, PNPT1, PUS1, SLC25A14, TRMT10C, PDK2, ETFB, HDHD5, AMMECR1, MTHFD1L, POLDIP2, PYCR2, PCK2, HK2, MCCC2, ALDH1L2
mitochondrial matrix	14	ACADM, GRPEL1, ME2, PNPT1, PUS1, TRMT10C, PDK2, ETFB, MTHFD1L, POLDIP2, PYCR2, PCK2, MCCC2, ALDH1L2
protein binding	14	CIAPIN1, GRPEL1, HNRNPLL, PNPT1, TRMT10C, PDK2, ETFB, AMMECR1, POLDIP2, PYCR2, PCK2, HK2, MCCC2, ALDH1L2
nucleus	7	ACADM, HNRNPLL, PNPT1, PUS1, TRMT10C, AMMECR1, POLDIP2
nucleoplasm	7	CIAPIN1, GRPEL1, PUS1, TRMT10C, PDK2, AMMECR1, ALDH1L2
cytosol	7	PNPT1, PDK2, ATP6V1C2, MTHFD1L, PCK2, HK2, MCCC2
identical protein binding	5	ACADM, GRPEL1, PNPT1, TRMT10C, ATP6V1C2
cytoplasm	4	ACADM, CIAPIN1, PNPT1, PUS1
RNA binding	4	HNRNPLL, PNPT1, PUS1, TRMT10C
membrane	4	HNRNPLL, HSDL2, MTHFD1L, HK2
ATP binding	4	PDK2, MTHFD1L, HK2, MCCC2
electron transfer activity	3	CIAPIN1, ME2, ETFB
protein homodimerization activity	3	GRPEL1, PDK2, MTHFD1L
plasma membrane	3	SLC25A14, POLDIP2, HK2
regulation of gluconeogenesis	2	ACADM, PDK2
fatty acid beta-oxidation	2	ACADM, ALDH1L2
fatty acid beta-oxidation using acyl-CoA dehydrogenase	2	ACADM, ETFB
response to starvation	2	ACADM, PCK2
electron transport chain	2	CIAPIN1, ME2
mitochondrial intermembrane space	2	CIAPIN1, PNPT1
mRNA processing	2	HNRNPLL, PUS1
molecular_function	2	HSDL2, CA10
biological_process	2	HSDL2, AMMECR1
intracellular membrane-bounded organelle	2	ME2, HK2
mitochondrial RNA 5'-end processing	2	PNPT1, TRMT10C
cellular response to oxidative stress	2	PNPT1, PYCR2
mitochondrion morphogenesis	2	PNPT1, POLDIP2
tRNA binding	2	PUS1, TRMT10C
mitochondrial nucleoid	2	TRMT10C, POLDIP2
glucose metabolic process	2	PDK2, HK2
extracellular exosome	2	ATP6V1C2, ALDH1L2
acyl-CoA dehydrogenase activity	1	ACADM
flavin adenine dinucleotide binding	1	ACADM
medium-chain-acyl-CoA dehydrogenase activity	1	ACADM
liver development	1	ACADM
glycogen biosynthetic process	1	ACADM
response to cold	1	ACADM
post-embryonic development	1	ACADM
carnitine metabolic process, CoA-linked	1	ACADM
carnitine biosynthetic process	1	ACADM
medium-chain fatty acid metabolic process	1	ACADM
medium-chain fatty acid catabolic process	1	ACADM
cardiac muscle cell differentiation	1	ACADM
axon	1	ACADM
mitochondrial membrane	1	ACADM
iron ion binding	1	CIAPIN1
methyltransferase activity	1	CIAPIN1
2 iron, 2 sulfur cluster binding	1	CIAPIN1
4 iron, 4 sulfur cluster binding	1	CIAPIN1
apoptotic process	1	CIAPIN1
iron-sulfur cluster assembly	1	CIAPIN1
hemopoiesis	1	CIAPIN1
negative regulation of apoptotic process	1	CIAPIN1
nucleolus	1	CIAPIN1
adenyl-nucleotide exchange factor activity	1	GRPEL1
unfolded protein binding	1	GRPEL1
protein-folding chaperone binding	1	GRPEL1
protein folding	1	GRPEL1
intracellular protein transport	1	GRPEL1
protein import into mitochondrial matrix	1	GRPEL1
PAM complex, Tim23 associated import motor	1	GRPEL1
TIM23 mitochondrial import inner membrane translocase complex	1	GRPEL1
mRNA binding	1	HNRNPLL
positive regulation of RNA splicing	1	HNRNPLL
regulation of RNA splicing	1	HNRNPLL
synapse	1	HNRNPLL
ribonucleoprotein complex	1	HNRNPLL
steroid dehydrogenase activity	1	HSDL2
peroxisome	1	HSDL2
malic enzyme activity	1	ME2
malate dehydrogenase (decarboxylating) (NAD+) activity	1	ME2
malate dehydrogenase (decarboxylating) (NADP+) activity	1	ME2
