Feature	Number of Genes	Genes
protein binding	81	TMCC3, RETREG2, PTRH2, INF2, SEC63, TACC1, PAM, ITGB1, DERL2, SCARA3, PREB, LOXL1, ABLIM1, IRAK1, RHBDD1, CYB5B, BNIP1, RTN3, DDOST, CLCC1, ORMDL3, REEP4, CERS2, STT3B, CHMP2A, CDS2, RCN3, SARAF, UFL1, ATL2, SYVN1, COPB2, FKBP7, AMFR, REEP5, C6orf47, LAT2, HSP90B1, GNPTG, CANX, LRPAP1, ELOVL5, CLPTM1, SELENOS, CLPTM1L, PTPN1, DDRGK1, DGAT1, TMX1, HM13, SCARF2, SGPL1, CSGALNACT2, FDFT1, QPCT, ASPH, ATP2A1, BCAP31, CALR, CALU, CHM, CYFIP2, DNAJB11, ESYT1, FKBP8, GCG, GDAP2, IKBIP, KTN1, LRRC59, NSDHL, P4HB, PDIA6, RCN1, SLC39A7, SMAP2, SOAT1, VAPA, VAPB, VIP, ZSCAN21
endoplasmic reticulum	59	TMCC3, SEC63, P3H4, DERL2, SCARA3, RHBDD1, BNIP1, RTN3, DDOST, SEC62, CLCC1, ORMDL3, REEP4, EDEM3, CERS2, STT3B, CDS2, P4HA2, RCN3, SARAF, UFL1, ATL2, SYVN1, FKBP7, AMFR, REEP5, HSP90B1, CANX, LRPAP1, MXRA7, ELOVL5, CYP51A1, SELENOS, CLGN, PTPN1, DDRGK1, HM13, SGPL1, FDFT1, ASPH, BCAP31, CALR, CALU, DNAJB11, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, NSDHL, P4HB, PDIA6, RCN1, SLC39A7, SOAT1, STC2, VAPA, VAPB
endoplasmic reticulum membrane	51	TMCC3, RETREG2, DERL2, SCARA3, PREB, RHBDD1, BNIP1, RTN3, DDOST, SEC62, CLCC1, ORMDL3, REEP4, CERS2, STT3B, CDS2, SARAF, UFL1, SYVN1, COPB2, AMFR, HSP90B1, CANX, ELOVL5, CYP51A1, SELENOS, CLGN, CLPTM1L, DDRGK1, DGAT1, TMX1, HM13, SGPL1, FDFT1, ASPH, ATP2A1, BCAP31, CALR, CALU, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, NSDHL, PDIA6, SLC39A7, SOAT1, VAPA, VAPB
membrane	50	PTRH2, SEC63, TACC1, PAM, ITGB1, DERL2, FNDC3B, PREB, CYB5B, DDOST, SEC62, CLCC1, EDEM3, CERS2, LRRN2, STT3B, CHMP2A, CDS2, TP53I11, UFL1, ATL2, SYVN1, AMFR, HSP90B1, CANX, MXRA7, ELOVL5, CLPTM1, CYP51A1, CLPTM1L, FAM234B, DGAT1, HM13, SCARF2, CSGALNACT2, FDFT1, ATP2A1, BCAP31, CALR, CALU, CYFIP2, DNAJB11, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, SLC39A7, SOAT1
plasma membrane	22	PAM, ITGB1, IRAK1, RTN3, DDOST, ORMDL3, CHMP2A, LAT2, LRPAP1, CLPTM1, SELENOS, PTPN1, DGAT1, HM13, ASPH, BCAP31, ESYT1, GCG, KTN1, PDIA6, VAPA, VAPB
cytosol	19	PTRH2, TACC1, IRAK1, CHMP2A, P4HA2, UFL1, COPB2, AMFR, HSP90B1, PTPN1, BCAP31, CALR, CHM, CYFIP2, FKBP8, P4HB, PDIA6, SMAP2, VAPA
cytoplasm	16	TACC1, ITGB1, ABLIM1, IRAK1, BNIP1, UFL1, SYVN1, PTPN1, DDRGK1, CALR, CHM, CYFIP2, KCTD20, LRRC59, SMAP2, VAPB
endoplasmic reticulum lumen	15	EDEM3, P4HA2, RCN3, FKBP7, HSP90B1, CANX, CALR, CALU, DNAJB11, GCG, KTN1, P4HB, PDIA6, RCN1, STC2
calcium ion binding	14	PAM, ITGB1, EDEM3, RCN3, FKBP7, HSP90B1, CANX, CLGN, ASPH, ATP2A1, CALR, CALU, ESYT1, RCN1
extracellular exosome	13	PAM, ITGB1, CHMP2A, LAT2, HSP90B1, GNPTG, CANX, QPCT, CALR, CYFIP2, MOGS, P4HB, PDIA6
