Feature	Number of Genes	Genes
protein binding	4	NACC1, TTC5, WDR81, ZNF281
nucleoplasm	3	NACC1, TTC5, ZNF281
RNA polymerase II cis-regulatory region sequence-specific DNA binding	2	NACC1, ZNF281
DNA-binding transcription factor activity, RNA polymerase II-specific	2	NACC1, ZNF281
DNA-binding transcription repressor activity, RNA polymerase II-specific	2	NACC1, ZNF281
negative regulation of transcription by RNA polymerase II	2	NACC1, ZNF281
 transcription by RNA polymerase II	2	NACC1, TTC5
negative regulation of DNA-templated transcription	2	NACC1, ZNF281
nucleus	2	NACC1, ZNF281
mitochondrion	2	TTC5, WDR81
cytosol	2	TTC5, WDR81
histone deacetylase binding	1	NACC1
 cell population proliferation	1	NACC1
cytoplasm	1	NACC1
cell junction	1	NACC1
intracellular membrane-bounded organelle	1	NACC1
DNA binding	1	TTC5
chromatin binding	1	TTC5
ribosome binding	1	TTC5
DNA repair	1	TTC5
DNA damage response	1	TTC5
cellular response to starvation	1	TTC5
 mRNA catabolic process	1	TTC5
mitochondrial matrix	1	TTC5
cytoplasmic vesicle	1	TTC5
phosphatidylinositol 3-kinase regulator activity	1	WDR81
K63-linked polyubiquitin modification-dependent protein binding	1	WDR81
ubiquitin-dependent protein catabolic process	1	WDR81
mitochondrion organization	1	WDR81
aggrephagy	1	WDR81
 phosphatidylinositol 3-kinase activity	1	WDR81
early endosome to late endosome transport	1	WDR81
protein stabilization	1	WDR81
autophagosome membrane	1	WDR81
lysosomal membrane	1	WDR81
endoplasmic reticulum membrane	1	WDR81
Golgi apparatus	1	WDR81
extrinsic component of endosome membrane	1	WDR81
early endosome membrane	1	WDR81
late endosome membrane	1	WDR81
transcription cis-regulatory region binding	1	ZNF281
DNA-binding transcription factor activity	1	ZNF281
sequence-specific DNA binding	1	ZNF281
metal ion binding	1	ZNF281
sequence-specific double-stranded DNA binding	1	ZNF281
 DNA-templated transcription	1	ZNF281
embryonic body morphogenesis	1	ZNF281
negative regulation of gene expression	1	ZNF281
stem cell differentiation	1	ZNF281
