Feature	Number of Genes	Genes
protein binding	41	SYTL3, BCAM, STX17, TNFRSF9, FAM111A, AKR1C1, APEX2, ATOSB, BTBD10, CAB39, CILK1, CSNK1D, CTTNBP2NL, DKC1, ESRRA, GAB1, INO80C, JAZF1, KDM4A, KIF1B, KXD1, LRRC47, LSM7, MUS81, NECTIN2, NEDD1, NOP58, OGDHL, PAGE1, POLR1A, PSPC1, SMARCA5, SPANXN3, TAF1C, TCOF1, TIMM13, TMEM177, TRAF4, TRIM27, TSEN15, UBTF
nucleoplasm	24	FAM111A, APEX2, BTBD10, CAMK4, CSNK1D, DKC1, ESRRA, INO80C, JAZF1, KDM4A, LSM7, MUS81, NEDD1, NOP58, POLR1A, POLR2F, PSPC1, SMARCA5, TAF1C, TCOF1, TRAF4, TRIM27, TSEN15, UBTF
fibrillar center	23	FAM111A, APEX2, BTBD10, CAMK4, CILK1, DKC1, ESRRA, HERC4, JAZF1, KDM4A, NEDD1, NOP58, POLR2F, PSPC1, RREB1, SMARCA5, TAF1C, TCOF1, TIMM13, TRAF4, TRIM27, UBTF, ZNF174
nucleus	22	FAM111A, APEX2, ATOSB, CAMK4, CILK1, CSNK1D, DKC1, ESRRA, JAZF1, KDM4A, LSM7, MUS81, OTUD5, POLR2F, PSPC1, RBMS2, RREB1, SMARCA5, TRAF4, TRIM27, UBTF, ZNF174
cytosol	21	STX17, AKR1C1, AKR1C2, AKR1C4, CAB39, CILK1, CSNK1D, GAB1, HERC4, JAZF1, KDM4A, LSM7, NEDD1, NOP58, OTUD5, POLR2F, RBMS2, TCOF1, TIAM2, TRAF4, TRIM27
cytoplasm	17	FAM111A, AKR1C4, BTBD10, CAB39, CAMK4, CILK1, CSNK1D, CTTNBP2NL, DKC1, ESRRA, GAB1, HERC4, PSPC1, RREB1, SUCO, TRAF4, TRIM27
nucleolus	9	DKC1, MUS81, NOP58, SMARCA5, TAF1C, TCOF1, TRIM27, TSEN15, UBTF
extracellular exosome	8	BCAM, AKR1C1, AKR1C4, CAB39, CAMK4, NECTIN2, RREB1, TIAM2
RNA binding	8	DKC1, LRRC47, LSM7, NOP58, PSPC1, RBMS2, TCOF1, UBTF
plasma membrane	7	SYTL3, BCAM, STX17, TNFRSF9, CSNK1D, NECTIN2, TRAF4
mitochondrion	7	STX17, APEX2, KIF1B, OGDHL, PARS2, TIMM13, TRIM27
 DNA-templated transcription	7	CAMK4, ESRRA, INO80C, PSPC1, RREB1, SMARCA5, TRIM27
metal ion binding	7	JAZF1, MUS81, OGDHL, POLR1A, RREB1, TRIM27, ZNF174
signal transduction	6	BCAM, CAB39, CAMK4, CILK1, CSNK1D, GAB1
DNA binding	6	APEX2, MUS81, POLR1A, POLR2F, SMARCA5, TRIM27
zinc ion binding	6	APEX2, ESRRA, KDM4A, TIMM13, TRAF4, TRIM27
ATP binding	6	CAMK4, CILK1, CSNK1D, KIF1B, PARS2, SMARCA5
membrane	5	CAB39, NECTIN2, NOP58, SUCO, TIAM2
identical protein binding	5	NECTIN2, PARS2, SANBR, TRAF4, TRIM27
 transcription by RNA polymerase II	4	ESRRA, RREB1, SMARCA5, ZNF174
negative regulation of transcription by RNA polymerase II	4	JAZF1, RREB1, TRIM27, ZNF174
transcription by RNA polymerase I	4	POLR1A, POLR2F, TAF1C, UBTF
apoptotic process	3	TNFRSF9, KIF1B, TRAF4
 cell population proliferation	3	TNFRSF9, AKR1C2, ESRRA
chromatin	3	FAM111A, ESRRA, ZNF174
alditol:NADP+ 1-oxidoreductase activity	3	AKR1C1, AKR1C2, AKR1C4
estradiol 17-beta-dehydrogenase [NAD(P)] activity	3	AKR1C1, AKR1C2, AKR1C4
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	3	AKR1C1, AKR1C2, AKR1C4
bile acid binding	3	AKR1C1, AKR1C2, AKR1C4
17-beta-hydroxysteroid dehydrogenase (NAD+) activity	3	AKR1C1, AKR1C2, AKR1C4
androsterone dehydrogenase activity	3	AKR1C1, AKR1C2, AKR1C4
androstan-3-alpha,17-beta-diol dehydrogenase activity	3	AKR1C1, AKR1C2, AKR1C4
ketosteroid monooxygenase activity	3	AKR1C1, AKR1C2, AKR1C4
prostaglandin metabolic process	3	AKR1C1, AKR1C2, AKR1C4
progesterone metabolic process	3	AKR1C1, AKR1C2, AKR1C4
daunorubicin metabolic process	3	AKR1C1, AKR1C2, AKR1C4
doxorubicin metabolic process	3	AKR1C1, AKR1C2, AKR1C4
cellular response to jasmonic acid stimulus	3	AKR1C1, AKR1C2, AKR1C4
peptidyl-serine phosphorylation	3	CAB39, CAMK4, CSNK1D
intracellular signal transduction	3	CAB39, CAMK4, CILK1
protein serine kinase activity	3	CAMK4, CILK1, CSNK1D
protein phosphorylation	3	CAMK4, CILK1, CSNK1D
ciliary basal body	3	CILK1, CSNK1D, NEDD1
DNA repair	3	INO80C, MUS81, SMARCA5
chromatin remodeling	3	INO80C, KDM4A, SMARCA5
negative regulation of DNA-templated transcription	3	KDM4A, PSPC1, ZNF174
transcription by RNA polymerase II	3	POLR2F, RREB1, TAF1C
innate immune response	3	PSPC1, TRAF4, TRIM27
intracellular protein transport	2	SYTL3, STX17
exocytosis	2	SYTL3, STX17
extracellular region	2	BCAM, CAB39
external side of plasma membrane	2	BCAM, TNFRSF9
protein kinase binding	2	STX17, TRAF4
Golgi organization	2	STX17, CSNK1D
rough endoplasmic reticulum	2	STX17, SUCO
endoplasmic reticulum-Golgi intermediate compartment membrane	2	STX17, CSNK1D
replication fork processing	2	FAM111A, MUS81
aldo-keto reductase (NADP) activity	2	AKR1C1, AKR1C4
phenanthrene 9,10-monooxygenase activity	2	AKR1C1, AKR1C2
carboxylic acid binding	2	AKR1C1, AKR1C2
dihydrotestosterone 17-beta-dehydrogenase activity	2	AKR1C1, AKR1C4
5alpha-androstane-3beta,17beta-diol dehydrogenase activity	2	AKR1C1, AKR1C4
testosterone 17-beta-dehydrogenase (NADP+) activity	2	AKR1C1, AKR1C4
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	2	AKR1C1, AKR1C2
indanol dehydrogenase activity	2	AKR1C1, AKR1C2
retinoid metabolic process	2	AKR1C1, AKR1C4
digestion	2	AKR1C1, AKR1C2
bile acid and bile salt transport	2	AKR1C1, AKR1C4
epithelial cell differentiation	2	AKR1C1, AKR1C2
steroid metabolic process	2	AKR1C2, AKR1C4
endonuclease activity	2	APEX2, MUS81
DNA recombination	2	APEX2, INO80C
 osteoclast differentiation	2	CAMK4, ESRRA
protein kinase activity	2	CILK1, CSNK1D
protein serine/threonine kinase activity	2	CILK1, CSNK1D
microtubule nucleation	2	CSNK1D, NEDD1
 circadian rhythm	2	CSNK1D, PSPC1
centrosome	2	CSNK1D, NEDD1
neuron projection	2	CSNK1D, KIF1B
perinuclear region of cytoplasm	2	CSNK1D, TRAF4
lamellipodium	2	CTTNBP2NL, TIAM2
rRNA processing	2	DKC1, NOP58
RNA processing	2	DKC1, RBMS2
