Feature	Number of Genes	Genes
protein binding	35	ELOC, AP3S1, RABL6, NECTIN2, CHRNA3, EPS8L2, ATP6V0A4, G6PD, VPS4B, COQ9, SH3GLB2, CTSV, TTC4, FCGBP, DSC2, PRKACG, CLIC3, CD207, SMPD2, EPS8L1, CKB, SELENBP1, S100A16, HES6, BICD2, THOP1, TSN, SCEL, CCDC90B, SERPINB13, ADA, ANKRD27, DOCK6, RAB25, OTUD4
cytosol	28	ELOC, RABL6, EPS8L2, G6PD, VPS4B, SH3GLB2, PRKACG, ALOX12B, EPS8L1, CKB, HAL, PLS3, SELENBP1, EPHX2, S100A16, BICD2, THOP1, TSN, EVPL, RAPSN, LCP1, SPTBN2, SERPINB13, ADA, ANKRD27, DOCK6, OTUD4, PLA2G4D
plasma membrane	20	NECTIN2, CHRNA3, EPS8L2, ATP6V0A4, VPS4B, DSC2, SLC25A13, CD207, SMPD2, EPS8L1, CKB, PLS3, S100A16, BICD2, RAPSN, LCP1, SPTBN2, ADA, ANKRD27, RAB25
extracellular exosome	19	NECTIN2, EPS8L2, ATP6V0A4, G6PD, VPS4B, FCGBP, DSC2, CLIC3, EPS8L1, CKB, SELENBP1, EPHX2, S100A16, EVPL, LCP1, SCEL, SERPINB13, CREG1, RAB25
cytoplasm	14	RABL6, G6PD, VPS4B, SH3GLB2, TTC4, CLIC3, PLS3, SERPINB7, BICD2, TSN, EVPL, LCP1, SCEL, SERPINB13
nucleus	11	RABL6, G6PD, VPS4B, TTC4, PRKACG, CLIC3, CKB, S100A16, HES6, TSN, OTUD4
membrane	10	NECTIN2, CHRNA3, G6PD, SH3GLB2, CLIC3, SELENBP1, EVPL, ADA, ANKRD27, PLA2G4D
extracellular space	10	CTSV, FCGBP, CKB, SELENBP1, S100A16, SERPINB7, LCP1, SPTBN2, SERPINB13, CREG1
intracellular membrane-bounded organelle	7	AP3S1, AP3S2, G6PD, ALOX12B, SPTBN2, CES2, ANKRD27
nucleoplasm	6	ELOC, SH3GLB2, TTC4, PRKACG, TSN, SERPINB13
identical protein binding	6	NECTIN2, G6PD, VPS4B, SH3GLB2, SLC25A13, TSN
protein homodimerization activity	6	NECTIN2, G6PD, VPS4B, COQ9, EPHX2, S100A16
calcium ion binding	6	DSC2, SLC25A13, PLS3, S100A16, LCP1, PLA2G4D
Golgi apparatus	5	AP3S1, AP3S2, BICD2, RAPSN, RAB25
centrosome	5	RABL6, EPS8L2, VPS4B, BICD2, RAPSN
cadherin binding	5	EPS8L2, SH3GLB2, EPS8L1, EVPL, SPTBN2
protein transport	5	VPS4B, SELENBP1, BICD2, ANKRD27, RAB25
perinuclear region of cytoplasm	5	ALOX12B, S100A16, LCP1, SCEL, DOCK6
actin binding	4	EPS8L2, EPS8L1, LCP1, SPTBN2
guanyl-nucleotide exchange factor activity	4	EPS8L2, EPS8L1, ANKRD27, DOCK6
mitochondrion	4	COQ9, SLC25A13, CKB, CCDC90B
endoplasmic reticulum	4	DSC2, SMPD2, TSN, CES2
metal ion binding	4	SMPD2, THOP1, RAPSN, SCEL
regulation of transcription by RNA polymerase II	3	ELOC, HES6, CREG1
vesicle-mediated transport	3	AP3S1, AP3S2, SPTBN2
early endosome	3	AP3S1, AP3S2, ANKRD27
cytoplasmic vesicle membrane	3	AP3S1, AP3S2, ANKRD27
presynapse	3	AP3S1, AP3S2, SPTBN2
neuronal cell body	3	CHRNA3, CKB, SPTBN2
ruffle membrane	3	EPS8L2, EPS8L1, LCP1
endosome	3	ATP6V0A4, VPS4B, CREG1
ATP binding	3	VPS4B, PRKACG, CKB
lysosome	3	CTSV, ADA, ANKRD27
cornified envelope	3	DSC2, EVPL, SCEL
cytoplasmic vesicle	3	DSC2, BICD2, RAB25
actin filament binding	3	PLS3, LCP1, SPTBN2
nucleolus	3	SELENBP1, S100A16, SERPINB13
RNA binding	3	S100A16, TSN, OTUD4
intracellular protein transport	2	AP3S1, AP3S2
Golgi to vacuole transport	2	AP3S1, AP3S2
anterograde axonal transport	2	AP3S1, AP3S2
synaptic vesicle coating	2	AP3S1, AP3S2
clathrin-coated vesicle cargo loading, AP-3-mediated	2	AP3S1, AP3S2
synaptic vesicle recycling	2	AP3S1, AP3S2
intracellular transport	2	AP3S1, AP3S2
anterograde synaptic vesicle transport	2	AP3S1, AP3S2
platelet dense granule organization	2	AP3S1, AP3S2
melanosome assembly	2	AP3S1, AP3S2
AP-3 adaptor complex	2	AP3S1, AP3S2
transport vesicle	2	AP3S1, ANKRD27
axon cytoplasm	2	AP3S1, AP3S2
GTPase activity	2	RABL6, RAB25
GTP binding	2	RABL6, RAB25
homophilic cell adhesion via plasma membrane adhesion molecules	2	NECTIN2, DSC2
positive regulation of T cell receptor signaling pathway	2	NECTIN2, ADA
focal adhesion	2	NECTIN2, LCP1
cell surface	2	NECTIN2, ADA
signal transduction	2	CHRNA3, CLIC3
chemical synaptic transmission	2	CHRNA3, RAPSN
synaptic transmission, cholinergic	2	CHRNA3, RAPSN
nervous system development	2	CHRNA3, HES6
nuclear speck	2	CHRNA3, SERPINB13
dendrite	2	CHRNA3, CKB
neuron projection	2	CHRNA3, ANKRD27
Rho protein signal transduction	2	EPS8L2, EPS8L1
sensory perception of sound	2	EPS8L2, ATP6V0A4
regulation of Rho protein signal transduction	2	EPS8L2, EPS8L1
positive regulation of ruffle assembly	2	EPS8L2, EPS8L1
protein-containing complex	2	EPS8L2, EPS8L1
proton transmembrane transport	2	ATP6V0A4, SLC25A13
endosome membrane	2	ATP6V0A4, VPS4B
apical plasma membrane	2	ATP6V0A4, SPTBN2
substantia nigra development	2	G6PD, CKB
autophagy	2	VPS4B, CREG1
nuclear pore	2	VPS4B, BICD2
mitochondrial inner membrane	2	COQ9, SLC25A13
extracellular matrix disassembly	2	CTSV, LCP1
extracellular region	2	CTSV, CREG1
lysosomal lumen	2	CTSV, SERPINB13
innate immune response	2	TTC4, OTUD4
defense response to virus	2	TTC4, CD207
cell adhesion	2	DSC2, ADA
desmosome	2	DSC2, EVPL
protein kinase A signaling	2	PRKACG, LCP1
positive regulation of gene expression	2	ALOX12B, EPHX2
ceramide biosynthetic process	2	ALOX12B, SMPD2
response to calcium ion	2	SLC25A13, S100A16
carbohydrate binding	2	CD207, CRYBG1
external side of plasma membrane	2	CD207, ADA
actin filament bundle assembly	2	PLS3, LCP1
actin filament network formation	2	PLS3, LCP1
actin filament	2	PLS3, LCP1
actin filament bundle	2	PLS3, LCP1
serine-type endopeptidase inhibitor activity	2	SERPINB7, SERPINB13
negative regulation of endopeptidase activity	2	SERPINB7, SERPINB13
transcription regulator complex	2	HES6, CREG1
small GTPase binding	2	BICD2, ANKRD27
epidermis development	2	EVPL, SCEL
keratinocyte differentiation	2	EVPL, SCEL
cell junction	2	LCP1, SPTBN2
xenobiotic metabolic process	2	CES2, ADA
transcription corepressor binding	1	ELOC
protein-macromolecule adaptor activity	1	ELOC
transcription initiation at RNA polymerase II promoter	1	ELOC
ubiquitin-dependent protein catabolic process	1	ELOC
protein ubiquitination	1	ELOC
target-directed miRNA degradation	1	ELOC
Cul2-RING ubiquitin ligase complex	1	ELOC
Cul5-RING ubiquitin ligase complex	1	ELOC
elongin complex	1	ELOC
insulin receptor signaling pathway	1	AP3S1
AP-type membrane coat adaptor complex	1	AP3S1
virus receptor activity	1	NECTIN2
coreceptor activity	1	NECTIN2
cell adhesion molecule binding	1	NECTIN2
acrosome assembly	1	NECTIN2
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	1	NECTIN2
positive regulation of immunoglobulin mediated immune response	1	NECTIN2
cytoskeleton organization	1	NECTIN2
spermatid development	1	NECTIN2
spermatid nucleus differentiation	1	NECTIN2
fertilization	1	NECTIN2
fusion of virus membrane with host plasma membrane	1	NECTIN2
sperm mitochondrion organization	1	NECTIN2
cell part morphogenesis	1	NECTIN2
positive regulation of mast cell activation	1	NECTIN2
susceptibility to natural killer cell mediated cytotoxicity	1	NECTIN2
adhesion of symbiont to host	1	NECTIN2
cilium organization	1	NECTIN2
positive regulation of natural killer cell mediated cytotoxicity	1	NECTIN2
regulation of viral entry into host cell	1	NECTIN2
viral entry into host cell	1	NECTIN2
coreceptor-mediated virion attachment to host cell	1	NECTIN2
establishment of localization in cell	1	NECTIN2
establishment of mitochondrion localization	1	NECTIN2
susceptibility to T cell mediated cytotoxicity	1	NECTIN2
cell-cell junction	1	NECTIN2
zonula adherens	1	NECTIN2
apical junction complex	1	NECTIN2
cell-cell contact zone	1	NECTIN2
ligand-gated monoatomic ion channel activity	1	CHRNA3
acetylcholine receptor activity	1	CHRNA3
acetylcholine-gated monoatomic cation-selective channel activity	1	CHRNA3
acetylcholine binding	1	CHRNA3
monoatomic ion transport	1	CHRNA3
regulation of smooth muscle contraction	1	CHRNA3
activation of transmembrane receptor protein tyrosine kinase activity	1	CHRNA3
locomotory behavior	1	CHRNA3
regulation of acetylcholine secretion, neurotransmission	1	CHRNA3
monoatomic ion transmembrane transport	1	CHRNA3
behavioral response to nicotine	1	CHRNA3
regulation of membrane potential	1	CHRNA3
regulation of dendrite morphogenesis	1	CHRNA3
nervous system process	1	CHRNA3
excitatory postsynaptic potential	1	CHRNA3
synaptic transmission involved in micturition	1	CHRNA3
acetylcholine receptor signaling pathway	1	CHRNA3
response to acetylcholine	1	CHRNA3
acetylcholine-gated channel complex	1	CHRNA3
postsynaptic density	1	CHRNA3
plasma membrane raft	1	CHRNA3
synapse	1	CHRNA3
postsynaptic membrane	1	CHRNA3
vesicle	1	EPS8L2
stereocilium bundle	1	EPS8L2
stereocilium tip	1	EPS8L2
proton-transporting ATPase activity, rotational mechanism	1	ATP6V0A4
ATPase binding	1	ATP6V0A4
ossification	1	ATP6V0A4
regulation of pH	1	ATP6V0A4
vacuolar acidification	1	ATP6V0A4
intracellular pH reduction	1	ATP6V0A4
renal tubular secretion	1	ATP6V0A4
synaptic vesicle lumen acidification	1	ATP6V0A4
vacuolar proton-transporting V-type ATPase, V0 domain	1	ATP6V0A4
lysosomal membrane	1	ATP6V0A4
basolateral plasma membrane	1	ATP6V0A4
vacuolar proton-transporting V-type ATPase complex	1	ATP6V0A4
phagocytic vesicle membrane	1	ATP6V0A4
synaptic vesicle membrane	1	ATP6V0A4
brush border membrane	1	ATP6V0A4
proton-transporting V-type ATPase complex	1	ATP6V0A4
apical part of cell	1	ATP6V0A4
glucose-6-phosphate dehydrogenase activity	1	G6PD
glucose binding	1	G6PD
NADP binding	1	G6PD
glucose metabolic process	1	G6PD
pentose-phosphate shunt	1	G6PD
