Feature	Number of Genes	Genes
mitochondrion	36	IREB2, MTIF2, PMPCA, MTERF3, MRPL53, MRPL37, MRPL58, MRPL28, BCAT2, MRPL14, MRPL23, MRPL42, MALSU1, MRPL48, YARS2, HSPD1, PMPCB, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MTFR1L, MRPL40, MRPL9, MRPL46, MRPL19, GTPBP3, COQ3, MRPL41, MRPL50, MRPL44, MRPL22, PARP9, MRPL57, NGRN
protein binding	28	IREB2, CNNM3, ELAVL2, PMPCA, MTERF3, MRPL53, MRPL28, MRPL23, MAPK11, MALSU1, MRPL48, YARS2, HSPD1, MRPL12, MRPL51, GADD45GIP1, MRPL10, MTFR1L, MRPL40, MRPL9, MRPL19, GTPBP3, COQ3, MRPL41, MRPL44, PARP9, MRPL57, NGRN
mitochondrial inner membrane	26	PMPCA, MRPL53, MRPL37, MRPL58, MRPL28, MRPL14, MRPL23, MRPL42, MRPL48, HSPD1, PMPCB, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MRPL40, MRPL9, MRPL46, MRPL19, COQ3, MRPL41, MRPL50, MRPL44, MRPL22, MRPL57
mitochondrial translation	22	MRPL53, MRPL37, MRPL58, MRPL28, MRPL14, MRPL23, MRPL42, MRPL48, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MRPL40, MRPL9, MRPL46, MRPL19, MRPL41, MRPL50, MRPL44, MRPL22, MRPL57
mitochondrial large ribosomal subunit	22	MRPL53, MRPL37, MRPL58, MRPL28, MRPL14, MRPL23, MRPL42, MRPL48, MRPL47, MRPL12, MRPL51, GADD45GIP1, MRPL10, MRPL40, MRPL9, MRPL46, MRPL19, MRPL41, MRPL50, MRPL44, MRPL22, MRPL57
RNA binding	20	RO60, IREB2, FAM120A, ELAVL2, MTIF2, MRPL37, MRPL28, MRPL14, MRPL23, MRPL42, YARS2, HSPD1, MRPL12, MRPL10, MRPL40, MRPL9, MRPL41, MRPL44, MRPL22, NGRN
structural constituent of ribosome	16	MRPL37, MRPL28, MRPL14, MRPL23, MRPL42, MRPL47, MRPL12, MRPL51, MRPL10, MRPL9, MRPL46, MRPL19, MRPL41, MRPL44, MRPL22, MRPL57
nucleoplasm	11	RO60, MTIF2, MRPL58, BCAT2, MAPK11, GADD45GIP1, MRPL10, MRPL46, MRPL44, PARP9, NGRN
cytosol	11	RO60, IREB2, FAM120A, MTERF3, MRPL28, MAPK11, MALSU1, YARS2, HSPD1, MRPL50, PARP9
translation	10	MRPL37, MRPL28, MRPL23, MRPL42, YARS2, MRPL12, MRPL51, MRPL10, MRPL9, MRPL41
plasma membrane	7	FAM120A, CNNM3, MRPL58, MRPL42, CNNM2, HSPD1, MRPL44
mitochondrial ribosome	7	MRPL37, MRPL28, MRPL48, MRPL51, MRPL40, MRPL9, MRPL57
mitochondrial matrix	7	MRPL58, BCAT2, MALSU1, YARS2, HSPD1, GADD45GIP1, COQ3
cytoplasm	6	IREB2, MTIF2, MAPK11, HSPD1, GTPBP3, PARP9
nucleus	6	FAM120A, MAPK11, MRPL40, MRPL19, PARP9, NGRN
metal ion binding	4	RO60, IREB2, PMPCA, PMPCB
nuclear body	4	RO60, YARS2, MRPL44, NGRN
ribonucleoprotein complex	4	RO60, ELAVL2, MRPL10, MRPL41
membrane	4	FAM120A, CNNM3, HSPD1, PARP9
ATP binding	4	MAPK11, CNNM2, YARS2, HSPD1
transport	2	CNNM3, CNNM2
magnesium ion homeostasis	2	CNNM3, CNNM2
GTPase activity	2	MTIF2, GTPBP3
GTP binding	2	MTIF2, GTPBP3
metalloendopeptidase activity	2	PMPCA, PMPCB
protein processing involved in protein targeting to mitochondrion	2	PMPCA, PMPCB
extracellular space	2	PMPCA, HSPD1
mitochondrial processing peptidase complex	2	PMPCA, PMPCB
mitochondrial transcription	2	MTERF3, MRPL12
mitochondrial ribosome assembly	2	MTERF3, NGRN
positive regulation of interleukin-12 production	2	MAPK11, HSPD1
double-stranded RNA binding	2	HSPD1, MRPL44
enzyme binding	2	HSPD1, PARP9
protein-containing complex	2	HSPD1, PARP9
molecular_function	2	MRPL47, MRPL46
biological_process	2	MRPL47, MRPL46
positive regulation of DNA-templated transcription	2	MRPL12, PARP9
cell cycle	2	GADD45GIP1, MRPL41
U2 snRNA binding	1	RO60
immune system development	1	RO60
transcription by RNA polymerase III	1	RO60
smoothened signaling pathway	1	RO60
response to UV	1	RO60
regulation of gene expression	1	RO60
cellular response to interferon-alpha	1	RO60
cilium assembly	1	RO60
aconitate hydratase activity	1	IREB2
iron-responsive element binding	1	IREB2
4 iron, 4 sulfur cluster binding	1	IREB2
tricarboxylic acid cycle	1	IREB2
citrate metabolic process	1	IREB2
regulation of translation	1	IREB2
protoporphyrinogen IX biosynthetic process	1	IREB2
intracellular iron ion homeostasis	1	IREB2
post-embryonic development	1	IREB2
osteoclast differentiation	1	IREB2
erythrocyte homeostasis	1	IREB2
mRNA stabilization	1	IREB2
intestinal absorption	1	IREB2
establishment of localization in cell	1	IREB2
multicellular organismal-level iron ion homeostasis	1	IREB2
transmembrane transporter activity	1	CNNM3
monoatomic ion transport	1	CNNM3
transmembrane transport	1	CNNM3
mRNA 3'-UTR binding	1	ELAVL2
regulation of DNA-templated transcription	1	ELAVL2
translation initiation factor activity	1	MTIF2
translation factor activity, RNA binding	1	MTIF2
ribosomal small subunit binding	1	MTIF2
regulation of translational initiation	1	MTIF2
ribosome disassembly	1	MTIF2
mitochondrial translational initiation	1	MTIF2
transcription cis-regulatory region binding	1	MTERF3
negative regulation of DNA-templated transcription	1	MTERF3
mitochondrial outer membrane	1	MTERF3
aminoacyl-tRNA hydrolase activity	1	MRPL58
translation release factor activity, codon nonspecific	1	MRPL58
mitochondrial translational termination	1	MRPL58
branched-chain-amino-acid transaminase activity	1	BCAT2
L-leucine:2-oxoglutarate aminotransferase activity	1	BCAT2
L-leucine transaminase activity	1	BCAT2
L-valine transaminase activity	1	BCAT2
L-isoleucine transaminase activity	1	BCAT2
isoleucine catabolic process	1	BCAT2
lipid metabolic process	1	BCAT2
branched-chain amino acid biosynthetic process	1	BCAT2
leucine biosynthetic process	1	BCAT2
valine biosynthetic process	1	BCAT2
regulation of hormone levels	1	BCAT2
cellular response to leukemia inhibitory factor	1	BCAT2
fibrillar center	1	MRPL23
mitochondrial small ribosomal subunit	1	MRPL42
protein serine/threonine kinase activity	1	MAPK11
MAP kinase activity	1	MAPK11
protein serine kinase activity	1	MAPK11
osteoblast differentiation	1	MAPK11
protein phosphorylation	1	MAPK11
positive regulation of gene expression	1	MAPK11
stress-activated protein kinase signaling cascade	1	MAPK11
intracellular signal transduction	1	MAPK11
p38MAPK cascade	1	MAPK11
positive regulation of erythrocyte differentiation	1	MAPK11
positive regulation of muscle cell differentiation	1	MAPK11
stress-activated MAPK cascade	1	MAPK11
cardiac muscle cell proliferation	1	MAPK11
negative regulation of cardiac muscle cell proliferation	1	MAPK11
bone development	1	MAPK11
cellular response to interleukin-1	1	MAPK11
cellular response to UV-B	1	MAPK11
cellular senescence	1	MAPK11
cellular response to virus	1	MAPK11
magnesium ion transmembrane transporter activity	1	CNNM2
magnesium ion transmembrane transport	1	CNNM2
basolateral plasma membrane	1	CNNM2
intracellular membrane-bounded organelle	1	CNNM2
ribosomal large subunit binding	1	MALSU1
mitochondrial large ribosomal subunit binding	1	MALSU1
negative regulation of translation	1	MALSU1
ribosomal large subunit biogenesis	1	MALSU1
negative regulation of mitochondrial translation	1	MALSU1
negative regulation of ribosome biogenesis	1	MALSU1
tRNA binding	1	YARS2
tyrosine-tRNA ligase activity	1	YARS2
protein homodimerization activity	1	YARS2
tyrosine binding	1	YARS2
tRNA aminoacylation	1	YARS2
mitochondrial tyrosyl-tRNA aminoacylation	1	YARS2
lipopolysaccharide binding	1	HSPD1
p53 binding	1	HSPD1
DNA replication origin binding	1	HSPD1
single-stranded DNA binding	1	HSPD1
high-density lipoprotein particle binding	1	HSPD1
isomerase activity	1	HSPD1
ATP hydrolysis activity	1	HSPD1
ubiquitin protein ligase binding	1	HSPD1
apolipoprotein binding	1	HSPD1
apolipoprotein A-I binding	1	HSPD1
unfolded protein binding	1	HSPD1
protein-folding chaperone binding	1	HSPD1
ATP-dependent protein folding chaperone	1	HSPD1
MyD88-dependent toll-like receptor signaling pathway	1	HSPD1
positive regulation of T cell mediated immune response to tumor cell	1	HSPD1
protein folding	1	HSPD1
'de novo' protein folding	1	HSPD1
activation of cysteine-type endopeptidase activity involved in apoptotic process	1	HSPD1
response to unfolded protein	1	HSPD1
apoptotic mitochondrial changes	1	HSPD1
response to cold	1	HSPD1
positive regulation of interferon-alpha production	1	HSPD1
positive regulation of type II interferon production	1	HSPD1
positive regulation of interleukin-10 production	1	HSPD1
positive regulation of interleukin-6 production	1	HSPD1
mitochondrial unfolded protein response	1	HSPD1
protein refolding	1	HSPD1
B cell proliferation	1	HSPD1
T cell activation	1	HSPD1
B cell activation	1	HSPD1
positive regulation of macrophage activation	1	HSPD1
positive regulation of apoptotic process	1	HSPD1
negative regulation of apoptotic process	1	HSPD1
adhesion of symbiont to host	1	HSPD1
protein import into mitochondrial intermembrane space	1	HSPD1
isotype switching to IgG isotypes	1	HSPD1
protein stabilization	1	HSPD1
positive regulation of T cell activation	1	HSPD1
chaperone-mediated protein complex assembly	1	HSPD1
protein maturation	1	HSPD1
biological process involved in interaction with symbiont	1	HSPD1
cellular response to interleukin-7	1	HSPD1
early endosome	1	HSPD1
clathrin-coated pit	1	HSPD1
cell surface	1	HSPD1
coated vesicle	1	HSPD1
secretory granule	1	HSPD1
lipopolysaccharide receptor complex	1	HSPD1
extracellular exosome	1	HSPD1
sperm midpiece	1	HSPD1
sperm plasma membrane	1	HSPD1
migrasome	1	HSPD1
mitochondrial calcium ion transmembrane transport	1	PMPCB
mRNA binding	1	MRPL12
mitochondrial fission	1	MTFR1L
aerobic respiration	1	MTFR1L
anatomical structure morphogenesis	1	MRPL40
nucleolus	1	MRPL40
cell junction	1	MRPL46
tRNA wobble uridine modification	1	GTPBP3
tRNA methylation	1	GTPBP3
hexaprenyldihydroxybenzoate methyltransferase activity	1	COQ3
O-methyltransferase activity	1	COQ3
2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	1	COQ3
3-demethylubiquinone-9 3-O-methyltransferase activity	1	COQ3
decaprenyldihydroxybenzoate methyltransferase activity	1	COQ3
3-demethylubiquinol-10 3-O-methyltransferase activity	1	COQ3
glycerol metabolic process	1	COQ3
ubiquinone biosynthetic process	1	COQ3
regulation of ubiquinone biosynthetic process	1	COQ3
methylation	1	COQ3
extrinsic component of mitochondrial inner membrane	1	COQ3
ubiquinone biosynthesis complex	1	COQ3
apoptotic process	1	MRPL41
ribonuclease III activity	1	MRPL44
rRNA processing	1	MRPL44
mitochondrial translational elongation	1	MRPL44
ribosome assembly	1	MRPL22
transcription corepressor activity	1	PARP9
NAD+ ADP-ribosyltransferase activity	1	PARP9
enzyme inhibitor activity	1	PARP9
nucleotidyltransferase activity	1	PARP9
histone binding	1	PARP9
ubiquitin-like protein ligase binding	1	PARP9
NAD+ binding	1	PARP9
ADP-D-ribose binding	1	PARP9
STAT family protein binding	1	PARP9
NAD+-protein-C-terminal glycine ADP-ribosyltransferase activity	1	PARP9
DNA damage checkpoint signaling	1	PARP9
negative regulation of transcription by RNA polymerase II	1	PARP9
positive regulation of defense response to virus by host	1	PARP9
double-strand break repair	1	PARP9
post-transcriptional regulation of gene expression	1	PARP9
negative regulation of gene expression	1	PARP9
cell migration	1	PARP9
viral protein processing	1	PARP9
NAD biosynthesis via nicotinamide riboside salvage pathway	1	PARP9
positive regulation of chromatin binding	1	PARP9
positive regulation of tyrosine phosphorylation of STAT protein	1	PARP9
negative regulation of catalytic activity	1	PARP9
innate immune response	1	PARP9
defense response to virus	1	PARP9
regulation of response to type II interferon	1	PARP9
positive regulation of type II interferon-mediated signaling pathway	1	PARP9
protein poly-ADP-ribosylation	1	PARP9
positive regulation of protein localization to nucleus	1	PARP9
site of DNA damage	1	PARP9
rRNA binding	1	NGRN
neuron differentiation	1	NGRN
positive regulation of mitochondrial translation	1	NGRN
extracellular region	1	NGRN
mitochondrial membrane	1	NGRN
intercellular bridge	1	NGRN
mitotic spindle	1	NGRN
