Feature	Number of Genes	Genes
mitochondrion	23	ECH1, GRPEL2, C1QBP, LIAS, GLRX5, ACAA2, OGDH, DARS2, PDHX, MGME1, COX5B, DBT, MIPEP, ALDH18A1, MRPS36, SARS2, DIABLO, TRMT61B, ACAT1, DHTKD1, DLD, ETHE1, GCSH
protein binding	18	ECH1, C1QBP, GLRX5, ACAA2, OGDH, DARS2, PDHX, MGME1, COX5B, ALDH18A1, SARS2, DIABLO, RNF115, TRMT61B, DHTKD1, DLD, ETHE1, GCSH
mitochondrial matrix	16	C1QBP, LIAS, GLRX5, ACAA2, OGDH, DARS2, PDHX, DBT, MIPEP, SARS2, TRMT61B, ACAT1, DHTKD1, DLD, ETHE1, GCSH
metal ion binding	6	LIAS, GLRX5, OGDH, COX5B, MIPEP, RNF115
cytosol	5	ECH1, C1QBP, DBT, DIABLO, RNF115
cytoplasm	5	C1QBP, DBT, RNF115, ETHE1, GCSH
nucleus	4	C1QBP, GLRX5, OGDH, DLD
fatty acid beta-oxidation	3	ECH1, ACAA2, ACAT1
RNA binding	3	ACAA2, ALDH18A1, SARS2
oxoglutarate dehydrogenase (succinyl-transferring) activity	3	OGDH, MRPS36, DHTKD1
tricarboxylic acid cycle	3	OGDH, MRPS36, DHTKD1
ATP binding	3	DARS2, ALDH18A1, SARS2
mitochondrial inner membrane	3	COX5B, ALDH18A1, MRPS36
identical protein binding	3	ALDH18A1, ACAT1, ETHE1
membrane	2	ECH1, C1QBP
extracellular exosome	2	ECH1, ACAT1
protein homodimerization activity	2	GRPEL2, DARS2
protein-folding chaperone binding	2	GRPEL2, OGDH
apoptotic process	2	C1QBP, DIABLO
positive regulation of apoptotic process	2	C1QBP, DIABLO
protein lipoylation	2	LIAS, GCSH
acetyl-CoA C-acetyltransferase activity	2	ACAA2, ACAT1
thiamine pyrophosphate binding	2	OGDH, DHTKD1
generation of precursor metabolites and energy	2	OGDH, DHTKD1
glycolytic process	2	OGDH, DHTKD1
2-oxoglutarate metabolic process	2	OGDH, MRPS36
histone succinylation	2	OGDH, DLD
oxoglutarate dehydrogenase complex	2	OGDH, DLD
tRNA binding	2	DARS2, SARS2
nucleoplasm	2	DARS2, ETHE1
pyruvate dehydrogenase (NAD+) activity	2	PDHX, DLD
acetyl-CoA biosynthetic process from pyruvate	2	PDHX, DLD
mitochondrial pyruvate dehydrogenase complex	2	PDHX, DLD
pyruvate dehydrogenase complex	2	PDHX, DLD
branched-chain amino acid catabolic process	2	DBT, DLD
mitochondrial alpha-ketoglutarate dehydrogenase complex	2	DBT, DLD
delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity	1	ECH1
peroxisome	1	ECH1
peroxisomal matrix	1	ECH1
adenyl-nucleotide exchange factor activity	1	GRPEL2
unfolded protein binding	1	GRPEL2
protein folding	1	GRPEL2
