Feature	Number of Genes	Genes
protein binding	17	AZU1, TEX264, USP46, PIK3CD, PPM1B, MVK, AMDHD2, NDRG1, OTUB1, SLK, HS1BP3, ARHGAP1, MANF, NAA50, PITPNA, LAP3, CLTCL1
cytosol	16	TEX264, USP46, PIK3CD, PPM1B, MVK, AMDHD2, NDRG1, AK1, OTUB1, SORD, SLK, ARHGAP1, MANF, NAA50, PITPNA, CLTCL1
extracellular exosome	11	AZU1, NDRG1, AK1, OTUB1, SORD, SLK, ARHGAP1, NAA50, PITPNA, LAP3, CLTCL1
nucleus	11	TEX264, USP46, PPM1B, AMDHD2, NDRG1, OTUB1, MANF, NAA50, PITPNA, LAP3, TRMT5
cytoplasm	10	PIK3CD, NDRG1, AK1, SLK, ARHGAP1, PGP, NAA50, PITPNA, LAP3, TRMT5
extracellular region	4	AZU1, CNN2, TEX264, MANF
cadherin binding	4	CNN2, NDRG1, SLK, ARHGAP1
membrane	4	CNN2, PPM1B, SORD, CLTCL1
ATP binding	4	PIK3CD, MVK, AK1, SLK
perinuclear region of cytoplasm	4	NDRG1, SLK, ARHGAP1, MANF
positive regulation of gene expression	3	AZU1, CNN2, PIK3CD
extracellular space	3	AZU1, SORD, MANF
endoplasmic reticulum	3	TEX264, HS1BP3, MANF
signal transduction	3	PIK3CD, NDRG1, MANF
phosphorylation	3	PIK3CD, MVK, AK1
plasma membrane	3	PIK3CD, NDRG1, CLTCL1
magnesium ion binding	3	PPM1B, MVK, PGP
identical protein binding	3	MVK, SORD, SLK
peptidase activity	2	AZU1, LAP3
proteolysis	2	AZU1, LAP3
inflammatory response	2	AZU1, PIK3CD
intracellular membrane-bounded organelle	2	AZU1, MVK
UDP-N-acetylglucosamine biosynthetic process	2	UAP1L1, AMDHD2
focal adhesion	2	CNN2, LAP3
cysteine-type deubiquitinase activity	2	USP46, OTUB1
metal ion binding	2	USP46, AMDHD2
adaptive immune response	2	PIK3CD, OTUB1
protein phosphorylation	2	PIK3CD, SLK
manganese ion binding	2	PPM1B, LAP3
nucleolus	2	PPM1B, NAA50
small GTPase binding	2	NDRG1, ARHGAP1
regulation of apoptotic process	2	SLK, HS1BP3
phosphatidylinositol binding	2	HS1BP3, PITPNA
mitochondrion	2	HS1BP3, GATD3
sorting endosome	2	ARHGAP1, CLTCL1
serine-type endopeptidase activity	1	AZU1
heparin binding	1	AZU1
toxic substance binding	1	AZU1
heparan sulfate proteoglycan binding	1	AZU1
microglial cell activation	1	AZU1
protein kinase C-activating G protein-coupled receptor signaling pathway	1	AZU1
glial cell migration	1	AZU1
