Feature	Number of Genes	Genes
cytosol	18	NAA30, HARS1, BIN1, FERMT2, XPNPEP1, EFL1, IST1, PLCG1, GSPT2, CARS1, NARS1, BLVRA, ATXN2L, PPM1A, YKT6, NFKB2, NAGK, FHL1
protein binding	17	NAA30, MCTS1, BIN1, FERMT2, LCMT2, IST1, PLCG1, GSPT2, CARS1, NARS1, BLVRA, ATXN2L, PPM1A, EEF1A2, NFKB2, NAGK, FHL1
cytoplasm	13	NAA30, HARS1, BIN1, FERMT2, XPNPEP1, LCMT2, PLCG1, CARS1, NARS1, YKT6, EEF1A2, NFKB2, FHL1
nucleus	7	NAA30, BIN1, FERMT2, PPM1A, EEF1A2, NFKB2, FHL1
plasma membrane	6	BIN1, FERMT2, PLCG1, PPM1A, YKT6, FHL1
extracellular exosome	5	XPNPEP1, IST1, NARS1, BLVRA, NAGK
ATP binding	4	HARS1, CARS1, NARS1, NAGK
identical protein binding	3	HARS1, BIN1, CARS1
translation	3	HARS1, GSPT2, EEF1A2
RNA binding	3	MCTS1, GSPT2, ATXN2L
membrane	3	BIN1, ATXN2L, PPM1A
protein kinase binding	3	FERMT2, PLCG1, EEF1A2
nucleoplasm	3	FERMT2, PPM1A, NFKB2
GTPase activity	3	EFL1, GSPT2, EEF1A2
GTP binding	3	EFL1, GSPT2, EEF1A2
cadherin binding	3	IST1, ATXN2L, YKT6
protein homodimerization activity	2	HARS1, XPNPEP1
tRNA aminoacylation for protein translation	2	HARS1, NARS1
mitochondrion	2	HARS1, YKT6
cell cycle	2	MCTS1, GSPT2
actin filament binding	2	BIN1, FERMT2
negative regulation of transcription by RNA polymerase II	2	BIN1, PPM1A
positive regulation of apoptotic process	2	BIN1, EEF1A2
positive regulation of GTPase activity	2	BIN1, FERMT2
nuclear envelope	2	BIN1, IST1
endosome	2	BIN1, YKT6
I band	2	BIN1, FERMT2
glutamatergic synapse	2	BIN1, PLCG1
focal adhesion	2	FERMT2, FHL1
manganese ion binding	2	XPNPEP1, PPM1A
translation elongation factor activity	2	EFL1, EEF1A2
translational elongation	2	EFL1, EEF1A2
protein transport	2	IST1, YKT6
cell migration	2	PLCG1, NARS1
