Feature	Number of Genes	Genes
nucleus	8	CRY1, CSNK1D, FBXL17, FBXO11, KDM2A, MDM4, SKP1, TP53
cytosol	8	CSNK1D, FBXL17, FBXL19, FBXO11, FBXW2, FBXW9, SKP1, TP53
nucleoplasm	7	CSNK1D, FBXL17, FBXO11, KDM2A, MDM4, SKP1, TP53
cytoplasm	6	CRY1, CSNK1D, FBXL17, FBXO11, SKP1, TP53
Disease variant	5	CSNK1D, FBXO11, LZTR1, MDM4, TP53
zinc ion binding	5	FBXL19, FBXO11, KDM2A, MDM4, TP53
protein ubiquitination	4	FBXL17, FBXO11, LZTR1, SKP1
regulation of transcription by RNA polymerase II	4	FBXL19, KDM2A, MDM4, TP53
circadian regulation of gene expression	3	CRY1, CSNK1D, KDM2A
entrainment of circadian clock by photoperiod	3	CRY1, FBXL17, TP53
negative regulation of DNA-templated transcription	3	CRY1, MDM4, TP53
negative regulation of transcription by RNA polymerase II	3	CRY1, MDM4, TP53
regulation of circadian rhythm	3	CRY1, CSNK1D, KDM2A
centrosome	3	CSNK1D, SKP1, TP53
SCF ubiquitin ligase complex	3	FBXL17, FBXL19, SKP1
regulation of cell cycle	3	FBXL17, MDM4, TP53
mitochondrion	2	CRY1, TP53
DNA binding	2	CRY1, TP53
histone deacetylase binding	2	CRY1, TP53
protein kinase binding	2	CRY1, TP53
Golgi apparatus	2	CSNK1D, LZTR1
microtubule organizing center	2	CSNK1D, TP53
membrane	2	CSNK1D, LZTR1
golgi apparatus	2	CSNK1D, LZTR1
cytoskeleton	2	CSNK1D, TP53
proteasome-mediated ubiquitin-dependent protein catabolic process	2	FBXL17, FBXL19
protein polyubiquitination	2	FBXL17, SKP1
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	2	FBXL17, SKP1
histone demethylase activity	2	FBXL19, KDM2A
transcription coregulator activity	2	FBXL19, KDM2A
unmethylated CpG binding	2	FBXL19, KDM2A
protein demethylation	2	FBXL19, KDM2A
chromosome	2	FBXO11, KDM2A
nucleolus	2	FBXO11, TP53
ubiquitin-protein transferase activity	2	FBXO11, FBXW2
protein modification process	2	FBXO11, FBXW2
regulation of apoptotic process	2	FBXO11, TP53
transcription repressor complex	2	MDM4, TP53
enzyme binding	2	MDM4, TP53
p53 binding	2	MDM4, TP53
cellular response to hypoxia	2	MDM4, TP53
DNA damage response, signal transduction by p53 class mediator	2	MDM4, TP53
negative regulation of apoptotic process	2	MDM4, TP53
negative regulation of cell population proliferation	2	MDM4, TP53
protein stabilization	2	MDM4, TP53
protein-containing complex assembly	2	MDM4, TP53
blue light photoreceptor activity	1	CRY1
double-stranded DNA binding	1	CRY1
E-box binding	1	CRY1
FAD binding	1	CRY1
nuclear receptor binding	1	CRY1
phosphatase binding	1	CRY1
blue light signaling pathway	1	CRY1
circadian rhythm	1	CRY1
gluconeogenesis	1	CRY1
glucose homeostasis	1	CRY1
lipid storage	1	CRY1
negative regulation of circadian rhythm	1	CRY1
negative regulation of G protein-coupled receptor signaling pathway	1	CRY1
negative regulation of glucocorticoid receptor signaling pathway	1	CRY1
negative regulation of glucocorticoid secretion	1	CRY1
negative regulation of gluconeogenesis	1	CRY1
negative regulation of protein ubiquitination	1	CRY1
positive regulation of gluconeogenesis	1	CRY1
positive regulation of protein ubiquitination	1	CRY1
regulation of DNA damage checkpoint	1	CRY1
response to activity	1	CRY1
response to glucagon	1	CRY1
response to insulin	1	CRY1
response to light stimulus	1	CRY1
selective autophagy	1	CRY1
signal transduction in response to DNA damage	1	CRY1
Delayed sleep phase syndrome	1	CRY1
ciliary basal body	1	CSNK1D
endoplasmic reticulum-Golgi intermediate compartment membrane	1	CSNK1D
neuron projection	1	CSNK1D
perinuclear region of cytoplasm	1	CSNK1D
plasma membrane	1	CSNK1D
spindle	1	CSNK1D
spindle microtubule	1	CSNK1D
ATP binding	1	CSNK1D
cadherin binding	1	CSNK1D
protein kinase activity	1	CSNK1D
protein serine kinase activity	1	CSNK1D
