Feature	Number of Genes	Genes
protein binding	27	DNAJC7, HSPA1L, BAG3, TUSC2, EDRF1, NTMT1, HSPH1, IFT122, HSPBP1, TDRKH, PLCB2, DNAJB4, DNAJC2, STIP1, HSPA2, HSPA8, DPH2, HSPA4, BAG1, HSF1, HSF2, SF1, SKI, SKIL, SMAD4, GMNN, CCDC117
nucleus	21	C3orf38, HSPA1L, BAG3, EDRF1, NTMT1, HSPH1, DNAJC2, STIP1, HSPA2, HSPA8, HSPA4, BAG1, BCL9L, HSF1, HSF2, SF1, SKI, SKIL, SMAD4, GMNN, CCDC117
cytosol	18	SPAG1, DNAJC7, HSPA1L, BAG3, NTMT1, HSPH1, PLCB2, DNAJB4, DNAJC2, STIP1, HSPA2, HSPA8, DPH2, HSPA4, BAG1, HSF1, SMAD4, GMNN
cytoplasm	17	SPAG1, DNAJC7, HSPA1L, BAG3, NTMT1, HSPH1, IFT122, DNAJC2, HSPA2, HSPA8, BAG1, HSF1, HSF2, SKI, SMAD4, GMNN, CCDC117
nucleoplasm	17	DNAJC7, HSPA1L, BAG3, NTMT1, HSPH1, DNAJB4, DNAJC2, HSPA8, BAG1, BCL9L, HSF1, HSF2, SF1, SKI, SKIL, SMAD4, GMNN
chaperone cofactor-dependent protein refolding	7	DNAJC7, HSPA1L, HSPH1, DNAJB4, HSPA2, HSPA8, BAG1
protein folding	6	DNAJC7, BAG3, HSPH1, HSPBP1, HSPA8, HSPA4
membrane	6	DNAJC7, BAG3, IFT122, HSPA2, HSPA8, BAG1
response to unfolded protein	6	HSPA1L, HSPH1, DNAJB4, HSPA2, HSPA8, HSPA4
protein folding chaperone complex	5	SPAG1, BAG3, STIP1, HSPA8, HSF1
heat shock protein binding	5	DNAJC7, HSPA1L, HSPA2, HSPA8, HSF1
extracellular exosome	5	DNAJC7, HSPH1, HSPA2, HSPA8, HSPA4
ATP binding	5	HSPA1L, HSPH1, HSPA2, HSPA8, HSPA4
ubiquitin protein ligase binding	5	HSPA1L, HSPBP1, HSPA8, BAG1, SKI
ATP-dependent protein folding chaperone	5	HSPA1L, HSPH1, HSPA2, HSPA8, HSPA4
protein-folding chaperone binding	5	BAG3, DNAJB4, HSPA2, HSPA8, BAG1
plasma membrane	5	BLTP2, PLCB2, DNAJB4, HSPA2, HSPA8
protein-containing complex	5	HSPH1, STIP1, DPH2, SKI, SKIL
RNA binding	5	TDRKH, DNAJC2, STIP1, HSPA8, SF1
spermatogenesis	5	TDRKH, HSPA2, HSF2, SKIL, SMAD4
negative regulation of transcription by RNA polymerase II	5	DNAJB4, HSF1, SKI, SKIL, SMAD4
 transcription by RNA polymerase II	5	BCL9L, HSF1, HSF2, SKI, SMAD4
RNA polymerase II cis-regulatory region sequence-specific DNA binding	5	HSF1, HSF2, SKI, SKIL, SMAD4
DNA-binding transcription factor activity, RNA polymerase II-specific	5	HSF1, HSF2, SKI, SKIL, SMAD4
identical protein binding	5	HSF1, HSF2, SF1, SKI, SMAD4
unfolded protein binding	4	HSPA1L, DNAJB4, HSPA2, HSPA8
adenyl-nucleotide exchange factor activity	4	BAG3, HSPH1, HSPBP1, BAG1
chromatin binding	4	DNAJC2, SKIL, SMAD4, GMNN
negative regulation of DNA-templated transcription	4	HSPA8, SF1, SMAD4, GMNN
protein stabilization	3	SPAG1, BAG3, BAG1
ATPase activator activity	3	DNAJC7, DNAJB4, DNAJC2
 cellular response to heat	3	DNAJC7, DNAJC2, HSF1
ATP hydrolysis activity	3	HSPA1L, HSPA2, HSPA8
protein folding chaperone	3	HSPA1L, HSPA2, HSPA8
protein refolding	3	HSPA1L, HSPA2, HSPA8
blood microparticle	3	HSPA1L, HSPA2, HSPA8
mitochondrion	3	TUSC2, TDRKH, HSPA4
 DNA-templated transcription	3	EDRF1, DNAJC2, SMAD4
negative regulation of transforming growth factor beta receptor signaling pathway	3	BCL9L, SKI, SKIL
DNA-binding transcription repressor activity, RNA polymerase II-specific	3	HSF1, SKI, SKIL
DNA-binding transcription activator activity, RNA polymerase II-specific	3	HSF1, HSF2, SMAD4
DNA-binding transcription factor activity	3	HSF1, HSF2, SMAD4
chromatin	3	HSF1, HSF2, SMAD4
centrosome	3	HSF1, SKI, SMAD4
transforming growth factor beta receptor signaling pathway	3	SKI, SKIL, SMAD4
single fertilization	2	SPAG1, SMAD4
dynein axonemal particle	2	SPAG1, STIP1
apoptotic process	2	C3orf38, BAG1
cadherin binding	2	BAG3, HSPA8
protein carrier chaperone	2	BAG3, HSPA8
extrinsic apoptotic signaling pathway via death domain receptors	2	BAG3, SKIL
cellular response to heat	2	BAG3, HSF1
cellular response to unfolded protein	2	BAG3, HSF1
negative regulation of apoptotic process	2	BAG3, BAG1
chaperone-mediated autophagy	2	BAG3, HSPA8
extracellular region	2	HSPH1, HSPA8
neural tube closure	2	IFT122, SKI
camera-type eye morphogenesis	2	IFT122, SKI
molecular function inhibitor activity	2	HSPBP1, GMNN
extracellular space	2	HSPBP1, HSPA8
male meiotic nuclear division	2	TDRKH, HSPA2
cell differentiation	2	TDRKH, SMAD4
Golgi apparatus	2	PLCB2, STIP1
response to heat	2	DNAJB4, HSPA2
nucleolus	2	DNAJC2, HSPA8
Hsp90 protein binding	2	STIP1, HSF1
enzyme binding	2	HSPA2, HSPA8
negative regulation of inclusion body assembly	2	HSPA2, HSF1
mRNA splicing, via spliceosome	2	HSPA8, SF1
 mRNA splicing, via spliceosome	2	HSPA8, SF1
 cell cycle	2	HSPA8, SKIL
spliceosomal complex	2	HSPA8, SF1
perinuclear region of cytoplasm	2	HSPA8, HSF1
ribonucleoprotein complex	2	HSPA8, HSF1
metal ion binding	2	DPH2, SMAD4
transcription by RNA polymerase II	2	BCL9L, SMAD4
