Feature	Number of Genes	Genes
protein binding	42	TMEM185A, SCN3B, CD99L2, ALS2, ANAPC4, APOBEC3C, AZU1, BAG2, C19orf25, CARD10, CLK3, DISC1, DNAJA2, DRG1, DTNA, DVL3, EIF1AD, EXD2, FHOD1, KIF3C, MCC, NES, PGM2, PHLDB2, PJA2, PKN2, PLEC, PSMD10, PTPRE, RB1CC1, RBM23, RCAN1, RGS14, RWDD4, TOM1L2, TRIM32, UNC13B, USP47, VIM, VPS4B, WDR37, ZYG11B
cytoplasm	23	ALS2, APOBEC3C, CARD10, DNAJA2, DRG1, DTNA, EXD2, FHOD1, MCC, NES, PJA2, PKN2, PLEC, PSMD10, PTPRE, RCAN1, RGS14, SPINT2, TRIM32, USP47, VIM, VPS4B, WDR37
cytosol	22	ALS2, ANAPC4, BAG2, DISC1, DNAJA2, DRG1, DVL3, EIF1AD, FHOD1, KIF3C, MCC, PGM2, PHLDB2, PKN2, PLEC, PSMD10, RB1CC1, TRIM32, UNC13B, USP47, VIM, VPS4B
nucleus	20	ALS2, ANAPC4, APOBEC3C, CLK3, DISC1, DRG1, EIF1AD, EXD2, FHOD1, MCC, PKN2, PSMD10, PTPRE, RBM23, RCAN1, RGS14, TRIM32, USP47, VPS4B, WDR37
plasma membrane	16	SCN3B, CD99L2, DTNA, ITFG1, MCC, PHLDB2, PJA2, PKN2, PLEC, PSMD10, PTPRE, RGS14, SPINT2, UNC13B, VIM, VPS4B
membrane	12	TMEM185A, SCN3B, TMEM185B, ALS2, CLK3, DNAJA2, DRG1, FHOD1, RBM23, SPINT2, TOM1L2, UNC13B
intermediate filament cytoskeleton	11	CLK3, DISC1, DTNA, EXD2, NES, PHLDB2, PJA2, PKN2, PLEC, PSMD10, VIM
nucleoplasm	10	ANAPC4, CLK3, DRG1, DTNA, EIF1AD, FHOD1, MCC, PKN2, PSMD10, USP47
identical protein binding	9	ALS2, BAG2, CLK3, DISC1, DRG1, FHOD1, TRIM32, VIM, VPS4B
extracellular exosome	8	AZU1, DNAJA2, ITFG1, PGM2, PLEC, TOM1L2, VIM, VPS4B
RNA binding	7	APOBEC3C, CLK3, EIF1AD, PKN2, PLEC, RBM23, TRIM32
centrosome	6	ALS2, DISC1, PJA2, PKN2, RGS14, VPS4B
dendrite	5	TMEM185A, ALS2, BAG2, PLEC, RGS14
ATP binding	5	CLK3, DNAJA2, KIF3C, PKN2, VPS4B
extracellular region	4	CD99L2, AZU1, PGM2, SPINT2
focal adhesion	4	CD99L2, PHLDB2, PLEC, VIM
small GTPase binding	4	ALS2, DVL3, PKN2, UNC13B
postsynaptic density	4	ALS2, DISC1, PJA2, RGS14
microtubule	4	BAG2, DISC1, KIF3C, RGS14
axon	4	BAG2, PLEC, TANC2, VIM
signal transduction	4	DTNA, MCC, PKN2, TOM1L2
transmembrane transporter binding	3	SCN3B, BAG2, PSMD10
protein homodimerization activity	3	ALS2, EXD2, VPS4B
response to oxidative stress	3	ALS2, RCAN1, RGS14
 GTPase activity	3	ALS2, DVL3, RGS14
lamellipodium	3	ALS2, MCC, PKN2
protein-containing complex	3	ALS2, DTNA, PKN2
dendritic spine	3	ALS2, RGS14, TANC2
intracellular membrane-bounded organelle	3	ALS2, AZU1, EIF1AD
ubiquitin-protein transferase activity	3	ANAPC4, PJA2, TRIM32
cell cycle	3	ANAPC4, PKN2, RB1CC1
cell division	3	ANAPC4, PKN2, RGS14
zinc ion binding	3	APOBEC3C, DTNA, TRIM32
innate immune response	3	APOBEC3C, PJA2, TRIM32
negative regulation of apoptotic process	3	AZU1, PSMD10, USP47
negative regulation of protein binding	3	BAG2, DISC1, NES
 proteasomal ubiquitin-dependent protein catabolic process	3	BAG2, PSMD10, ZYG11B
protein phosphorylation	3	CLK3, PKN2, RB1CC1
molecular adaptor activity	3	DISC1, RB1CC1, VIM
ubiquitin-dependent protein catabolic process	3	DISC1, TRIM32, USP47
canonical Wnt signaling pathway	3	DISC1, DVL3, VPS4B
perinuclear region of cytoplasm	3	DISC1, PKN2, PLEC
microtubule binding	3	DRG1, KIF3C, RGS14
nuclear body	3	DRG1, PKN2, RGS14
 DNA-templated transcription	3	DVL3, RBM23, TRIM32
 transcription by RNA polymerase II	3	DVL3, FHOD1, PSMD10
protein self-association	3	FHOD1, PLEC, TRIM32
cytoskeleton	3	FHOD1, PSMD10, VIM
intermediate filament	3	NES, PLEC, VIM
cadherin binding	3	PHLDB2, PKN2, PLEC
 cell growth	3	PSMD10, TRIM32, USP47
protein kinase binding	3	RB1CC1, RGS14, TOM1L2
protein localization to plasma membrane	2	SCN3B, PSMD10
Z disc	2	SCN3B, PLEC
cell adhesion	2	CD99L2, PKN2
GTPase activator activity	2	ALS2, RGS14
neuromuscular junction development	2	ALS2, UNC13B
protein localization	2	ALS2, PLEC
endosomal transport	2	ALS2, VPS4B
synaptic transmission, glutamatergic	2	ALS2, UNC13B
 protein kinase activity	2	ALS2, AZU1
 mitotic cell cycle	2	ANAPC4, PKN2
defense response to virus	2	APOBEC3C, AZU1
inflammatory response	2	AZU1, PJA2
 vascular permeability	2	AZU1, PLEC
protein-folding chaperone binding	2	BAG2, DNAJA2
