Feature	Number of Genes	Genes
protein binding	32	EIF4A3, ACAT2, ARL2, C11orf68, CYRIB, DDX19B, DIS3, DNAJC11, EEF1D, FAF1, FARSB, GINS2, GINS4, ILKAP, ITGA2, KIN, NAA38, NAE1, NFYA, NHLRC2, NUDCD2, PSME2, PTPN11, PTPN23, QPRT, RAB8A, RAE1, RECQL, TSNAX, UBA2, UBLCP1, VENTX
nucleoplasm	23	EIF4A3, ARL2, DDX19B, DIS3, DNAJC11, EEF1D, FAF1, GINS2, GINS4, KIN, NAA38, NFYA, NSUN2, PSME2, PTPN11, PTPN23, RAE1, RECQL, TSNAX, UBA2, UBLCP1, UPP1, VENTX
nucleus	21	EIF4A3, ARL2, DDX19B, DIS3, EEF1D, FAF1, GINS2, GINS4, ILKAP, ITGA2, KIN, NAA38, NAE1, NFYA, NSUN2, PTPN11, PTPN23, RAE1, RECQL, TSNAX, UBLCP1
cytoplasm	21	EIF4A3, ACAT2, ARL2, DDX19B, EEF1D, FARSB, GINS4, KIN, NAA38, NAE1, NANS, NSUN2, NUDCD2, PSME2, PTPN11, PTPN23, QPRT, RAE1, RECQL, TSNAX, UBA2
cytosol	21	EIF4A3, ACAT2, ARL2, DIS3, EEF1D, FAF1, FARSB, ILKAP, NAE1, NANS, NHLRC2, NUDCD2, PAPSS1, PPAT, PSME2, PTPN11, PTPN23, QPRT, RAB8A, TSNAX, UPP1
RNA binding	9	EIF4A3, C11orf68, DDX19B, DIS3, FARSB, KIN, NSUN2, RAE1, TSNAX
extracellular exosome	9	ACAT2, CYRIB, DDX19B, NANS, NSUN2, PSME2, PTPN23, QPRT, RAB8A
membrane	7	EIF4A3, CYRIB, DDX19B, DIS3, FARSB, PSME2, RECQL
metal ion binding	7	ILKAP, ITGA2, KIN, NT5DC1, PPAT, TSNAX, UBLCP1
ATP binding	6	EIF4A3, DDX19B, FARSB, PAPSS1, RECQL, UBA2
nucleolus	5	EIF4A3, ARL2, DIS3, NSUN2, UBLCP1
mitochondrion	5	ACAT2, ARL2, CYRIB, DNAJC11, NSUN2
DNA binding	4	EEF1D, KIN, NFYA, TSNAX
protein dephosphorylation	4	ILKAP, PTPN11, PTPN23, UBLCP1
ATP hydrolysis activity	3	EIF4A3, DDX19B, RECQL
mRNA export from nucleus	3	EIF4A3, DDX19B, RAE1
cilium	3	ARL2, CYRIB, RAB8A
protein kinase binding	3	FAF1, PTPN11, PTPN23
perinuclear region of cytoplasm	3	FAF1, ITGA2, TSNAX
DNA unwinding involved in DNA replication	3	GINS2, GINS4, RECQL
plasma membrane	3	ITGA2, NAE1, RAB8A
protein-containing complex	3	KIN, NAE1, PTPN11
identical protein binding	3	PSME2, QPRT, UPP1
RNA helicase activity	2	EIF4A3, DDX19B
rRNA processing	2	EIF4A3, DIS3
positive regulation of translation	2	EIF4A3, ITGA2
nuclear speck	2	EIF4A3, DNAJC11
neuronal cell body	2	EIF4A3, RAB8A
glutamatergic synapse	2	EIF4A3, RAB8A
GTPase activity	2	ARL2, RAB8A
GTP binding	2	ARL2, RAB8A
GDP binding	2	ARL2, RAB8A
protein folding	2	ARL2, NUDCD2
Golgi apparatus	2	ARL2, TSNAX
centrosome	2	ARL2, RAB8A
focal adhesion	2	ARL2, ITGA2
