Feature	Number of Genes	Genes
protein binding	221	CHEK1, OBSL1, CSPP1, HDAC5, CIC, MAP3K3, RFXANK, WEE1, HDAC6, KIF2A, PPIL2, INAVA, ATXN1L, PPM1H, MAPKBP1, SH2B3, YAP1, SH3RF3, HDAC4, TAF1D, HMGN3, DCP2, DENND4A, RFX7, PFKFB2, PFKFB4, WWTR1, NR1D1, FAM110A, PAK5, MTMR3, CRTC2, RGS12, PTPDC1, KLC4, PPFIBP2, FRMD6, CFAP410, BAD, ZC3H12C, RFC3, CEP72, INHA, QRSL1, LMF2, MAPK8IP3, MZT2A, RHBDF1, CCDC93, FAM86B2, EXOSC4, VPS25, PATL1, SMG5, MEMO1, YWHAE, UBA5, PHLDB1, PHKG2, ARL3, BACH2, CASK, BLOC1S5, EIF4E, PITPNM1, FYCO1, EIF4ENIF1, WNK1, CROCC, PAK4, SIPA1, AHNAK2, TP53BP2, CGNL1, TFE3, MAP3K2, EPB41, RAF1, SIPA1L3, MPRIP, MICALL1, PPFIBP1, MZT2B, IL13RA2, LSM1, HOXD4, DZIP1L, ITGB1BP1, DDB2, TCEANC2, SNX7, CDK5, SNX24, METTL9, SCAMP1, TJP1, STK3, TMEM186, NEK1, SAMD4A, SSX2IP, PRKCI, AKAP7, GIT2, HMMR, TBC1D23, MAGI1, DDR1, RAB15, ZBTB21, TUT4, PRAG1, CYLD, MVB12A, IRS1, CEP95, SAMD4B, AKT1S1, MAST2, PARD3, CGN, AFDN, SPICE1, EEF1AKMT3, CPE, FCHO2, ENKD1, RAB11FIP5, CEP43, PCNT, CEP350, CEP290, ZNF747, CRMP1, COQ9, KLHL21, CEP20, CEP250, KLHL12, CLEC11A, PSMB5, CEP170, PLEKHA6, MTMR9, NUP107, CDK5RAP2, DMBT1, TUBGCP2, RRAGD, CETN3, MAP4K3, RAB11B, ZBED1, RAB11FIP3, CEP152, BRAF, ITPR3, DLG1, EEF2KMT, MPO, GPHN, PRPS1, PRPS2, CDC42BPG, KIF5B, PTPN21, WDR62, TSC1, SPEG, PLEKHA7, YWHAQ, SRGAP1, LPIN1, ANKS1A, PLEKHA5, TEAD2, CLIP4, ATXN1, PIK3R4, KLC2, ISCU, MIIP, ARHGAP21, TBC1D4, MAPK9, FOXO1, MAP3K20, CEP89, ERRFI1, TESK2, SPIRE1, EPN2, BECN1, RIPOR1, KIF5C, CDK14, AKAP13, TNFAIP3, YWHAG, MAST1, RALGPS2, TAOK1, SH3BP5L, PTPN4, PNRC2, HIVEP1, PPP1R3D, YWHAB, DYRK1A, TIAM1, DYNC2I1, ERCC6L, RABL2B, DCP1A, DCP1B, DDX6, EDC3, EDC4, KCNQ5, KCTD8, RCOR2
cytosol	156	CHEK1, OBSL1, HDAC5, MAP3K3, RFXANK, SERF2, HDAC6, PIK3C2A, ZNF395, KIF2A, ARHGAP23, SH2B3, YAP1, HDAC4, TAF1D, HMGN3, DCP2, DENND4A, PFKFB2, PFKFB4, WWTR1, FAM110A, PAK5, MTMR3, RGS12, PPFIBP2, CFAP410, BAD, CEP72, MZT2A, EXOSC4, VPS25, PATL1, SMG5, MEMO1, YWHAE, UBA5, PHLDB1, PHKG2, TDRP, BACH2, CASK, EIF4E, PITPNM1, EIF4ENIF1, WNK1, CROCC, PAK4, SIPA1, AHNAK2, TP53BP2, TFE3, MAP3K2, EPB41, RAF1, MPRIP, PPFIBP1, MZT2B, LSM1, ITGB1BP1, CDK5, TJP1, STK3, NEK1, SAMD4A, PRKCI, AKAP7, HMMR, TBC1D23, ZBTB21, ANLN, TUT4, PRAG1, CYLD, MVB12A, LPIN2, IRS1, SAMD4B, AKT1S1, PARD3, AFDN, EEF1AKMT3, FCHO2, TUBG2, CEP43, PCNT, CEP290, CRMP1, KLHL21, PLEKHG3, CEP250, KLHL12, PSMB5, CEP170, MTMR9, NUP107, CDK5RAP2, TUBGCP2, RRAGD, FNDC3A, RAB11B, RAB11FIP3, CEP152, BRAF, DLG1, EEF2KMT, GPHN, PRPS1, PRPS2, CDC42BPG, KIF5B, WDR62, TSC1, PLEKHA7, YWHAQ, RAB11FIP1, SRGAP1, LPIN1, MEX3B, ANKS1A, PLEKHA5, TEAD2, ATXN1, PIK3R4, KLC2, ISCU, ARHGAP21, TBC1D4, MAPK9, FOXO1, MAP3K20, CEP89, ERRFI1, SPIRE1, EPN2, BECN1, DENND4C, CDK14, AKAP13, TNFAIP3, SYDE2, PPIP5K2, YWHAG, TAOK1, PTPN4, PPIP5K1, PNRC2, HIVEP1, YWHAB, TIAM1, ERCC6L, DCP1A, DCP1B, DDX6, EDC3, EDC4
cytoplasm	128	CEP112, CHEK1, OBSL1, CSPP1, HDAC5, MAP3K3, WEE1, HDAC6, PIK3C2A, ZNF395, KIF2A, PPIL2, INAVA, PPM1H, MAPKBP1, YAP1, HDAC4, DCP2, WWTR1, NR1D1, PAK5, MTMR3, CRTC2, RGS12, KLC4, FRMD6, CFAP410, INHA, MAPK8IP3, EXOSC4, VPS25, SMG5, YWHAE, UBA5, ARL3, TDRP, CASK, EIF4E, PITPNM1, EIF4ENIF1, WNK1, PAK4, SIPA1, AHNAK2, TP53BP2, TFE3, PHACTR4, MAP3K2, RAF1, SIPA1L3, LSM1, DZIP1L, ITGB1BP1, CDK5, TJP1, STK3, NEK1, SSX2IP, MAGI1, RAB15, TUT4, PRAG1, RTKN2, IRS1, CEP95, AKT1S1, MAST2, SPICE1, EEF1AKMT3, FCHO2, RMDN1, TUBG2, CEP350, CEP290, CEP170B, CEP20, DNAH14, CLEC11A, PSMB5, MTMR9, CDK5RAP2, DMBT1, RRAGD, CETN3, FNDC3A, MAP4K3, MAP7D3, PLEK2, ITPR3, DLG1, EEF2KMT, GPHN, PRPS1, PRPS1L1, PRPS2, CDC42BPG, PTPN21, TSC1, HINT3, YWHAQ, SRGAP1, LPIN1, ATXN1, KLC2, ISCU, MAPK9, FOXO1, MAP3K20, BICC1, ERRFI1, TESK2, BECN1, RIPOR1, CDK14, TNFAIP3, YWHAG, MAST1, RALGPS2, TAOK1, SH3BP5L, PTPN4, YWHAB, DYRK1A, DYNC2I1, RABL2B, DCP1A, DDX6, EDC4
nucleus	96	CHEK1, HDAC5, CIC, RFXANK, SERF2, WEE1, HDAC6, ZNF395, PPIL2, INAVA, ATXN1L, PPM1H, YAP1, HDAC4, HMGN3, DENND4A, RFX7, WWTR1, NR1D1, FAM110A, CRTC2, RGS12, ZC3H12C, RFC3, EXOSC4, VPS25, GNL1, SMG5, MEMO1, YWHAE, UBA5, ARL3, TDRP, BACH2, EIF4E, EIF4ENIF1, SIPA1, AHNAK2, LPIN3, TP53BP2, TFE3, RAF1, LSM1, HOXD4, ITGB1BP1, DDB2, TCEANC2, CDK5, STK3, NEK1, SSX2IP, PRKCI, AKAP7, ZBTB21, PRAG1, MVB12A, RTKN2, LPIN2, IRS1, SAMD4B, TUBG2, CEP43, CEP350, CEP290, PSMB5, RRAGD, ZBED1, BRAF, DLG1, MPO, WDR62, TSC1, SPEG, HINT3, LPIN1, TEAD2, CLIP4, ATXN1, ISCU, MAPK9, FOXO1, MAP3K20, ERRFI1, TESK2, CDK14, AKAP13, TNFAIP3, PNRC2, CREB3L2, FAM53B, HIVEP1, DYRK1A, DCP1A, DCP1B, DDX6, EDC4
nucleoplasm	79	CHEK1, HDAC5, CIC, RFXANK, WEE1, HDAC6, PIK3C2A, ZNF395, KIF2A, PPIL2, INAVA, ATXN1L, PPM1H, MAPKBP1, YAP1, HDAC4, TAF1D, HMGN3, DCP2, PFKFB2, WWTR1, NR1D1, PAK5, CRTC2, RGS12, PTPDC1, RFC3, MZT2A, EXOSC4, VPS25, ARL3, BACH2, TP53BP2, TFE3, MAP3K2, SIPA1L3, MZT2B, HOXD4, ITGB1BP1, DDB2, CDK5, NEK1, PRKCI, GIT2, MAGI1, ZBTB21, ANLN, IRS1, AKT1S1, AFDN, EEF1AKMT3, CEP20, PSMB5, TUBGCP2, RRAGD, ZBED1, RAB11FIP3, CEP152, ITPR3, MPO, PLEKHA7, LPIN1, MEX3B, ANKS1A, PLEKHA5, TEAD2, ATXN1, KLC2, MAPK9, FOXO1, TESK2, SPIRE1, CDK14, PTPN4, PNRC2, CREB3L2, HIVEP1, DYRK1A, EDC4
plasma membrane	55	CEP112, PIK3C2A, PPIL2, SH2B3, CBARP, WWTR1, PAK5, RGS12, FRMD6, CFAP410, YWHAE, PHLDB1, CASK, CROCC, SIPA1, AHNAK2, EPB41, RAF1, SIPA1L3, PPFIBP1, ITGB1BP1, CDK5, SCAMP1, TJP1, PRKCI, HMMR, MAGI1, DDR1, RAB15, RTKN2, IRS1, MAST2, PARD3, CGN, AFDN, CPE, FCHO2, PLEK2, BRAF, ITPR3, DLG1, GPHN, TSC1, KLC2, ARHGAP21, MAPK9, ERRFI1, EPN2, DENND4C, CDK14, MAST1, RALGPS2, PPIP5K1, TIAM1, KCNQ5
ATP binding	48	CHEK1, MAP3K3, WEE1, PIK3C2A, KIF2A, PFKFB2, PFKFB4, PAK5, QRSL1, UBA5, PHKG2, CASK, WNK1, PAK4, MAP3K2, RAF1, CDK5, STK3, NEK1, PRKCI, MAGI1, DDR1, PRAG1, MAST2, DNAH14, MAP4K3, BRAF, GPHN, PRPS1, PRPS1L1, PRPS2, CDC42BPG, KIF5B, SPEG, PIK3R4, MAPK9, MAP3K20, TESK2, KIF5C, CDK14, PPIP5K2, MAST1, TAOK1, PPIP5K1, KIF21B, DYRK1A, ERCC6L, DDX6
centrosome	41	CEP112, CHEK1, OBSL1, CSPP1, HDAC6, KIF2A, FAM110A, CEP72, MZT2A, ARL3, CROCC, MZT2B, NEK1, HMMR, CYLD, MVB12A, CEP95, SPICE1, EEF1AKMT3, ENKD1, TUBG2, CEP43, PCNT, CEP350, CEP290, CRMP1, CEP20, CEP250, PSMB5, CEP170, CDK5RAP2, TUBGCP2, RRAGD, CETN3, ZBED1, RAB11FIP3, CEP152, WDR62, PLEKHA7, CEP89, DYNC2I1
membrane	39	PIK3C2A, KIF2A, YAP1, MTMR3, LMF2, YWHAE, PITPNM1, FYCO1, EIF4ENIF1, WNK1, ITGB1BP1, CDK5, SCAMP1, HMMR, PCNT, CEP350, CEP290, NUP107, TUBGCP2, FNDC3A, MAP7D3, ITPR3, EHBP1L1, KIF5B, TSC1, YWHAQ, PLEKHA5, PIK3R4, KLC2, RIPOR1, AKAP13, YWHAG, YWHAB, ERCC6L, DCP1A, DCP1B, DDX6, EDC3, EDC4
identical protein binding	33	HDAC5, PPM1H, HDAC4, TAF1D, PPFIBP2, YWHAE, TP53BP2, RAF1, MICALL1, STK3, PRAG1, FCHO2, CEP290, CRMP1, CEP20, KLHL12, ZBED1, BRAF, GPHN, PRPS1, PRPS2, KIF5B, HINT3, YWHAQ, ATXN1, BECN1, TNFAIP3, YWHAG, ABAT, YWHAB, DYRK1A, DCP1A, EDC3
