Feature	Number of Genes	Genes
protein binding	26	PCMTD2, GLMN, COPS2, COPS5, STK11, CUL2, ASB7, DTL, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, KCTD9, LRR1, LRRC14, RNF7, SOCS4, SOCS5
nucleoplasm	18	COPS2, COPS5, STK11, CUL2, DTL, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, RNF7
cytosol	18	COPS2, COPS5, STK11, CUL2, ASB7, DTL, COPS3, COPS6, COPS7A, COPS7B, COPS8, CUL4B, FEM1B, FEM1C, LRR1, LRRC14, RNF7, SOCS5
nucleus	16	COPS2, COPS5, STK11, DTL, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, CUL4A, CUL4B, FEM1B, LRR1, RNF7
cytoplasm	15	PCMTD2, GLMN, COPS2, COPS5, STK11, APPBP2, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9, FEM1B, LRRC14, RNF7
protein ubiquitination	14	RAB40C, CUL2, ASB7, APPBP2, CUL4A, CUL4B, DCAF11, FEM1B, FEM1C, KCTD9, LRR1, RNF7, SOCS4, SOCS5
protein neddylation	8	COPS2, COPS5, COPS3, COPS6, COPS7A, COPS7B, COPS8, RNF7
COP9 signalosome	8	COPS2, COPS5, COPS3, COPS6, COPS7A, COPS7B, COPS8, COPS9
protein deneddylation	7	COPS2, COPS5, COPS3, COPS6, COPS7A, COPS7B, COPS8
 protein neddylation	7	COPS2, COPS5, COPS3, COPS6, COPS7A, COPS7B, COPS8
proteasome-mediated ubiquitin-dependent protein catabolic process	6	DTL, APPBP2, CUL4A, DCAF11, FEM1B, FEM1C
intracellular signal transduction	5	RAB40C, ASB7, KCTD9, SOCS4, SOCS5
Cul2-RING ubiquitin ligase complex	5	GLMN, CUL2, APPBP2, FEM1B, FEM1C
ubiquitin-dependent protein catabolic process	5	DTL, COPS3, CUL4B, FEM1C, RNF7
ubiquitin protein ligase binding	4	GLMN, CUL2, CUL4A, CUL4B
Cul4A-RING E3 ubiquitin ligase complex	4	GLMN, DTL, CUL4A, CUL4B
perinuclear region of cytoplasm	4	COPS5, COPS3, COPS6, COPS8
DNA damage response	4	STK11, DTL, CUL4A, CUL4B
Cul4-RING E3 ubiquitin ligase complex	4	DTL, CUL4A, CUL4B, DCAF11
negative regulation of cell population proliferation	3	GLMN, STK11, COPS8
 proteasomal ubiquitin-dependent protein catabolic process	3	GLMN, SOCS4, SOCS5
protein phosphorylation	3	COPS2, STK11, COPS8
signal transduction	3	COPS2, STK11, COPS3
 cell cycle	3	COPS5, STK11, DTL
extracellular exosome	3	STK11, COPS8, CUL4B
G1/S transition of mitotic cell cycle	3	CUL2, CUL4A, CUL4B
 protein catabolic process	3	DTL, CUL4A, CUL4B
ubiquitin ligase-substrate adaptor activity	3	APPBP2, FEM1B, FEM1C
COP9 signalosome assembly	3	COPS7A, COPS7B, COPS8
cellular response to UV	3	COPS9, CUL4A, CUL4B
synaptic vesicle	2	RAB40C, COPS5
metal-dependent deubiquitinase activity	2	COPS5, COPS6
post-translational protein modification	2	COPS5, RNF7
protein-containing complex binding	2	STK11, CUL2
ubiquitin-protein transferase activity	2	CUL2, DTL
protein-macromolecule adaptor activity	2	CUL2, DTL
intrinsic apoptotic signaling pathway	2	CUL2, CUL4A
nucleolus	2	CUL2, DTL
protein polyubiquitination	2	DTL, CUL4B
rhythmic process	2	DTL, CUL4A
Cul4B-RING E3 ubiquitin ligase complex	2	DTL, CUL4B
in utero embryonic development	2	COPS3, CUL4A
 cell population proliferation	2	COPS9, CUL4A
ubiquitin protein ligase activity	2	CUL4A, RNF7
ribosome biogenesis	2	CUL4A, CUL4B
 G1/S transition of mitotic cell cycle	2	CUL4A, CUL4B
 DNA damage checkpoint	2	CUL4A, FEM1B
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway	2	FEM1B, FEM1C
cullin family protein binding	2	KCTD9, RNF7
1-phosphatidylinositol-3-kinase regulator activity	2	SOCS4, SOCS5
negative regulation of epidermal growth factor-activated receptor activity	2	SOCS4, SOCS5
phosphatidylinositol phosphate biosynthetic process	2	SOCS4, SOCS5
phosphatidylinositol 3-kinase complex	2	SOCS4, SOCS5
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	1	PCMTD2
protein modification process	1	PCMTD2
GTPase activity	1	RAB40C
GTP binding	1	RAB40C
protein localization to plasma membrane	1	RAB40C
endosome	1	RAB40C
Golgi apparatus	1	RAB40C
lipid droplet	1	RAB40C
plasma membrane	1	RAB40C
signaling receptor binding	1	GLMN
hepatocyte growth factor receptor binding	1	GLMN
ubiquitin-protein transferase inhibitor activity	1	GLMN
vasculogenesis	1	GLMN
 cytokine production	1	GLMN
neural tube closure	1	GLMN
cell surface receptor signaling pathway	1	GLMN
negative regulation of protein ubiquitination	1	GLMN
 interleukin-2 production	1	GLMN
epigenetic regulation of gene expression	1	GLMN
negative regulation of T cell proliferation	1	GLMN
 phosphorylation	1	GLMN
muscle cell differentiation	1	GLMN
cullin-RING ubiquitin ligase complex	1	GLMN
Cul3-RING ubiquitin ligase complex	1	GLMN
transcription corepressor activity	1	COPS2
negative regulation of transcription by RNA polymerase II	1	COPS2
inner cell mass cell proliferation	1	COPS2
trophectodermal cell proliferation	1	COPS2
transcription by RNA polymerase II	1	COPS2
neuron differentiation	1	COPS2
skeletal muscle cell differentiation	1	COPS2
transcription coactivator activity	1	COPS5
translation initiation factor activity	1	COPS5
metallopeptidase activity	1	COPS5
deNEDDylase activity	1	COPS5
enzyme binding	1	COPS5
macrophage migration inhibitory factor binding	1	COPS5
metal ion binding	1	COPS5
translation	1	COPS5
translational initiation	1	COPS5
protein deubiquitination	1	COPS5
negative regulation of apoptotic process	1	COPS5
 transcription by RNA polymerase II	1	COPS5
 JNK cascade	1	COPS5
 DNA-binding transcription factor activity	1	COPS5
 IRE1-mediated unfolded protein response	1	COPS5
exosomal secretion	1	COPS5
eukaryotic translation initiation factor 3 complex	1	COPS5
magnesium ion binding	1	STK11
p53 binding	1	STK11
protein serine/threonine kinase activity	1	STK11
ATP binding	1	STK11
LRR domain binding	1	STK11
protein kinase activator activity	1	STK11
protein serine kinase activity	1	STK11
 cell growth	1	STK11
tissue homeostasis	1	STK11
vasculature development	1	STK11
protein dephosphorylation	1	STK11
autophagy	1	STK11
spermatogenesis	1	STK11
axonogenesis	1	STK11
response to ionizing radiation	1	STK11
 autophagy	1	STK11
response to activity	1	STK11
peptidyl-threonine phosphorylation	1	STK11
establishment of cell polarity	1	STK11
 Wnt signaling pathway	1	STK11
negative regulation of cell growth	1	STK11
 transforming growth factor beta receptor signaling pathway	1	STK11
activation of protein kinase activity	1	STK11
response to glucagon	1	STK11
response to lipid	1	STK11
protein localization to nucleus	1	STK11
glucose homeostasis	1	STK11
anoikis	1	STK11
positive thymic T cell selection	1	STK11
 gluconeogenesis	1	STK11
protein autophosphorylation	1	STK11
 dendrite morphogenesis	1	STK11
 axonogenesis	1	STK11
