Feature	Number of Genes	Genes
protein binding	44	HSP90B1, GNPTG, CANX, LRPAP1, ELOVL5, CLPTM1, SELENOS, CLPTM1L, PTPN1, DDRGK1, DGAT1, TMX1, HM13, SCARF2, SGPL1, CSGALNACT2, FDFT1, QPCT, ASPH, ATP2A1, BCAP31, CALR, CALU, CHM, CYFIP2, DNAJB11, ESYT1, FKBP8, GCG, GDAP2, IKBIP, KTN1, LRRC59, NSDHL, P4HB, PDIA6, RCN1, SLC39A7, SMAP2, SOAT1, VAPA, VAPB, VIP, ZSCAN21
endoplasmic reticulum	33	HSP90B1, CANX, LRPAP1, MXRA7, ELOVL5, CYP51A1, SELENOS, CLGN, PTPN1, DDRGK1, HM13, SGPL1, FDFT1, ASPH, BCAP31, CALR, CALU, DNAJB11, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, NSDHL, P4HB, PDIA6, RCN1, SLC39A7, SOAT1, STC2, VAPA, VAPB
endoplasmic reticulum membrane	30	HSP90B1, CANX, ELOVL5, CYP51A1, SELENOS, CLGN, CLPTM1L, DDRGK1, DGAT1, TMX1, HM13, SGPL1, FDFT1, ASPH, ATP2A1, BCAP31, CALR, CALU, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, NSDHL, PDIA6, SLC39A7, SOAT1, VAPA, VAPB
membrane	27	HSP90B1, CANX, MXRA7, ELOVL5, CLPTM1, CYP51A1, CLPTM1L, FAM234B, DGAT1, HM13, SCARF2, CSGALNACT2, FDFT1, ATP2A1, BCAP31, CALR, CALU, CYFIP2, DNAJB11, ESYT1, FKBP8, IKBIP, KTN1, LRRC59, MOGS, SLC39A7, SOAT1
plasma membrane	14	LRPAP1, CLPTM1, SELENOS, PTPN1, DGAT1, HM13, ASPH, BCAP31, ESYT1, GCG, KTN1, PDIA6, VAPA, VAPB
endoplasmic reticulum lumen	11	HSP90B1, CANX, CALR, CALU, DNAJB11, GCG, KTN1, P4HB, PDIA6, RCN1, STC2
cytosol	11	HSP90B1, PTPN1, BCAP31, CALR, CHM, CYFIP2, FKBP8, P4HB, PDIA6, SMAP2, VAPA
calcium ion binding	9	HSP90B1, CANX, CLGN, ASPH, ATP2A1, CALR, CALU, ESYT1, RCN1
protein folding	9	HSP90B1, CANX, CLGN, CALR, DNAJB11, FKBP8, MOGS, P4HB, PDIA6
extracellular exosome	9	HSP90B1, GNPTG, CANX, QPCT, CALR, CYFIP2, MOGS, P4HB, PDIA6
cytoplasm	9	PTPN1, DDRGK1, CALR, CHM, CYFIP2, KCTD20, LRRC59, SMAP2, VAPB
extracellular region	8	HSP90B1, LRPAP1, QPCT, CALR, CALU, GCG, P4HB, VIP
Golgi apparatus	8	GNPTG, LRPAP1, FAM234B, CALR, CALU, SLC39A7, STC2, VAPB
RNA binding	7	HSP90B1, CANX, PTPN1, CALR, KTN1, LRRC59, P4HB
response to endoplasmic reticulum stress	7	HSP90B1, DDRGK1, TMX1, ATP2A1, BCAP31, P4HB, PDIA6
nucleus	6	HSP90B1, CALR, CHM, CYFIP2, DNAJB11, ZSCAN21
unfolded protein binding	5	HSP90B1, CANX, CLGN, CALR, DNAJB11
ubiquitin-dependent ERAD pathway	5	HSP90B1, CANX, SELENOS, CLGN, CALR
protein folding in endoplasmic reticulum	5	HSP90B1, CANX, CALR, P4HB, VAPA
negative regulation of apoptotic process	5	HSP90B1, DDRGK1, FKBP8, GCG, VIP
protein-containing complex	5	HSP90B1, CANX, PTPN1, FKBP8, P4HB
